Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
25/08/2025,20.35,0.0,-20.55(-100.00 %),8352000,20350,0,0,20.6,20.7,19.75
22/08/2025,20.55,20.55,-0.8(-3.75 %),21285200,427515880000,20000,456000000,20.35,20.9,19.9
21/08/2025,21.35,21.35,-0.85(-3.83 %),6529000,141633935000,0,0,22.3,22.3,21.35
20/08/2025,22.2,22.2,0.6(2.78 %),11995300,266958465000,300000,6480000000,23.1,23.1,21.5
19/08/2025,21.58,25.05,0.45(1.83 %),12599100,314556995000,0,0,24.7,25.5,24.3
18/08/2025,21.19,24.6,-0.1(-0.40 %),12084400,294797920000,0,0,24.9,24.9,24.0
15/08/2025,21.28,24.7,-1.3(-5.00 %),12137000,306133460000,0,0,26.05,26.1,24.45
14/08/2025,22.4,26.0,0(0.00 %),11127700,288446500000,0,0,26.5,26.5,25.6
13/08/2025,22.4,26.0,0.65(2.56 %),14318300,369420015000,0,0,25.7,26.25,25.3
12/08/2025,21.84,25.35,0.35(1.40 %),11195000,278672625000,0,0,25.0,25.45,24.35
11/08/2025,21.54,25.0,0.2(0.81 %),10267000,259116790000,0,0,25.05,25.7,24.85
08/08/2025,21.36,24.8,0.65(2.69 %),14638200,356188745000,0,0,24.35,25.0,23.7
07/08/2025,20.8,24.15,0.35(1.47 %),10230900,246330890000,0,0,24.0,24.3,23.85
06/08/2025,20.5,23.8,0.2(0.85 %),7799500,184016385000,0,0,23.8,24.3,23.3
05/08/2025,20.33,23.6,-0.3(-1.26 %),13819300,331935945000,0,0,24.0,24.75,22.8
04/08/2025,20.59,23.9,0.9(3.91 %),6356800,149429720000,130000,2782000000,22.65,23.9,22.6
01/08/2025,19.81,23.0,-0.95(-3.97 %),8031200,188579105000,0,0,23.95,24.0,23.0
31/07/2025,20.63,23.95,0.15(0.63 %),12936500,305003550000,0,0,24.4,24.4,22.85
30/07/2025,20.5,23.8,-0.8(-3.25 %),15960900,386709395000,0,0,24.8,25.1,23.5
29/07/2025,21.19,24.6,-1.8(-6.82 %),21247200,530288075000,0,0,26.5,26.5,24.6
28/07/2025,22.74,26.4,0.8(3.12 %),10437200,274385685000,0,0,26.0,27.05,25.75
25/07/2025,22.05,25.6,0.35(1.39 %),7989400,202483180000,550000,12925000000,25.4,25.7,24.95
24/07/2025,21.75,25.25,0.3(1.20 %),6578800,163507035000,0,0,24.95,25.3,24.55
23/07/2025,21.49,24.95,0.35(1.42 %),11045600,277639980000,800000,21040000000,24.95,26.1,24.5
22/07/2025,21.19,24.6,0.55(2.29 %),7580800,182873725000,0,0,23.7,24.6,23.7
21/07/2025,20.72,24.05,-0.45(-1.84 %),7304200,177760845000,510000,11628000000,24.5,24.9,24.05
18/07/2025,21.1,24.5,-0.2(-0.81 %),7400600,182060105000,0,0,24.9,25.2,24.2
17/07/2025,21.28,24.7,0.55(2.28 %),9050000,224905140000,428300,9636750000,24.25,25.7,24.1
16/07/2025,20.8,24.15,0.2(0.84 %),6168400,148253550000,0,0,23.8,24.35,23.65
15/07/2025,20.63,23.95,-0.9(-3.62 %),10319700,251082595000,1300000,30095000000,24.5,24.8,23.95
14/07/2025,21.41,24.85,1(4.19 %),9791600,235632785000,0,0,23.75,24.95,23.1
11/07/2025,20.54,23.85,0.55(2.36 %),10006100,235263840000,0,0,23.45,24.2,22.75
10/07/2025,20.07,23.3,0.25(1.08 %),7008300,162610540000,0,0,23.25,23.55,22.95
09/07/2025,19.86,23.05,0.05(0.22 %),8291100,191853485000,0,0,23.05,23.5,22.75
08/07/2025,19.81,23.0,0.65(2.91 %),10513500,241748385000,0,0,22.9,23.75,22.4
07/07/2025,19.25,22.35,1.45(6.94 %),13071900,286810590000,0,0,21.35,22.35,21.05
04/07/2025,18.0,20.9,1.1(5.56 %),15205400,315537195000,0,0,19.9,21.15,19.9
03/07/2025,17.06,19.8,-0.2(-1.00 %),8132000,163680100000,0,0,20.3,20.5,19.8
02/07/2025,17.23,20.0,0.1(0.50 %),3778100,75278965000,0,0,19.8,20.05,19.75
01/07/2025,17.14,19.9,-0.1(-0.50 %),3212600,63905670000,0,0,20.15,20.2,19.7
30/06/2025,17.23,20.0,0.45(2.30 %),10473200,209723480000,0,0,19.6,20.45,19.55
27/06/2025,16.84,19.55,0.1(0.51 %),6654900,131079260000,0,0,19.65,19.9,19.5
26/06/2025,16.75,19.45,0.15(0.78 %),2838700,55003505000,0,0,19.35,19.5,19.25
25/06/2025,16.62,19.3,-0.15(-0.77 %),4790600,93501835000,0,0,19.55,19.8,19.3
24/06/2025,16.75,19.45,0.4(2.10 %),5760500,111765000000,0,0,19.3,19.6,19.15
23/06/2025,16.41,19.05,-0.4(-2.06 %),5855000,111806610000,0,0,19.25,19.3,19.0
20/06/2025,16.75,19.45,0(0.00 %),5532800,106733410000,0,0,19.45,19.55,19.05
19/06/2025,16.75,19.45,-0.25(-1.27 %),3898500,75600390000,0,0,19.65,19.65,19.25
18/06/2025,16.97,19.7,0(0.00 %),4905600,96303405000,0,0,19.7,19.85,19.35
17/06/2025,16.97,19.7,0.25(1.29 %),6265500,122650320000,0,0,19.55,19.9,19.35
