Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
26/06/2017,12.1,34.1,2.1(6.56 %),139100,4616470000,0,0,35.0,40.0,30.0
27/06/2017,11.89,33.5,0.3(0.90 %),32829,1104553900,0,0,33.8,33.8,33.5
28/06/2017,11.36,32.0,-1.7(-5.04 %),30540,998643700,0,0,33.4,33.4,29.1
29/06/2017,10.47,29.5,-3.2(-9.79 %),24531,722147200,0,0,32.0,32.0,28.8
30/06/2017,9.94,28.0,-1.4(-4.76 %),33300,932070000,63,1575000,29.0,29.0,27.0
03/07/2017,9.69,27.3,-0.7(-2.50 %),35141,961866500,0,0,28.0,28.0,27.0
04/07/2017,9.12,24.0,-1.6(-6.25 %),30530,750980000,0,0,25.0,26.0,24.0
05/07/2017,8.93,23.5,-1.1(-4.47 %),26750,634930000,0,0,24.0,24.5,23.4
06/07/2017,10.26,27.0,3.3(13.92 %),25289,650022500,0,0,23.7,27.0,23.7
07/07/2017,9.92,26.1,0.4(1.56 %),5500,140738000,0,0,26.4,26.4,25.1
10/07/2017,9.16,24.1,-1.5(-5.86 %),3052,73496000,0,0,24.1,24.1,24.1
11/07/2017,9.31,24.5,0.4(1.66 %),21240,533970000,0,0,24.4,25.5,24.4
12/07/2017,9.88,26.0,0.9(3.59 %),12100,301410000,0,0,24.8,26.0,24.5
13/07/2017,9.8,25.8,0.9(3.61 %),10624,267405700,0,0,25.0,25.8,25.0
14/07/2017,9.65,25.4,0.2(0.79 %),11502,288590000,0,0,25.1,25.4,25.0
17/07/2017,9.5,25.0,-0.1(-0.40 %),10533,258351800,0,0,25.0,25.0,24.0
18/07/2017,9.31,24.5,0(0.00 %),9100,224420000,0,0,24.1,25.1,24.0
19/07/2017,9.35,24.6,-0.1(-0.40 %),3725,90703700,0,0,24.0,24.6,24.0
20/07/2017,9.35,24.6,0.2(0.82 %),23215,563227500,0,0,24.1,25.0,24.0
21/07/2017,9.31,24.5,0.2(0.82 %),19400,466150000,0,0,25.0,25.0,24.0
24/07/2017,9.23,24.3,0.3(1.25 %),36884,888094000,0,0,23.9,24.5,23.8
25/07/2017,9.27,24.4,0.3(1.24 %),12316,298696600,0,0,24.1,24.5,24.1
26/07/2017,9.35,24.6,0.3(1.23 %),14189,346293200,0,0,24.3,24.6,24.3
27/07/2017,9.39,24.7,0.3(1.23 %),21079,517373900,0,0,24.5,25.0,24.2
28/07/2017,9.31,24.5,0(0.00 %),10097,246077700,0,0,24.5,24.5,24.3
31/07/2017,9.12,24.0,-0.4(-1.64 %),6420,155780000,0,0,24.3,24.5,24.0
01/08/2017,9.12,24.0,-0.3(-1.23 %),16530,398545400,0,0,24.4,24.4,23.8
02/08/2017,9.12,24.0,-0.1(-0.41 %),4601,110112500,0,0,24.0,24.0,23.9
03/08/2017,8.93,23.5,-0.5(-2.08 %),13652,321146500,0,0,23.8,23.8,23.5
