Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
05/05/2025,0,0,0(0.00 %),0,0,0,0,-167545,0.0
06/05/2025,0,0,0(0.00 %),0,0,0,0,-167545,0.0
02/06/2025,0,0,0(0.00 %),0,0,0,0,-167545,0.27
03/06/2025,0,0,0(0.00 %),0,0,0,0,-167545,0.27
04/06/2025,0,0,0(0.00 %),0,0,0,0,-167545,0.27
05/06/2025,0,0,0(0.00 %),0,0,0,0,-167545,0.27
06/06/2025,0,0,0(0.00 %),0,0,0,0,-167545,0.27
09/06/2025,0,0,0(0.00 %),0,0,0,0,-167545,0.27
10/06/2025,0,0,0(0.00 %),0,0,0,0,-167545,0.27
11/06/2025,0,0,0(0.00 %),0,0,0,0,-167545,0.27
12/06/2025,0,0,0(0.00 %),0,0,0,0,-167545,0.27
13/06/2025,0,0,0(0.00 %),0,0,0,0,-167545,0.27
16/06/2025,0,0,10(-14.53 %),0,0,0,0,-167545,0.27
17/06/2025,0,0,10(0.00 %),0,0,0,0,-167545,0.27
18/06/2025,0,0,9.6(-4.00 %),0,0,0,0,-154145,0.25
19/06/2025,0,0,9.7(1.04 %),0,0,0,0,-154145,0.25
20/06/2025,0,0,9.6(-1.03 %),0,0,0,0,-154145,0.25
23/06/2025,0,0,9.6(0.00 %),0,0,0,0,-154145,0.25
24/06/2025,0,0,9.5(-1.04 %),0,0,0,0,-154145,0.25
25/06/2025,0,0,9.5(0.00 %),0,0,0,0,-154145,0.25
26/06/2025,0,0,9.1(-4.21 %),0,0,0,0,-154145,0.25
27/06/2025,0,0,8.9(-2.20 %),0,0,0,0,-154145,0.25
30/06/2025,0,0,9(1.12 %),0,0,0,0,-154145,0.25
01/07/2025,0,0,8.9(-1.11 %),0,0,0,0,-154145,0.25
02/07/2025,0,0,8.9(0.00 %),0,0,0,0,-154145,0.25
03/07/2025,0,0,8.8(-1.12 %),0,0,0,0,-154145,0.25
04/07/2025,0,0,8.8(0.00 %),0,0,0,0,-154145,0.25
07/07/2025,0,0,8.8(0.00 %),0,0,0,0,-154145,0.25
08/07/2025,0,0,9(2.27 %),0,0,0,0,-154145,0.25
09/07/2025,0,0,9.2(2.22 %),0,0,0,0,-154145,0.25
10/07/2025,0,0,9.1(-1.09 %),0,0,0,0,-154145,0.25
11/07/2025,0,0,9.2(1.10 %),0,0,0,0,-154145,0.25
14/07/2025,0,0,9.1(-1.09 %),0,0,0,0,-154145,0.25
15/07/2025,0,0,9.1(0.00 %),0,0,0,0,-154145,0.25
16/07/2025,0,0,9(-1.10 %),0,0,0,0,-154145,0.25
17/07/2025,0,0,8.9(-1.11 %),0,0,0,0,-154145,0.25
18/07/2025,0,0,8.8(-1.12 %),0,0,0,0,-154145,0.25
21/07/2025,0,0,8.8(0.00 %),0,0,0,0,-154145,0.25
22/07/2025,0,0,9.4(6.82 %),0,0,0,0,-154145,0.25
23/07/2025,0,0,9.1(-3.19 %),0,0,0,0,-154145,0.25
24/07/2025,0,0,9.1(0.00 %),0,0,0,0,-154145,0.25
25/07/2025,0,0,8.9(-2.20 %),0,0,0,0,-154145,0.25
28/07/2025,0,0,9(1.12 %),0,0,0,0,-154145,0.25
29/07/2025,0,0,8.8(-2.22 %),0,0,0,0,-154145,0.25
30/07/2025,0,0,8.9(1.14 %),0,0,0,0,-154145,0.25
31/07/2025,0,0,8.9(0.00 %),0,0,0,0,-154145,0.25
01/08/2025,0,0,8.9(0.00 %),0,0,0,0,-154145,0.25
04/08/2025,0,0,8.8(-1.12 %),0,0,0,0,-154145,0.25
05/08/2025,0,0,8.7(-1.14 %),0,0,0,0,-154145,0.25
06/08/2025,0,0,8.7(0.00 %),0,0,0,0,-154145,0.25
07/08/2025,0,0,8.6(-1.15 %),0,0,0,0,-154145,0.25
08/08/2025,0,0,8.7(1.16 %),0,0,0,0,-154145,0.25
11/08/2025,0,0,8.6(-1.15 %),0,0,0,0,-154145,0.25
12/08/2025,0,0,9(4.65 %),0,0,0,0,-154145,0.25
13/08/2025,0,0,9(0.00 %),0,0,0,0,-154145,0.25
14/08/2025,0,0,8.8(-2.22 %),0,0,0,0,-154145,0.25
15/08/2025,0,0,8.6(-2.27 %),0,0,0,0,-154145,0.25
18/08/2025,0,0,8.8(2.33 %),0,0,0,0,-154145,0.25
19/08/2025,0,0,8.8(0.00 %),0,0,0,0,-154145,0.25
20/08/2025,0,0,8.8(0.00 %),0,0,0,0,0,0.25
21/08/2025,0,0,8.8(0.00 %),0,0,0,0,0,0.25
22/08/2025,0,0,8.7(-1.14 %),0,0,0,0,0,0.25
25/08/2025,0,0,8.3(-1.19 %),0,0,0,0,-154145,0.25
