Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
15/06/2017,8.39,14.4,1.5(11.63 %),1541000,22190000000,0,0,14.4,14.4,14.4
16/06/2017,8.97,15.4,1(6.94 %),708060,10904000000,0,0,15.4,15.4,15.4
19/06/2017,8.36,14.35,-1.05(-6.82 %),335190,4968000000,0,0,16.0,16.0,14.35
20/06/2017,7.78,13.35,-1(-6.97 %),35140,469000000,0,0,13.35,13.35,13.35
21/06/2017,7.25,12.45,-0.9(-6.74 %),2000,25000000,27200,387600000,12.45,12.45,12.45
22/06/2017,6.76,11.6,-0.85(-6.83 %),6040,70000000,0,0,11.6,11.6,11.6
23/06/2017,6.29,10.8,-0.8(-6.90 %),1424080,15380000000,0,0,10.8,10.8,10.8
26/06/2017,6.67,11.45,0.65(6.02 %),1471710,15876000000,0,0,10.05,11.45,10.05
27/06/2017,6.21,10.65,-0.8(-6.99 %),1287780,14397000000,0,0,11.45,11.7,10.65
28/06/2017,6.06,10.4,-0.25(-2.35 %),1799430,17966000000,0,0,9.92,10.45,9.91
29/06/2017,6.38,10.95,0.55(5.29 %),677090,7225000000,70000,745500000,10.4,11.0,10.35
30/06/2017,6.15,10.55,-0.4(-3.65 %),635570,6724000000,0,0,10.7,10.8,10.45
03/07/2017,6.0,10.3,-0.25(-2.37 %),432240,4478000000,0,0,10.5,10.5,10.25
04/07/2017,6.0,10.3,0(0.00 %),695380,7195000000,0,0,10.3,10.6,10.0
05/07/2017,5.97,10.25,-0.05(-0.49 %),801770,8228000000,0,0,10.3,10.5,10.0
06/07/2017,5.86,10.05,-0.2(-1.95 %),510330,5167000000,0,0,10.25,10.3,10.0
07/07/2017,5.86,10.05,0(0.00 %),459380,4638000000,0,0,10.05,10.25,9.95
10/07/2017,5.89,10.1,0.05(0.50 %),404120,4070000000,0,0,10.05,10.1,10.0
11/07/2017,5.91,10.15,0.05(0.50 %),345780,3496000000,0,0,10.1,10.2,10.0
12/07/2017,5.86,10.05,-0.1(-0.99 %),407930,4119000000,0,0,10.1,10.15,10.05
13/07/2017,6.12,10.5,0.45(4.48 %),1246500,12910000000,0,0,10.0,10.6,10.0
14/07/2017,5.94,10.2,-0.3(-2.86 %),909290,9137000000,0,0,9.77,11.0,9.77
17/07/2017,5.94,10.2,0(0.00 %),308780,3146000000,0,0,10.2,10.25,10.15
18/07/2017,6.24,10.7,0.5(4.90 %),1787570,18918000000,0,0,10.2,10.75,10.05
19/07/2017,6.21,10.65,-0.05(-0.47 %),161780,1730000000,0,0,10.7,10.75,10.6
20/07/2017,6.18,10.6,-0.05(-0.47 %),202500,2153000000,0,0,10.65,10.65,10.6
21/07/2017,6.18,10.6,0(0.00 %),384580,4064000000,0,0,10.55,10.65,10.55
24/07/2017,6.15,10.55,-0.05(-0.47 %),142820,1507000000,0,0,10.6,10.6,10.5
25/07/2017,6.15,10.55,0(0.00 %),130640,1378000000,0,0,10.55,10.6,10.5
26/07/2017,5.97,10.25,-0.3(-2.84 %),160350,1647000000,0,0,10.55,10.55,10.2
27/07/2017,5.59,9.6,-0.65(-6.34 %),109940,1106000000,0,0,10.25,10.25,9.6
28/07/2017,5.21,8.94,-0.66(-6.88 %),119550,1174000000,0,0,9.0,10.25,8.93
31/07/2017,5.42,9.3,0.36(4.03 %),237500,2268000000,0,0,9.55,9.56,9.0
01/08/2017,5.8,9.95,0.65(6.99 %),247910,2411000000,0,0,9.95,9.95,9.0
02/08/2017,5.97,10.25,0.3(3.02 %),140720,1345000000,0,0,10.5,10.5,9.4
03/08/2017,5.94,10.2,-0.05(-0.49 %),185750,1859000000,0,0,9.56,10.4,9.56
04/08/2017,5.94,10.2,0(0.00 %),200640,2004000000,0,0,10.2,10.2,9.6
07/08/2017,6.32,10.85,0.65(6.37 %),830710,8289000000,0,0,9.9,10.85,9.5
08/08/2017,6.76,11.6,0.75(6.91 %),386310,4120000000,0,0,10.2,11.6,10.2
09/08/2017,7.23,12.4,0.8(6.90 %),1180170,14628000000,0,0,12.35,12.4,12.0
10/08/2017,7.31,12.55,0.15(1.21 %),207280,2595000000,0,0,12.55,12.55,12.5
11/08/2017,7.23,12.4,-0.15(-1.20 %),175140,2183000000,0,0,12.55,12.6,12.35
14/08/2017,7.28,12.5,0.1(0.81 %),292320,3651000000,0,0,12.4,12.55,12.4
15/08/2017,7.28,12.5,0(0.00 %),162550,2032000000,0,0,12.5,12.55,12.45
16/08/2017,7.31,12.55,0.05(0.40 %),303860,3816000000,0,0,12.45,12.65,12.4
17/08/2017,7.31,12.55,0(0.00 %),204010,2557000000,0,0,12.5,12.6,12.5
18/08/2017,7.34,12.6,0.05(0.40 %),1083010,13832000000,0,0,12.6,12.95,12.45
21/08/2017,7.84,13.45,0.85(6.75 %),1427730,18750000000,0,0,12.6,13.45,12.5
22/08/2017,8.33,14.3,0.85(6.32 %),793050,11059000000,0,0,13.5,14.3,13.5
23/08/2017,8.16,14.0,-0.3(-2.10 %),336920,4745000000,0,0,14.25,14.3,13.9
24/08/2017,8.45,14.5,0.5(3.57 %),922330,13049000000,0,0,13.95,14.55,13.6
25/08/2017,8.33,14.3,-0.2(-1.38 %),218600,3133000000,0,0,14.5,14.5,14.25
28/08/2017,8.39,14.4,0.1(0.70 %),617310,8912000000,0,0,14.3,14.55,14.2
29/08/2017,8.36,14.35,-0.05(-0.35 %),291750,4203000000,0,0,14.4,14.5,14.3
30/08/2017,8.36,14.35,0(0.00 %),261630,3760000000,0,0,14.35,14.5,14.25
31/08/2017,8.36,14.35,0(0.00 %),474620,6782000000,0,0,14.25,14.5,14.1
01/09/2017,8.39,14.4,0.05(0.35 %),180660,2591000000,0,0,14.3,14.45,14.25
05/09/2017,8.42,14.45,0.05(0.35 %),354950,5122000000,0,0,14.35,14.6,14.2
06/09/2017,8.39,14.4,-0.05(-0.35 %),182380,2638000000,0,0,14.5,14.55,14.35
07/09/2017,8.48,14.55,0.15(1.04 %),332190,4812000000,0,0,14.35,14.55,14.3
