Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
18/07/2018,6.74,15.0,0(0.00 %),138400,2063890000,0,0,15.0,15.5,14.4
19/07/2018,6.47,14.4,-0.6(-4.00 %),23300,339630000,0,0,14.9,14.9,14.4
20/07/2018,6.47,14.4,0(0.00 %),47500,657250000,0,0,14.4,14.4,13.6
23/07/2018,6.11,13.6,-0.8(-5.56 %),65600,898980000,0,0,14.3,14.3,13.3
24/07/2018,5.84,13.0,-0.6(-4.41 %),25100,331520000,0,0,13.8,13.8,13.0
25/07/2018,5.84,13.0,0(0.00 %),70000,905590000,0,0,13.0,13.0,12.8
26/07/2018,6.02,13.4,0.4(3.08 %),48300,634890000,0,0,13.2,13.4,13.0
27/07/2018,6.11,13.6,0.2(1.49 %),21100,286970000,0,0,13.5,13.8,13.5
30/07/2018,6.16,13.7,0.1(0.74 %),18100,246470000,0,0,13.8,13.8,13.5
31/07/2018,6.11,13.6,-0.1(-0.73 %),29100,398010000,0,0,13.9,13.8,13.9
01/08/2018,6.07,13.5,-0.3(-2.17 %),45882,624115000,0,0,13.8,13.9,13.5
02/08/2018,6.07,13.5,0(0.00 %),7800,105460000,0,0,13.6,13.6,13.4
03/08/2018,6.07,13.5,0(0.00 %),18100,242940000,0,0,13.6,13.6,13.3
06/08/2018,5.98,13.3,-0.2(-1.48 %),26400,347410000,15000,183000000,13.4,13.4,13.0
07/08/2018,5.84,13.0,-0.3(-2.26 %),12682,165833800,0,0,13.3,13.3,13.0
08/08/2018,5.84,13.0,0(0.00 %),22700,292230000,15000,181000000,13.0,13.0,12.7
09/08/2018,5.89,13.1,0.1(0.77 %),31800,414430000,0,0,13.0,13.2,13.0
10/08/2018,5.93,13.2,0.1(0.76 %),54600,703770000,0,0,13.1,13.2,12.6
13/08/2018,5.93,13.2,0(0.00 %),37600,491640000,0,0,13.1,13.3,13.0
14/08/2018,5.93,13.2,0(0.00 %),18600,244610000,0,0,13.2,13.3,13.0
15/08/2018,5.94,12.0,0(0.00 %),9200,110630000,0,0,12.0,12.2,12.0
16/08/2018,5.94,12.0,0(0.00 %),89600,1074820000,0,0,11.9,12.2,11.9
17/08/2018,6.04,12.2,0.2(1.67 %),100200,1216080000,0,0,12.0,12.3,12.0
20/08/2018,5.94,12.0,-0.2(-1.64 %),116000,1378440000,0,0,12.1,12.2,11.6
21/08/2018,5.79,11.7,-0.3(-2.50 %),77000,900680000,0,0,11.8,11.9,11.5
22/08/2018,5.79,11.7,0(0.00 %),95100,1102320000,0,0,11.7,12.0,11.2
23/08/2018,5.64,11.4,-0.3(-2.56 %),76200,872560000,0,0,11.6,11.9,11.2
24/08/2018,5.54,11.2,-0.2(-1.75 %),25400,286900000,0,0,11.3,11.4,11.2
27/08/2018,5.54,11.2,0(0.00 %),41400,466440000,0,0,11.2,11.4,11.2
28/08/2018,5.59,11.3,0.1(0.89 %),49500,554700000,0,0,11.2,11.3,11.1
29/08/2018,5.54,11.2,-0.1(-0.88 %),31500,352350000,0,0,11.2,11.3,11.1
30/08/2018,5.54,11.2,0(0.00 %),25100,280160000,0,0,11.2,11.2,11.1
31/08/2018,5.59,11.3,0.1(0.89 %),51400,578950000,0,0,11.1,11.4,11.1
04/09/2018,5.59,11.3,0(0.00 %),72700,822210000,0,0,11.2,11.5,11.2
05/09/2018,5.64,11.4,0.1(0.88 %),78600,904260000,0,0,11.2,11.8,11.2
06/09/2018,5.59,11.3,-0.1(-0.88 %),58200,667480000,0,0,11.4,11.7,11.2
07/09/2018,5.89,11.9,0.6(5.31 %),123900,1441480000,0,0,11.3,11.9,11.3
10/09/2018,5.84,11.8,-0.1(-0.84 %),47100,556840000,0,0,11.9,12.1,11.7
