Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
25/11/2009,100,7200000,0(0.00 %),100,7200000,0,0,3814056,17.22
26/11/2009,0,0,0(0.00 %),0,0,0,0,3814056,17.22
27/11/2009,0,0,0(0.00 %),0,0,0,0,3814056,17.22
30/11/2009,1000,63500000,0(0.00 %),1000,63500000,0,0,3813056,17.22
01/12/2009,0,0,0(0.00 %),0,0,0,0,3813056,17.22
02/12/2009,0,0,0(0.00 %),0,0,0,0,3813056,17.22
03/12/2009,0,0,0(0.00 %),0,0,0,0,3813056,17.22
04/12/2009,0,0,58(-3.33 %),0,0,0,0,3813056,17.22
07/12/2009,0,0,58.5(0.86 %),0,0,0,0,3813056,17.22
08/12/2009,0,0,57.5(-1.71 %),0,0,0,0,3813056,17.22
09/12/2009,0,0,55(-4.35 %),0,0,0,0,3813056,17.22
10/12/2009,0,0,52.5(-4.55 %),0,0,0,0,3813056,17.22
11/12/2009,0,0,48.2(-4.55 %),0,0,0,0,3813056,17.22
14/12/2009,0,0,48(-0.41 %),0,0,0,0,3813056,17.22
15/12/2009,0,0,48.5(1.04 %),0,0,0,0,3813056,17.22
16/12/2009,0,0,46.1(-4.95 %),0,0,0,0,3813056,17.22
17/12/2009,0,0,47(1.95 %),0,0,0,0,3813056,17.22
18/12/2009,0,0,49.3(4.89 %),0,0,0,0,3813056,17.22
21/12/2009,0,0,51.5(4.46 %),0,0,0,0,3813056,17.22
22/12/2009,0,0,52(0.97 %),0,0,0,0,3813056,17.22
23/12/2009,0,0,51(-1.92 %),0,0,0,0,3813056,17.22
24/12/2009,0,0,51(0.00 %),0,0,0,0,3813056,17.22
25/12/2009,0,0,53.5(4.90 %),0,0,0,0,3813056,17.22
28/12/2009,0,0,56(4.67 %),0,0,0,0,3813056,17.22
29/12/2009,0,0,58.5(4.46 %),0,0,0,0,3813056,17.22
30/12/2009,0,0,61(4.27 %),0,0,0,0,3813056,17.22
31/12/2009,50000,3150000000,63(3.28 %),50000,3150000000,0,0,3763056,17.64
04/01/2010,0,0,64(1.59 %),0,0,0,0,3763056,17.64
05/01/2010,0,0,67(4.69 %),0,0,0,0,3763056,17.64
06/01/2010,0,0,67(0.00 %),0,0,0,0,3763056,17.64
