Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
02/01/2007,0,0,29(-5.84 %),0,0,0,0,0,0.0
03/01/2007,0,0,29.4(-0.68 %),0,0,0,0,0,0.0
04/01/2007,0,0,30(2.04 %),0,0,0,0,0,0.0
05/01/2007,0,0,29.5(-1.34 %),0,0,0,0,0,0.0
08/01/2007,0,0,29.7(0.68 %),0,0,0,0,0,0.0
09/01/2007,0,0,30(1.01 %),0,0,0,0,0,0.0
10/01/2007,0,0,29(-2.36 %),0,0,0,0,0,0.0
11/01/2007,0,0,29(-2.36 %),0,0,0,0,0,0.0
12/01/2007,0,0,29.5(1.03 %),0,0,0,0,0,0.0
15/01/2007,0,0,32.1(9.93 %),0,0,0,0,0,0.0
16/01/2007,0,0,34.8(9.78 %),0,0,0,0,0,0.0
18/01/2007,0,0,37.9(-0.79 %),0,0,0,0,0,0.0
19/01/2007,0,0,35(-9.79 %),0,0,0,0,0,0.0
22/01/2007,0,0,34(-3.13 %),0,0,0,0,0,0.0
23/01/2007,0,0,31.6(-7.06 %),0,0,0,0,0,0.0
25/01/2007,0,0,33.8(2.74 %),0,0,0,0,0,0.0
26/01/2007,0,0,35(4.48 %),0,0,0,0,0,0.0
29/01/2007,0,0,35(0.57 %),0,0,0,0,0,0.0
30/01/2007,-3100,-111790000,36(0.84 %),0,0,3100,111790000,0,0.0
31/01/2007,0,0,37.9(4.41 %),0,0,0,0,0,0.0
01/02/2007,0,0,39(2.63 %),0,0,0,0,0,0.0
02/02/2007,-8000,-320560000,41.5(7.51 %),0,0,8000,320560000,0,0.0
05/02/2007,0,0,44.5(9.88 %),0,0,0,0,0,0.0
06/02/2007,-7000,-332500000,47.5(9.95 %),0,0,7000,332500000,0,0.0
07/02/2007,-31000,-1608900000,51.9(9.96 %),0,0,31000,1608900000,0,0.0
08/02/2007,0,0,50(-3.66 %),0,0,0,0,0,0.0
09/02/2007,0,0,47.3(-8.69 %),0,0,0,0,0,0.0
12/02/2007,-2600,-122200000,46(-3.97 %),0,0,2600,122200000,0,0.0
13/02/2007,0,0,49(6.06 %),0,0,0,0,0,0.0
14/02/2007,0,0,50(1.63 %),0,0,0,0,0,0.0
15/02/2007,0,0,50.1(-0.40 %),0,0,0,0,0,0.0
26/02/2007,-4000,-210260000,54(9.98 %),0,0,4000,210260000,0,0.0
27/02/2007,-9000,-522690000,58.9(9.89 %),0,0,9000,522690000,0,0.0
28/02/2007,0,0,58(-1.19 %),0,0,0,0,0,0.0
01/03/2007,0,0,53.2(-9.98 %),0,0,0,0,0,0.0
02/03/2007,0,0,55(0.92 %),0,0,0,0,0,0.0
05/03/2007,0,0,55.9(5.47 %),0,0,0,0,0,0.0
06/03/2007,0,0,55(-1.96 %),0,0,0,0,0,0.0
07/03/2007,0,0,55(-1.43 %),0,0,0,0,0,0.0
08/03/2007,0,0,54(-3.23 %),0,0,0,0,0,0.0
09/03/2007,0,0,55.1(2.23 %),0,0,0,0,0,0.0
12/03/2007,0,0,59.8(9.93 %),0,0,0,0,0,0.0
13/03/2007,0,0,61.5(3.36 %),0,0,0,0,0,0.0
14/03/2007,0,0,57.5(-9.87 %),0,0,0,0,0,0.0
15/03/2007,0,0,54.5(-9.92 %),0,0,0,0,0,0.0
16/03/2007,0,0,58(6.42 %),0,0,0,0,0,0.0
19/03/2007,0,0,57.5(2.86 %),0,0,0,0,0,0.0
20/03/2007,0,0,56.8(-1.73 %),0,0,0,0,0,0.0
21/03/2007,0,0,53.8(-6.60 %),0,0,0,0,0,0.0
22/03/2007,0,0,52(0.19 %),0,0,0,0,0,0.0
23/03/2007,0,0,51.8(0.39 %),0,0,0,0,0,0.0
26/03/2007,0,0,49(-5.59 %),0,0,0,0,0,0.0
27/03/2007,0,0,44.4(-9.94 %),0,0,0,0,0,0.0
28/03/2007,0,0,48(7.87 %),0,0,0,0,0,0.0
29/03/2007,0,0,48.8(9.91 %),0,0,0,0,0,0.0
30/03/2007,0,0,49(0.41 %),0,0,0,0,0,0.0
02/04/2007,0,0,47(-6.37 %),0,0,0,0,0,0.0
03/04/2007,0,0,45.1(-9.26 %),0,0,0,0,0,0.0
04/04/2007,0,0,47(2.84 %),0,0,0,0,0,0.0
05/04/2007,0,0,46(-0.43 %),0,0,0,0,0,0.0
06/04/2007,0,0,44.5(-3.89 %),0,0,0,0,0,0.0
09/04/2007,0,0,44(-1.12 %),0,0,0,0,0,0.0
10/04/2007,0,0,43(-4.23 %),0,0,0,0,0,0.0
11/04/2007,0,0,42(-3.89 %),0,0,0,0,0,0.0
12/04/2007,0,0,39(-7.36 %),0,0,0,0,0,0.0
13/04/2007,0,0,39(-2.26 %),0,0,0,0,0,0.0
16/04/2007,0,0,35.4(-9.92 %),0,0,0,0,0,0.0
17/04/2007,0,0,34.5(-3.36 %),0,0,0,0,0,0.0
18/04/2007,0,0,36.4(9.97 %),0,0,0,0,0,0.0
19/04/2007,0,0,36.3(10.00 %),0,0,0,0,0,0.0
20/04/2007,0,0,37(1.93 %),0,0,0,0,0,0.0
23/04/2007,0,0,35(-8.14 %),0,0,0,0,0,0.0
24/04/2007,0,0,36.5(3.69 %),0,0,0,0,0,0.0
25/04/2007,0,0,36(1.69 %),0,0,0,0,0,0.0
02/05/2007,0,0,37(2.49 %),0,0,0,0,0,0.0
03/05/2007,0,0,35.6(-5.07 %),0,0,0,0,0,0.0
04/05/2007,0,0,35.9(-0.83 %),0,0,0,0,0,0.0
07/05/2007,0,0,37.3(3.04 %),0,0,0,0,0,0.0
08/05/2007,0,0,37.6(1.62 %),0,0,0,0,0,0.0
09/05/2007,0,0,37.5(-0.79 %),0,0,0,0,0,0.0
10/05/2007,0,0,37.7(0.00 %),0,0,0,0,0,0.0
11/05/2007,0,0,37.4(-0.80 %),0,0,0,0,0,0.0
14/05/2007,0,0,37(-0.27 %),0,0,0,0,0,0.0
15/05/2007,0,0,37(-0.80 %),0,0,0,0,0,0.0
16/05/2007,0,0,36.5(-1.35 %),0,0,0,0,0,0.0
17/05/2007,0,0,35.8(0.56 %),0,0,0,0,0,0.0
18/05/2007,0,0,35.5(0.00 %),0,0,0,0,0,0.0
21/05/2007,0,0,35.9(0.00 %),0,0,0,0,0,0.0
22/05/2007,0,0,36.5(2.24 %),0,0,0,0,0,0.0
23/05/2007,0,0,37.2(2.76 %),0,0,0,0,0,0.0
24/05/2007,0,0,37.3(0.27 %),0,0,0,0,0,0.0
25/05/2007,0,0,36.5(-2.14 %),0,0,0,0,0,0.0
28/05/2007,0,0,37(1.09 %),0,0,0,0,0,0.0
29/05/2007,0,0,36(-3.49 %),0,0,0,0,0,0.0
30/05/2007,0,0,36.9(0.54 %),0,0,0,0,0,0.0
31/05/2007,0,0,37(0.54 %),0,0,0,0,0,0.0
01/06/2007,0,0,36.5(-0.82 %),0,0,0,0,0,0.0
04/06/2007,0,0,36(-2.70 %),0,0,0,0,0,0.0
05/06/2007,0,0,36.3(0.00 %),0,0,0,0,0,0.0
06/06/2007,0,0,35.5(-2.20 %),0,0,0,0,0,0.0
07/06/2007,0,0,35(-0.28 %),0,0,0,0,0,0.0
08/06/2007,0,0,34(-3.13 %),0,0,0,0,0,0.0
11/06/2007,0,0,34(-1.16 %),0,0,0,0,0,0.0
12/06/2007,0,0,33.1(-4.61 %),0,0,0,0,0,0.0
13/06/2007,0,0,32.9(0.00 %),0,0,0,0,0,0.0
14/06/2007,0,0,33(1.54 %),0,0,0,0,0,0.0
15/06/2007,0,0,35(6.38 %),0,0,0,0,0,0.0
18/06/2007,0,0,35.9(3.46 %),0,0,0,0,0,0.0
19/06/2007,0,0,34.1(-2.85 %),0,0,0,0,0,0.0
20/06/2007,0,0,33.4(-3.75 %),0,0,0,0,0,0.0
21/06/2007,0,0,33(-1.20 %),0,0,0,0,0,0.0
22/06/2007,0,0,33.4(-0.30 %),0,0,0,0,0,0.0
25/06/2007,0,0,33.5(1.21 %),0,0,0,0,0,0.0
26/06/2007,0,0,34.4(1.78 %),0,0,0,0,0,0.0
27/06/2007,0,0,36(4.96 %),0,0,0,0,0,0.0
28/06/2007,0,0,34.5(-0.58 %),0,0,0,0,0,0.0
29/06/2007,0,0,34.8(0.29 %),0,0,0,0,0,0.0
02/07/2007,0,0,34.4(-1.43 %),0,0,0,0,0,0.0
03/07/2007,0,0,33.3(-3.20 %),0,0,0,0,0,0.0
04/07/2007,0,0,33.7(0.30 %),0,0,0,0,0,0.0
05/07/2007,0,0,33(-2.08 %),0,0,0,0,0,0.0
06/07/2007,0,0,31.7(-4.52 %),0,0,0,0,0,0.0
09/07/2007,0,0,31(-3.43 %),0,0,0,0,0,0.0
10/07/2007,0,0,30.5(2.35 %),0,0,0,0,0,0.0
11/07/2007,0,0,31(4.03 %),0,0,0,0,0,0.0
12/07/2007,0,0,30.4(-0.98 %),0,0,0,0,0,0.0
13/07/2007,0,0,30(-0.33 %),0,0,0,0,0,0.0
16/07/2007,0,0,29.5(-1.67 %),0,0,0,0,0,0.0
17/07/2007,0,0,29.7(0.68 %),0,0,0,0,0,0.0
18/07/2007,0,0,29.5(0.00 %),0,0,0,0,0,0.0
19/07/2007,0,0,30(0.33 %),0,0,0,0,0,0.0
20/07/2007,100,2950000,29.5(-1.67 %),100,2950000,0,0,0,0.0
23/07/2007,0,0,29.2(0.00 %),0,0,0,0,0,0.0
24/07/2007,0,0,29.2(0.00 %),0,0,0,0,0,0.0
25/07/2007,0,0,28.5(-1.72 %),0,0,0,0,0,0.0
26/07/2007,0,0,28(-2.44 %),0,0,0,0,0,0.0
27/07/2007,0,0,26.5(-1.12 %),0,0,0,0,0,0.0
30/07/2007,0,0,25.8(-4.44 %),0,0,0,0,0,0.0
31/07/2007,0,0,26(0.00 %),0,0,0,0,0,0.0
01/08/2007,0,0,26.5(1.92 %),0,0,0,0,0,0.0
02/08/2007,0,0,25(-4.94 %),0,0,0,0,0,0.0
03/08/2007,0,0,25(-1.19 %),0,0,0,0,0,0.0
06/08/2007,0,0,23.8(-2.06 %),0,0,0,0,0,0.0
07/08/2007,0,0,24.4(1.67 %),0,0,0,0,0,0.0
08/08/2007,0,0,24.4(1.24 %),0,0,0,0,0,0.0
09/08/2007,0,0,25.3(4.98 %),0,0,0,0,0,0.0
10/08/2007,0,0,24.5(-2.00 %),0,0,0,0,0,0.0
13/08/2007,0,0,24.5(-4.30 %),0,0,0,0,0,0.0
14/08/2007,0,0,24.5(0.00 %),0,0,0,0,0,0.0
15/08/2007,0,0,24(-2.04 %),0,0,0,0,0,0.0
16/08/2007,0,0,24.2(0.83 %),0,0,0,0,0,0.0
17/08/2007,0,0,24.5(0.00 %),0,0,0,0,0,0.0
20/08/2007,0,0,23.6(-2.48 %),0,0,0,0,0,0.0
21/08/2007,0,0,22.4(-6.67 %),0,0,0,0,0,0.0
22/08/2007,0,0,23(2.22 %),0,0,0,0,0,0.0
23/08/2007,0,0,23(0.00 %),0,0,0,0,0,0.0
24/08/2007,0,0,23(0.00 %),0,0,0,0,0,0.0
27/08/2007,0,0,23.9(3.91 %),0,0,0,0,0,0.0
28/08/2007,0,0,23(-0.86 %),0,0,0,0,0,0.0
29/08/2007,0,0,23.1(0.43 %),0,0,0,0,0,0.0
30/08/2007,0,0,22.6(-1.74 %),0,0,0,0,0,0.0
31/08/2007,0,0,23(0.44 %),0,0,0,0,0,0.0
04/09/2007,0,0,23(0.00 %),0,0,0,0,0,0.0
05/09/2007,0,0,23(0.00 %),0,0,0,0,0,0.0
06/09/2007,0,0,23.6(1.72 %),0,0,0,0,0,0.0
07/09/2007,0,0,24.8(5.53 %),0,0,0,0,0,0.0
10/09/2007,0,0,26(7.00 %),0,0,0,0,0,0.0
11/09/2007,0,0,27(4.65 %),0,0,0,0,0,0.0
12/09/2007,0,0,27.8(2.21 %),0,0,0,0,0,0.0
