Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
26/03/2010,4.14,35.0,-3(-7.89 %),112440,4079681000,0,0,38.0,38.0,35.0
29/03/2010,4.03,34.0,-1(-2.86 %),44380,1508208000,0,0,34.0,35.0,33.5
30/03/2010,4.22,35.6,1.6(4.71 %),88950,3142795000,0,0,32.4,35.7,32.4
31/03/2010,4.4,37.2,1.6(4.49 %),18750,685380000,0,0,35.6,37.2,35.0
01/04/2010,4.38,37.0,-0.2(-0.54 %),43270,1594110000,0,0,38.0,38.0,36.5
02/04/2010,4.4,37.2,0.2(0.54 %),57030,2108451000,0,0,37.1,37.2,35.5
05/04/2010,4.4,37.2,0(0.00 %),35660,1324512000,0,0,36.1,37.3,36.1
06/04/2010,4.32,36.5,-0.7(-1.88 %),56670,2074025000,0,0,36.6,37.0,36.5
07/04/2010,4.31,36.4,-0.1(-0.27 %),18530,671192000,0,0,35.0,36.4,35.0
08/04/2010,4.14,35.0,-1.4(-3.85 %),4820,173632000,0,0,36.5,36.6,35.0
09/04/2010,4.14,35.0,0(0.00 %),4160,143280000,0,0,36.0,36.0,34.0
12/04/2010,4.14,35.0,0(0.00 %),47370,1654510000,0,0,36.0,36.0,34.0
13/04/2010,4.2,35.5,0.5(1.43 %),5610,197155000,0,0,35.0,35.5,35.0
14/04/2010,4.14,35.0,-0.5(-1.41 %),22350,792530000,0,0,35.4,35.5,35.0
15/04/2010,4.14,35.0,0(0.00 %),45190,1579888000,0,0,34.0,36.0,34.0
16/04/2010,4.26,36.0,1(2.86 %),46840,1680235000,0,0,34.2,36.2,34.0
19/04/2010,4.26,36.0,0(0.00 %),5110,183773000,0,0,36.0,36.0,34.3
20/04/2010,4.09,34.5,-1.5(-4.17 %),6000,208500000,0,0,36.0,36.0,34.5
21/04/2010,4.26,36.0,1.5(4.35 %),24890,889790000,0,0,36.0,36.1,35.0
22/04/2010,4.26,36.0,0(0.00 %),2700,98000000,0,0,36.5,36.9,36.0
26/04/2010,4.26,36.0,0(0.00 %),3140,111125000,0,0,34.5,36.0,34.2
27/04/2010,4.09,34.5,-1.5(-4.17 %),2800,96665000,0,0,34.7,35.0,34.5
28/04/2010,4.2,35.5,1(2.90 %),4640,164626000,0,0,35.7,35.7,35.0
29/04/2010,4.14,35.0,-0.5(-1.41 %),15500,542590000,0,0,35.9,35.9,35.0
