Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
08/12/2017,15.85,18.7,3.9(26.35 %),392800,7171750000,0,0,20.7,20.7,16.5
11/12/2017,15.26,18.0,-0.3(-1.64 %),79854,1447392000,1044100,16317960000,19.4,19.4,18.0
12/12/2017,15.26,18.0,-0.1(-0.55 %),300,5420000,0,0,18.1,18.1,18.0
13/12/2017,13.22,15.6,-2.5(-13.81 %),110800,1733490000,60000,924000000,15.5,17.0,15.4
14/12/2017,13.73,16.2,0.6(3.85 %),9554,149427600,0,0,15.1,16.2,15.1
15/12/2017,13.31,15.7,0.1(0.64 %),21210,336350000,0,0,15.6,16.5,15.6
18/12/2017,13.39,15.8,-0.1(-0.63 %),50900,803800000,80000,1100000000,15.9,16.0,15.5
19/12/2017,13.39,15.8,0(0.00 %),31800,498670000,0,0,15.6,15.8,15.5
20/12/2017,13.39,15.8,0.1(0.64 %),16100,253450000,0,0,15.7,15.8,15.7
21/12/2017,13.31,15.7,0(0.00 %),4100,64830000,0,0,16.0,16.0,15.7
22/12/2017,13.22,15.6,-0.2(-1.27 %),500,7810000,0,0,15.7,15.7,15.6
25/12/2017,13.14,15.5,-0.1(-0.64 %),8400,130230000,0,0,15.5,15.6,15.5
26/12/2017,12.88,15.2,-0.3(-1.94 %),46200,699920000,0,0,15.5,15.5,15.0
27/12/2017,12.8,15.1,-0.1(-0.66 %),22700,341510000,800000,10800000000,15.5,15.5,14.9
28/12/2017,12.97,15.3,0.3(2.00 %),6100,92660000,0,0,15.0,15.5,15.0
29/12/2017,14.75,17.4,2.2(14.47 %),90000,1512750000,0,0,17.3,17.4,15.4
02/01/2018,14.66,17.3,0.5(2.98 %),26700,504090000,0,0,19.3,19.3,17.0
03/01/2018,13.81,16.3,-2.6(-13.76 %),52600,874870000,0,0,17.6,17.6,16.3
04/01/2018,13.65,16.1,-0.5(-3.01 %),1100,17730000,0,0,16.3,16.3,16.1
05/01/2018,13.14,15.5,-0.6(-3.73 %),36700,579720000,0,0,15.5,18.0,15.5
08/01/2018,13.31,15.7,-0.1(-0.63 %),70700,1111850000,0,0,15.8,15.9,15.5
09/01/2018,13.56,16.0,0.3(1.91 %),400,6370000,0,0,15.9,16.0,15.9
10/01/2018,13.98,16.5,0.6(3.77 %),123300,2091040000,50000,680000000,15.9,17.5,15.9
11/01/2018,14.66,17.3,0.3(1.76 %),200100,3415590000,0,0,16.5,18.0,16.5
12/01/2018,14.41,17.0,-0.1(-0.58 %),130900,2258840000,0,0,18.0,18.3,16.9
15/01/2018,14.24,16.8,-0.5(-2.89 %),65910,1116500000,0,0,17.1,17.2,16.8
16/01/2018,13.73,16.2,-0.7(-4.14 %),68800,1132070000,0,0,16.9,16.9,16.2
17/01/2018,14.32,16.9,0.4(2.42 %),126100,2026670000,0,0,16.2,17.0,15.9
