Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
26/12/2006,10,600,0(0.00 %),10,600,0,0,0,0.0
01/03/2007,100,6900000,69(-2.82 %),100,6900000,0,0,0,0.0
02/03/2007,0,0,68(-1.45 %),0,0,0,0,0,0.0
05/03/2007,0,0,71(4.41 %),0,0,0,0,0,0.0
06/03/2007,0,0,74(4.23 %),0,0,0,0,0,0.0
07/03/2007,0,0,77(4.05 %),0,0,0,0,0,0.0
08/03/2007,0,0,79.5(3.25 %),0,0,0,0,0,0.0
09/03/2007,0,0,80(0.63 %),0,0,0,0,0,0.0
12/03/2007,500,38250000,76.5(-4.38 %),500,38250000,0,0,0,0.0
13/03/2007,0,0,80(4.58 %),0,0,0,0,0,0.0
14/03/2007,0,0,78(-2.50 %),0,0,0,0,0,0.0
15/03/2007,0,0,74.5(-4.49 %),0,0,0,0,0,0.0
16/03/2007,0,0,74.5(0.00 %),0,0,0,0,0,0.0
19/03/2007,0,0,78(4.70 %),0,0,0,0,0,0.0
20/03/2007,0,0,77(-1.28 %),0,0,0,0,0,0.0
21/03/2007,0,0,74(-3.90 %),0,0,0,0,0,0.0
22/03/2007,0,0,70.5(-4.73 %),0,0,0,0,0,0.0
23/03/2007,0,0,67.5(-4.26 %),0,0,0,0,0,0.0
26/03/2007,0,0,69(2.22 %),0,0,0,0,0,0.0
27/03/2007,0,0,68(-1.45 %),0,0,0,0,0,0.0
28/03/2007,0,0,65(-4.41 %),0,0,0,0,0,0.0
29/03/2007,0,0,68(4.62 %),0,0,0,0,0,0.0
30/03/2007,0,0,70(2.94 %),0,0,0,0,0,0.0
02/04/2007,0,0,68(-2.86 %),0,0,0,0,0,0.0
03/04/2007,0,0,65(-4.41 %),0,0,0,0,0,0.0
04/04/2007,700,45500000,66.5(2.31 %),700,45500000,0,0,0,0.0
05/04/2007,0,0,68(2.26 %),0,0,0,0,0,0.0
06/04/2007,0,0,66.5(-2.21 %),0,0,0,0,0,0.0
09/04/2007,100,6350000,65(-2.26 %),100,6350000,0,0,0,0.0
10/04/2007,0,0,63.5(-2.31 %),0,0,0,0,0,0.0
11/04/2007,0,0,63(-0.79 %),0,0,0,0,0,0.0
12/04/2007,100,6000000,60(-4.76 %),100,6000000,0,0,0,0.0
13/04/2007,100,5700000,57(-5.00 %),100,5700000,0,0,0,0.0
16/04/2007,0,0,54.5(-4.39 %),0,0,0,0,0,0.0
17/04/2007,0,0,52(-4.59 %),0,0,0,0,0,0.0
18/04/2007,0,0,54(3.85 %),0,0,0,0,0,0.0
19/04/2007,0,0,56.5(4.63 %),0,0,0,0,0,0.0
20/04/2007,0,0,54.5(-3.54 %),0,0,0,0,0,0.0
23/04/2007,0,0,52(-4.59 %),0,0,0,0,0,0.0
24/04/2007,0,0,50(-3.85 %),0,0,0,0,0,0.0
25/04/2007,-100,-5200000,52(4.00 %),0,0,100,5200000,0,0.0
02/05/2007,0,0,54.5(4.81 %),0,0,0,0,0,0.0
03/05/2007,0,0,55.5(1.83 %),0,0,0,0,0,0.0
04/05/2007,0,0,55(-0.90 %),0,0,0,0,0,0.0
07/05/2007,2000,110000000,55(0.00 %),2000,110000000,0,0,0,0.0
08/05/2007,0,0,56.5(2.73 %),0,0,0,0,0,0.0
09/05/2007,0,0,57(0.88 %),0,0,0,0,0,0.0
10/05/2007,0,0,56(-1.75 %),0,0,0,0,0,0.0
11/05/2007,0,0,56(0.00 %),0,0,0,0,0,0.0
14/05/2007,100,5850000,58.5(4.46 %),100,5850000,0,0,0,0.0
15/05/2007,0,0,61(4.27 %),0,0,0,0,0,0.0
16/05/2007,0,0,62(1.64 %),0,0,0,0,0,0.0
17/05/2007,0,0,62(0.00 %),0,0,0,0,0,0.0
18/05/2007,120,7440000,62(0.00 %),120,7440000,0,0,0,0.0
21/05/2007,100,6500000,65(4.84 %),100,6500000,0,0,0,0.0
22/05/2007,0,0,68(4.62 %),0,0,0,0,0,0.0
23/05/2007,0,0,70(2.94 %),0,0,0,0,0,0.0
24/05/2007,0,0,66.5(-5.00 %),0,0,0,0,0,0.0
25/05/2007,0,0,69(3.76 %),0,0,0,0,0,0.0
28/05/2007,0,0,70(1.45 %),0,0,0,0,0,0.0
29/05/2007,0,0,70(0.00 %),0,0,0,0,0,0.0
30/05/2007,-5500,-382250000,69(-1.43 %),0,0,5500,382250000,0,0.0
31/05/2007,0,0,72(4.35 %),0,0,0,0,0,0.0
01/06/2007,0,0,75.5(4.86 %),0,0,0,0,0,0.0
04/06/2007,0,0,79(4.64 %),0,0,0,0,0,0.0
05/06/2007,100,7900000,75.5(-4.43 %),100,7900000,0,0,0,0.0
06/06/2007,0,0,74(-1.99 %),0,0,0,0,0,0.0
07/06/2007,0,0,75(1.35 %),0,0,0,0,0,0.0
08/06/2007,-1000,-78500000,78.5(4.67 %),0,0,1000,78500000,0,0.0
11/06/2007,3100,232500000,75(-4.46 %),3100,232500000,0,0,0,0.0
12/06/2007,0,0,76(1.33 %),0,0,0,0,0,0.0
13/06/2007,200,15800000,79(3.95 %),200,15800000,0,0,0,0.0
14/06/2007,0,0,77(-2.53 %),0,0,0,0,0,0.0
15/06/2007,-600,-45500000,75(-2.60 %),400,30000000,1000,75500000,0,0.0
18/06/2007,400,29200000,73(-2.67 %),400,29200000,0,0,0,0.0
19/06/2007,-1300,-95650000,73(0.00 %),200,14600000,1500,110250000,0,0.0
20/06/2007,14540,1082460000,75(2.74 %),17540,1304460000,3000,222000000,0,0.0
21/06/2007,120,8880000,73.5(-2.00 %),120,8880000,0,0,0,0.0
22/06/2007,200,14300000,71.5(-2.72 %),200,14300000,0,0,0,0.0
25/06/2007,0,0,54(1.41 %),0,0,0,0,0,0.0
26/06/2007,600,31200000,52(-3.70 %),600,31200000,0,0,0,0.0
27/06/2007,300,15000000,49.4(-5.00 %),300,15000000,0,0,0,0.0
28/06/2007,0,0,48.1(-2.63 %),0,0,0,0,0,0.0
29/06/2007,0,0,48.5(0.83 %),0,0,0,0,0,0.0
02/07/2007,1050,49070000,46.6(-3.92 %),1050,49070000,0,0,0,0.0
03/07/2007,100,4500000,45(-3.43 %),100,4500000,0,0,0,0.0
04/07/2007,300,13500000,45.1(0.22 %),300,13500000,0,0,0,0.0
05/07/2007,0,0,45.2(0.22 %),0,0,0,0,0,0.0
06/07/2007,-300,-14100000,47(3.98 %),0,0,300,14100000,0,0.0
09/07/2007,0,0,49.3(4.89 %),0,0,0,0,0,0.0
10/07/2007,2000,102500000,51.5(4.46 %),2000,102500000,0,0,0,0.0
11/07/2007,-300,-15900000,52(0.97 %),0,0,300,15900000,0,0.0
12/07/2007,500,25500000,51(-1.92 %),500,25500000,0,0,0,0.0
13/07/2007,0,0,51(0.00 %),0,0,0,0,0,0.0
16/07/2007,0,0,51(0.00 %),0,0,0,0,0,0.0
17/07/2007,0,0,52.5(2.94 %),0,0,0,0,0,0.0
18/07/2007,300,15750000,52.5(0.00 %),300,15750000,0,0,0,0.0
19/07/2007,0,0,52.5(0.00 %),0,0,0,0,0,0.0
20/07/2007,0,0,52.5(0.00 %),0,0,0,0,0,0.0
23/07/2007,-950,-49875000,52.5(0.00 %),50,2625000,1000,52500000,0,0.0
24/07/2007,750,38625000,52(-0.95 %),750,38625000,0,0,0,0.0
25/07/2007,0,0,51(-1.92 %),0,0,0,0,0,0.0
26/07/2007,0,0,49.5(-2.94 %),0,0,0,0,0,0.0
27/07/2007,-1000,-49000000,49(-1.01 %),0,0,1000,49000000,0,0.0
30/07/2007,0,0,48.5(-1.02 %),0,0,0,0,0,0.0
31/07/2007,0,0,48(-1.03 %),0,0,0,0,0,0.0
01/08/2007,0,0,50(4.17 %),0,0,0,0,0,0.0
02/08/2007,0,0,49(-2.00 %),0,0,0,0,0,0.0
03/08/2007,20,980000,48.1(-1.84 %),20,980000,0,0,0,0.0
06/08/2007,20,950000,47.5(-1.25 %),20,950000,0,0,0,0.0
07/08/2007,0,0,48(1.05 %),0,0,0,0,0,0.0
08/08/2007,0,0,47.5(-1.04 %),0,0,0,0,0,0.0
09/08/2007,0,0,48.5(2.11 %),0,0,0,0,0,0.0
10/08/2007,0,0,48.5(0.00 %),0,0,0,0,0,0.0
13/08/2007,0,0,47.5(-2.06 %),0,0,0,0,0,0.0
14/08/2007,0,0,48(1.05 %),0,0,0,0,0,0.0
15/08/2007,0,0,48.5(1.04 %),0,0,0,0,0,0.0
16/08/2007,0,0,48(-1.03 %),0,0,0,0,0,0.0
17/08/2007,0,0,47.2(-1.67 %),0,0,0,0,0,0.0
20/08/2007,0,0,47(-0.42 %),0,0,0,0,0,0.0
21/08/2007,0,0,47(0.00 %),0,0,0,0,0,0.0
22/08/2007,0,0,46.6(-0.85 %),0,0,0,0,0,0.0
23/08/2007,0,0,47(0.86 %),0,0,0,0,0,0.0
24/08/2007,0,0,47.2(0.43 %),0,0,0,0,0,0.0
27/08/2007,0,0,47.5(0.64 %),0,0,0,0,0,0.0
28/08/2007,0,0,47.5(0.00 %),0,0,0,0,0,0.0
29/08/2007,0,0,47.2(-0.63 %),0,0,0,0,0,0.0
30/08/2007,0,0,47.5(0.64 %),0,0,0,0,0,0.0
31/08/2007,0,0,47.5(0.00 %),0,0,0,0,0,0.0
04/09/2007,11060,529028000,48(1.05 %),11060,529028000,0,0,0,0.0
05/09/2007,0,0,49.2(2.50 %),0,0,0,0,0,0.0
06/09/2007,0,0,49.6(0.81 %),0,0,0,0,0,0.0
07/09/2007,0,0,50(0.81 %),0,0,0,0,0,0.0
10/09/2007,0,0,50.5(1.00 %),0,0,0,0,0,0.0
11/09/2007,0,0,50(-0.99 %),0,0,0,0,0,0.0
12/09/2007,0,0,50(0.00 %),0,0,0,0,0,0.0
13/09/2007,0,0,49.5(-1.00 %),0,0,0,0,0,0.0
14/09/2007,-10860,-527240000,48.5(-2.02 %),200,9700000,11060,536940000,0,0.0
17/09/2007,0,0,48.5(0.00 %),0,0,0,0,0,0.0
18/09/2007,0,0,49.5(2.06 %),0,0,0,0,0,0.0
19/09/2007,500,24750000,49.5(0.00 %),500,24750000,0,0,0,0.0
20/09/2007,2590,129305000,50.5(2.02 %),2590,129305000,0,0,0,0.0
21/09/2007,500,25250000,50.5(0.00 %),500,25250000,0,0,0,0.0
24/09/2007,1000,52500000,52.5(3.96 %),1000,52500000,0,0,0,0.0
25/09/2007,-200,-10700000,53.5(1.90 %),0,0,200,10700000,0,0.0
26/09/2007,0,0,56(4.67 %),0,0,0,0,0,0.0
27/09/2007,3300,184800000,54(-3.57 %),3300,184800000,0,0,0,0.0
28/09/2007,0,0,53.5(-0.93 %),0,0,0,0,0,0.0
01/10/2007,-1000,-55000000,54.5(1.87 %),0,0,1000,55000000,0,0.0
02/10/2007,0,0,54.5(0.00 %),0,0,0,0,0,0.0
03/10/2007,1000,54500000,54.5(0.00 %),1000,54500000,0,0,0,0.0
04/10/2007,-3000,-159000000,53(-2.75 %),0,0,3000,159000000,0,0.0
05/10/2007,-500,-27750000,54.5(2.83 %),0,0,500,27750000,0,0.0
08/10/2007,0,0,53(-2.75 %),0,0,0,0,0,0.0
09/10/2007,0,0,55(3.77 %),0,0,0,0,0,0.0
10/10/2007,0,0,55(0.00 %),0,0,0,0,0,0.0
11/10/2007,0,0,55(0.00 %),0,0,0,0,0,0.0
12/10/2007,0,0,57.5(4.55 %),0,0,0,0,0,0.0
15/10/2007,190,11400000,60(4.35 %),190,11400000,0,0,0,0.0
16/10/2007,0,0,63(5.00 %),0,0,0,0,0,0.0
17/10/2007,50,3275000,61(-3.17 %),50,3275000,0,0,0,0.0
18/10/2007,0,0,60(-1.64 %),0,0,0,0,0,0.0
19/10/2007,100,5750000,60(0.00 %),100,5750000,0,0,0,0.0
22/10/2007,0,0,58.5(-2.50 %),0,0,0,0,0,0.0
23/10/2007,0,0,58.5(0.00 %),0,0,0,0,0,0.0
24/10/2007,0,0,58.5(0.00 %),0,0,0,0,0,0.0
25/10/2007,3000,177000000,60(2.56 %),3000,177000000,0,0,0,0.0
26/10/2007,0,0,63(5.00 %),0,0,0,0,0,0.0
29/10/2007,0,0,61.5(-2.38 %),0,0,0,0,0,0.0
30/10/2007,5000,310000000,62(0.81 %),5000,310000000,0,0,0,0.0
31/10/2007,-2500,-157000000,62(0.00 %),0,0,2500,157000000,0,0.0
01/11/2007,1500,92750000,62(0.00 %),2000,124000000,500,31250000,0,0.0
02/11/2007,-1700,-107100000,62(0.00 %),0,0,1700,107100000,0,0.0
05/11/2007,-3000,-178500000,59.5(-4.03 %),0,0,3000,178500000,0,0.0
06/11/2007,0,0,57.5(-3.36 %),0,0,0,0,0,0.0
07/11/2007,0,0,57(-0.87 %),2000,117000000,2000,117000000,0,0.0
08/11/2007,0,0,59.5(4.39 %),0,0,0,0,0,0.0
09/11/2007,-2000,-119520000,60.5(1.68 %),0,0,2000,119520000,0,0.0
12/11/2007,1000,61000000,57.5(-4.96 %),1000,61000000,0,0,0,0.0
13/11/2007,-90,-5140000,55(-4.35 %),100,5500000,190,10640000,0,0.0
14/11/2007,0,0,57.5(4.55 %),0,0,0,0,0,0.0
15/11/2007,0,0,57.5(0.00 %),0,0,0,0,0,0.0
16/11/2007,0,0,56.5(-1.74 %),0,0,0,0,0,0.0
19/11/2007,0,0,56.5(0.00 %),0,0,0,0,0,0.0
20/11/2007,0,0,57(0.88 %),0,0,0,0,0,0.0
21/11/2007,0,0,56(-1.75 %),0,0,0,0,0,0.0
22/11/2007,0,0,56(0.00 %),0,0,0,0,0,0.0
23/11/2007,0,0,55.5(-0.89 %),0,0,0,0,0,0.0
26/11/2007,0,0,56(0.90 %),0,0,0,0,0,0.0
27/11/2007,0,0,56(0.00 %),0,0,0,0,0,0.0
28/11/2007,0,0,55.5(-0.89 %),0,0,0,0,0,0.0
29/11/2007,0,0,56(0.90 %),0,0,0,0,0,0.0
30/11/2007,0,0,55.5(-0.89 %),0,0,0,0,0,0.0
03/12/2007,0,0,55(-0.90 %),0,0,0,0,0,0.0
04/12/2007,0,0,55(0.00 %),0,0,0,0,0,0.0
05/12/2007,0,0,54(-1.82 %),0,0,0,0,0,0.0
06/12/2007,0,0,56.5(4.63 %),0,0,0,0,0,0.0
07/12/2007,1000,56000000,56(-0.88 %),1000,56000000,0,0,0,0.0
10/12/2007,0,0,54(-3.57 %),0,0,0,0,0,0.0
11/12/2007,0,0,52.5(-2.78 %),0,0,0,0,0,0.0
12/12/2007,0,0,52.5(0.00 %),0,0,0,0,0,0.0
13/12/2007,0,0,52(-0.95 %),0,0,0,0,0,0.0
