Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
02/01/2007,0,0,24.8(2.48 %),0,0,0,0,0,0.0
03/01/2007,0,0,26(4.00 %),0,0,0,0,0,0.0
04/01/2007,0,0,28.6(10.00 %),0,0,0,0,0,0.0
05/01/2007,0,0,29.6(4.96 %),0,0,0,0,0,0.0
08/01/2007,0,0,30.2(2.03 %),0,0,0,0,0,0.0
09/01/2007,0,0,28.1(-6.95 %),0,0,0,0,0,0.0
10/01/2007,0,0,28.1(0.00 %),0,0,0,0,0,0.0
11/01/2007,0,0,26(-7.47 %),0,0,0,0,0,0.0
12/01/2007,0,0,26.1(0.00 %),0,0,0,0,0,0.0
15/01/2007,0,0,28(7.28 %),0,0,0,0,0,0.0
16/01/2007,0,0,28(3.70 %),0,0,0,0,0,0.0
18/01/2007,0,0,33(10.00 %),0,0,0,0,0,0.0
19/01/2007,0,0,34.6(9.84 %),0,0,0,0,0,0.0
22/01/2007,0,0,38(9.83 %),0,0,0,0,0,0.0
23/01/2007,900,35550000,38.5(1.32 %),900,35550000,0,0,0,0.0
25/01/2007,0,0,35.9(-9.80 %),0,0,0,0,0,0.0
26/01/2007,0,0,33.5(-9.95 %),0,0,0,0,0,0.0
29/01/2007,0,0,35.1(4.46 %),0,0,0,0,0,0.0
30/01/2007,0,0,37.1(9.76 %),0,0,0,0,0,0.0
31/01/2007,0,0,40.8(9.97 %),0,0,0,0,0,0.0
01/02/2007,0,0,40.2(-0.74 %),0,0,0,0,0,0.0
02/02/2007,-900,-36870000,40(-3.15 %),0,0,900,36870000,0,0.0
05/02/2007,0,0,40.3(-0.98 %),0,0,0,0,0,0.0
06/02/2007,0,0,39(-3.70 %),0,0,0,0,0,0.0
07/02/2007,0,0,38(-5.47 %),0,0,0,0,0,0.0
08/02/2007,0,0,38.5(-3.99 %),0,0,0,0,0,0.0
09/02/2007,0,0,37.2(-2.87 %),0,0,0,0,0,0.0
12/02/2007,0,0,40(4.99 %),0,0,0,0,0,0.0
13/02/2007,0,0,40.5(0.00 %),0,0,0,0,0,0.0
14/02/2007,0,0,41(3.27 %),0,0,0,0,0,0.0
15/02/2007,0,0,43.5(9.85 %),0,0,0,0,0,0.0
26/02/2007,0,0,47(9.56 %),0,0,0,0,0,0.0
27/02/2007,0,0,48(4.58 %),0,0,0,0,0,0.0
28/02/2007,0,0,49(2.94 %),0,0,0,0,0,0.0
01/03/2007,0,0,51.5(2.18 %),0,0,0,0,0,0.0
02/03/2007,0,0,55.8(9.84 %),0,0,0,0,0,0.0
05/03/2007,0,0,60.3(9.84 %),0,0,0,0,0,0.0
06/03/2007,0,0,66.3(9.95 %),0,0,0,0,0,0.0
07/03/2007,1000,72250000,72.5(9.35 %),1000,72250000,0,0,0,0.0
08/03/2007,0,0,78.5(9.94 %),0,0,0,0,0,0.0
09/03/2007,0,0,80.6(3.73 %),0,0,0,0,0,0.0
12/03/2007,0,0,81.1(1.25 %),0,0,0,0,0,0.0
13/03/2007,0,0,79(-3.30 %),0,0,0,0,0,0.0
14/03/2007,0,0,72.3(-9.96 %),0,0,0,0,0,0.0
15/03/2007,0,0,66.6(-9.88 %),0,0,0,0,0,0.0
16/03/2007,0,0,74.8(10.00 %),0,0,0,0,0,0.0
19/03/2007,0,0,80(8.11 %),0,0,0,0,0,0.0
20/03/2007,0,0,81(0.37 %),0,0,0,0,0,0.0
21/03/2007,0,0,80(-2.56 %),0,0,0,0,0,0.0
22/03/2007,0,0,78(1.56 %),0,0,0,0,0,0.0
23/03/2007,0,0,73(-8.75 %),0,0,0,0,0,0.0
26/03/2007,0,0,75.5(-1.69 %),0,0,0,0,0,0.0
27/03/2007,0,0,67.7(-9.97 %),0,0,0,0,0,0.0
28/03/2007,0,0,68.1(-0.58 %),0,0,0,0,0,0.0
29/03/2007,0,0,68(9.68 %),0,0,0,0,0,0.0
30/03/2007,0,0,64(-5.04 %),0,0,0,0,0,0.0
02/04/2007,0,0,59.4(-9.86 %),0,0,0,0,0,0.0
03/04/2007,0,0,57(-6.25 %),0,0,0,0,0,0.0
04/04/2007,0,0,59.5(4.02 %),0,0,0,0,0,0.0
05/04/2007,0,0,58.5(-0.34 %),0,0,0,0,0,0.0
06/04/2007,0,0,56(-3.95 %),0,0,0,0,0,0.0
09/04/2007,0,0,54.3(-3.38 %),0,0,0,0,0,0.0
