Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
26/11/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
27/11/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
28/11/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
01/12/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
02/12/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
03/12/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
04/12/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
05/12/2008,0,0,44.6(-4.90 %),0,0,0,0,0,0.0
08/12/2008,0,0,42.4(-4.93 %),0,0,0,0,0,0.0
09/12/2008,0,0,40.3(-4.95 %),0,0,0,0,0,0.0
10/12/2008,6690,256227000,38.5(-4.47 %),6690,256227000,0,0,0,0.0
11/12/2008,0,0,40.4(4.94 %),0,0,0,0,0,0.0
12/12/2008,0,0,42.4(4.95 %),0,0,0,0,0,0.0
15/12/2008,170,7565000,44.5(4.95 %),170,7565000,0,0,0,0.0
16/12/2008,10000,437500000,43(-3.37 %),10000,437500000,0,0,0,0.0
17/12/2008,5000,215000000,43(0.00 %),5000,215000000,0,0,0,0.0
18/12/2008,0,0,43(0.00 %),0,0,0,0,0,0.0
19/12/2008,4880,207400000,42.5(-1.16 %),4880,207400000,0,0,0,0.0
22/12/2008,0,0,41(-3.53 %),0,0,0,0,0,0.0
23/12/2008,1790,71600000,40.5(-1.22 %),1790,71600000,0,0,0,0.0
24/12/2008,0,0,39.5(-2.47 %),0,0,0,0,0,0.0
25/12/2008,0,0,40(1.27 %),0,0,0,0,0,0.0
26/12/2008,5000,204500000,40.9(2.25 %),5000,204500000,0,0,0,0.0
29/12/2008,0,0,42(2.69 %),0,0,0,0,0,0.0
30/12/2008,3080,129360000,43(2.38 %),3080,129360000,0,0,0,0.0
31/12/2008,0,0,42(-2.33 %),0,0,0,0,0,0.0
02/01/2009,0,0,41(-2.38 %),0,0,0,0,3085600,10.43
05/01/2009,0,0,41(0.00 %),0,0,0,0,3085600,10.43
06/01/2009,0,0,41.8(1.95 %),0,0,0,0,3085600,10.43
07/01/2009,0,0,41(-1.91 %),0,0,0,0,3085600,10.43
08/01/2009,0,0,41.9(2.20 %),0,0,0,0,3085600,10.43
09/01/2009,20,830000,42(0.24 %),20,830000,0,0,3085580,10.43
12/01/2009,0,0,42(0.00 %),0,0,0,0,3085580,10.43
13/01/2009,0,0,41.8(-0.48 %),0,0,0,0,3085580,10.43
14/01/2009,0,0,41.1(-1.67 %),0,0,0,0,3085580,10.43
15/01/2009,0,0,41.1(0.00 %),0,0,0,0,3085580,10.43
16/01/2009,0,0,41(-0.24 %),0,0,0,0,3085580,10.43
19/01/2009,0,0,39.3(-4.15 %),0,0,0,0,3085580,10.43
20/01/2009,0,0,38.9(-1.02 %),0,0,0,0,3085580,10.43
21/01/2009,0,0,38.9(0.00 %),0,0,0,0,3085580,10.43
22/01/2009,0,0,39(0.26 %),0,0,0,0,3085580,10.43
23/01/2009,0,0,40.2(3.08 %),0,0,0,0,3085580,10.43
02/02/2009,0,0,40(-0.50 %),0,0,0,0,3085580,10.43
03/02/2009,0,0,38.5(-3.75 %),0,0,0,0,3085580,10.43
04/02/2009,0,0,38.5(0.00 %),0,0,0,0,3085580,10.43
05/02/2009,0,0,38.3(-0.52 %),0,0,0,0,3085580,10.43
06/02/2009,0,0,39(1.83 %),0,0,0,0,3085580,10.43
09/02/2009,0,0,40.5(3.85 %),0,0,0,0,3085580,10.43
10/02/2009,0,0,38.8(-4.20 %),0,0,0,0,3085580,10.43
11/02/2009,0,0,39(0.52 %),4950,192060000,4950,192060000,3085580,10.43
12/02/2009,0,0,38.6(-1.03 %),0,0,0,0,3085580,10.43
13/02/2009,0,0,39(1.04 %),0,0,0,0,3085580,10.43
16/02/2009,0,0,39(0.00 %),0,0,0,0,3085580,10.43
17/02/2009,0,0,39.3(0.77 %),0,0,0,0,3085580,10.43
18/02/2009,0,0,38(-3.31 %),0,0,0,0,3085580,10.43
19/02/2009,0,0,36.6(-3.68 %),0,0,0,0,3085580,10.43
20/02/2009,0,0,38.4(4.92 %),0,0,0,0,3085580,10.43
23/02/2009,0,0,36.8(-4.17 %),0,0,0,0,3085580,10.43
24/02/2009,0,0,36.5(-0.82 %),0,0,0,0,3085580,10.43
25/02/2009,-100000,-3550000000,38(4.11 %),0,0,100000,3550000000,3185580,9.18
26/02/2009,0,0,36.7(-3.42 %),0,0,0,0,3185580,9.18
27/02/2009,0,0,36(-1.91 %),0,0,0,0,3185580,9.18
02/03/2009,0,0,36(-1.91 %),0,0,0,0,3185580,9.18
03/03/2009,0,0,36(0.00 %),0,0,0,0,3185580,9.18
04/03/2009,0,0,36(0.00 %),0,0,0,0,3185580,9.18
05/03/2009,0,0,37(2.78 %),0,0,0,0,3185580,9.18
