Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
19/04/2017,0,0,0(0.00 %),0,0,0,0,11997650,0.0
20/04/2017,0,0,0(0.00 %),0,0,0,0,11997650,0.0
21/04/2017,0,0,0(0.00 %),0,0,0,0,11997650,0.0
24/04/2017,0,0,0(0.00 %),0,0,0,0,11997650,0.0
25/04/2017,0,0,0(0.00 %),0,0,0,0,11997650,0.0
26/04/2017,0,0,0(0.00 %),0,0,0,0,11997650,0.0
27/04/2017,0,0,0(0.00 %),0,0,0,0,11997650,0.0
28/04/2017,0,0,0(0.00 %),0,0,0,0,11997650,0.0
03/05/2017,0,0,8.5(0.00 %),0,0,0,0,11997650,0.0
04/05/2017,0,0,9.3(9.41 %),0,0,0,0,11997650,0.0
05/05/2017,0,0,9.3(0.00 %),0,0,0,0,11997650,0.0
08/05/2017,0,0,9.3(0.00 %),0,0,0,0,11997650,0.0
09/05/2017,0,0,9.3(0.00 %),0,0,0,0,11997650,0.0
10/05/2017,0,0,9.3(0.00 %),0,0,0,0,11997650,0.0
11/05/2017,0,0,9.3(0.00 %),0,0,0,0,11997650,0.0
12/05/2017,0,0,9.3(0.00 %),0,0,0,0,11997650,0.0
15/05/2017,0,0,9.3(0.00 %),0,0,0,0,11997650,0.0
16/05/2017,0,0,9(-3.23 %),0,0,0,0,11997650,0.0
17/05/2017,0,0,7.7(-14.44 %),0,0,0,0,11997650,0.0
18/05/2017,0,0,7.7(0.00 %),0,0,0,0,11997650,0.0
19/05/2017,0,0,7.7(0.00 %),0,0,0,0,11997650,0.0
22/05/2017,0,0,7.7(0.00 %),0,0,0,0,11997650,0.0
23/05/2017,0,0,7.7(0.00 %),0,0,0,0,11997650,0.0
24/05/2017,0,0,7.7(0.00 %),0,0,0,0,11997650,0.0
25/05/2017,0,0,7.7(0.00 %),0,0,0,0,11997650,0.0
26/05/2017,0,0,7.7(0.00 %),0,0,0,0,11997650,0.0
