Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
19/04/2017,3.7,7.5,0.5(7.14 %),300,2250000,0,0,7.5,7.5,7.5
20/04/2017,3.7,7.5,0(0.00 %),0,0,0,0,7.5,7.5,7.5
21/04/2017,3.7,7.5,0(0.00 %),0,0,0,0,7.5,7.5,7.5
24/04/2017,3.7,7.5,0(0.00 %),0,0,0,0,7.5,7.5,7.5
25/04/2017,3.7,7.5,0(0.00 %),0,0,0,0,7.5,7.5,7.5
26/04/2017,3.7,7.5,0(0.00 %),0,0,0,0,7.5,7.5,7.5
27/04/2017,3.7,7.5,0(0.00 %),1100,9350000,0,0,8.6,8.6,7.5
28/04/2017,4.19,8.5,0(0.00 %),0,0,0,0,8.5,8.5,8.5
03/05/2017,4.19,8.5,0(0.00 %),0,0,0,0,8.5,8.5,8.5
04/05/2017,4.58,9.3,0.8(9.41 %),300,2790000,0,0,9.3,9.3,9.3
05/05/2017,4.58,9.3,0(0.00 %),0,0,0,0,9.3,9.3,9.3
08/05/2017,4.58,9.3,0(0.00 %),0,0,0,0,9.3,9.3,9.3
09/05/2017,4.58,9.3,0(0.00 %),0,0,0,0,9.3,9.3,9.3
10/05/2017,4.58,9.3,0(0.00 %),0,0,0,0,9.3,9.3,9.3
11/05/2017,4.58,9.3,0(0.00 %),0,0,0,0,9.3,9.3,9.3
12/05/2017,4.58,9.3,0(0.00 %),0,0,0,0,9.3,9.3,9.3
15/05/2017,4.58,9.3,0(0.00 %),0,0,0,0,9.3,9.3,9.3
16/05/2017,4.44,9.0,-0.3(-3.23 %),1300,11700000,0,0,9.0,9.0,9.0
17/05/2017,3.8,7.7,-1.3(-14.44 %),5100,39270000,0,0,7.7,7.7,7.7
18/05/2017,3.8,7.7,0(0.00 %),0,0,0,0,7.7,7.7,7.7
19/05/2017,3.8,7.7,0(0.00 %),0,0,0,0,7.7,7.7,7.7
22/05/2017,3.8,7.7,0(0.00 %),0,0,0,0,7.7,7.7,7.7
23/05/2017,3.8,7.7,0(0.00 %),0,0,0,0,7.7,7.7,7.7
24/05/2017,3.8,7.7,0(0.00 %),0,0,0,0,7.7,7.7,7.7
25/05/2017,3.8,7.7,0(0.00 %),0,0,0,0,7.7,7.7,7.7
26/05/2017,3.8,7.7,0(0.00 %),0,0,14500,101500000,7.7,7.7,7.7
29/05/2017,3.8,7.7,0(0.00 %),0,0,0,0,7.7,7.7,7.7
30/05/2017,3.8,7.7,0(0.00 %),0,0,0,0,7.7,7.7,7.7
31/05/2017,3.8,7.7,0(0.00 %),0,0,19500,136500000,7.7,7.7,7.7
01/06/2017,3.8,7.7,0(0.00 %),0,0,0,0,7.7,7.7,7.7
02/06/2017,3.8,7.7,0(0.00 %),0,0,0,0,7.7,7.7,7.7
05/06/2017,3.3,6.7,-1(-12.99 %),100,670000,0,0,6.7,6.7,6.7
06/06/2017,3.3,6.7,0(0.00 %),0,0,0,0,6.7,6.7,6.7
07/06/2017,3.11,6.3,-0.4(-5.97 %),100,630000,0,0,6.3,6.3,6.3
08/06/2017,3.06,6.2,-0.1(-1.59 %),100,620000,0,0,6.2,6.2,6.2
09/06/2017,2.96,6.0,-0.2(-3.23 %),200,1200000,0,0,6.0,6.0,6.0
12/06/2017,2.66,5.4,-0.6(-10.00 %),100,540000,0,0,5.4,5.4,5.4
13/06/2017,2.66,5.4,0(0.00 %),5900,28440000,0,0,6.2,6.2,4.7
14/06/2017,2.71,5.5,0.7(14.58 %),300,1650000,0,0,5.5,5.5,5.5
16/06/2017,2.96,6.0,0.4(7.14 %),6000,29640000,0,0,6.2,6.2,4.9
19/06/2017,2.76,5.6,0.7(14.29 %),100,560000,0,0,5.6,5.6,5.6
20/06/2017,2.76,5.6,0(0.00 %),500,2880000,0,0,6.4,6.4,5.6
21/06/2017,2.46,5.0,-0.8(-13.79 %),1400,7090000,0,0,5.0,5.1,5.0
22/06/2017,2.86,5.8,0.7(13.73 %),100,580000,0,0,5.8,5.8,5.8
23/06/2017,2.46,5.0,-0.8(-13.79 %),400,2160000,0,0,6.6,6.6,5.0
26/06/2017,2.71,5.5,0.1(1.85 %),5200,27290000,0,0,4.7,5.5,4.6
27/06/2017,2.91,5.9,0.7(13.46 %),100,590000,0,0,5.9,5.9,5.9
28/06/2017,3.3,6.7,0.8(13.56 %),100,670000,0,0,6.7,6.7,6.7
29/06/2017,3.3,6.7,0(0.00 %),0,0,0,0,6.7,6.7,6.7
30/06/2017,3.3,6.7,0(0.00 %),0,0,0,0,6.7,6.7,6.7
03/07/2017,2.81,5.7,-1(-14.93 %),8200,46940000,0,0,7.7,7.7,5.7
04/07/2017,2.46,5.0,-0.7(-12.28 %),800,4000000,0,0,5.0,5.0,5.0
05/07/2017,2.56,5.2,0.2(4.00 %),4000,21800000,0,0,5.7,5.7,5.0
06/07/2017,2.37,4.8,-0.7(-12.73 %),200,980000,0,0,5.0,5.0,4.8
07/07/2017,2.66,5.4,0.5(10.20 %),100,540000,0,0,5.4,5.4,5.4
10/07/2017,2.27,4.6,-0.8(-14.81 %),4900,23310000,0,0,5.1,5.3,4.6
11/07/2017,2.46,5.0,0.2(4.17 %),500,2330000,0,0,5.0,5.0,4.2
12/07/2017,2.27,4.6,-0.1(-2.13 %),700,3220000,0,0,4.6,4.6,4.6
13/07/2017,2.22,4.5,-0.1(-2.17 %),5000,22040000,0,0,4.4,4.5,4.1
14/07/2017,2.22,4.5,0.1(2.27 %),400,1680000,0,0,4.1,4.5,4.1
17/07/2017,2.22,4.5,0.3(7.14 %),5000,21040000,0,0,4.3,4.5,4.2
18/07/2017,2.27,4.6,0.4(9.52 %),100,460000,0,0,4.6,4.6,4.6
19/07/2017,2.27,4.6,0(0.00 %),0,0,0,0,4.6,4.6,4.6
20/07/2017,2.07,4.2,-0.4(-8.70 %),1800,7630000,0,0,4.9,4.9,4.2
21/07/2017,2.07,4.2,0(0.00 %),0,0,0,0,4.2,4.2,4.2
24/07/2017,2.07,4.2,0(0.00 %),200,840000,0,0,4.2,4.2,4.2
25/07/2017,2.02,4.1,-0.1(-2.38 %),6100,25010000,0,0,4.1,4.1,4.1
26/07/2017,2.02,4.1,0(0.00 %),0,0,0,0,4.1,4.1,4.1
27/07/2017,2.02,4.1,0(0.00 %),800,3280000,0,0,4.1,4.1,4.1
28/07/2017,2.32,4.7,0.6(14.63 %),3000,13950000,0,0,4.6,4.7,4.6
31/07/2017,2.32,4.7,0(0.00 %),0,0,0,0,4.7,4.7,4.7
01/08/2017,2.32,4.7,0(0.00 %),0,0,0,0,4.7,4.7,4.7
02/08/2017,2.02,4.1,-0.6(-12.77 %),3200,13120000,0,0,4.1,4.1,4.1
03/08/2017,2.27,4.6,0.5(12.20 %),3000,13800000,0,0,4.6,4.6,4.6
04/08/2017,2.27,4.6,0(0.00 %),0,0,0,0,4.6,4.6,4.6
07/08/2017,2.27,4.6,0(0.00 %),2000,9200000,0,0,4.6,4.6,4.6
08/08/2017,2.07,4.2,-0.4(-8.70 %),500,2100000,0,0,4.2,4.2,4.2
09/08/2017,2.22,4.5,0.3(7.14 %),4200,18900000,0,0,4.5,4.5,4.5
10/08/2017,2.22,4.5,0(0.00 %),0,0,0,0,4.5,4.5,4.5
11/08/2017,2.46,5.0,0.5(11.11 %),5100,25470000,0,0,4.9,5.0,4.9
14/08/2017,2.46,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
15/08/2017,2.22,4.5,-0.5(-10.00 %),11800,53100000,0,0,4.5,4.5,4.5
16/08/2017,2.12,4.3,-0.2(-4.44 %),200,860000,0,0,4.3,4.3,4.3
17/08/2017,2.12,4.3,0(0.00 %),0,0,0,0,4.3,4.3,4.3
18/08/2017,2.12,4.3,0(0.00 %),0,0,0,0,4.3,4.3,4.3
21/08/2017,2.12,4.3,0(0.00 %),0,0,0,0,4.3,4.3,4.3
22/08/2017,2.27,4.6,0.3(6.98 %),100,460000,0,0,4.6,4.6,4.6
23/08/2017,2.27,4.6,0(0.00 %),0,0,0,0,4.6,4.6,4.6
24/08/2017,2.22,4.5,-0.1(-2.17 %),2200,9900000,0,0,4.5,4.5,4.5
25/08/2017,2.46,5.0,0.5(11.11 %),4700,21460000,0,0,4.3,5.0,4.3
28/08/2017,2.37,4.8,0.2(4.35 %),120,574000,0,0,4.8,4.8,4.8
29/08/2017,2.12,4.3,-0.5(-10.42 %),2000,8600000,0,0,4.3,4.3,4.3
30/08/2017,2.12,4.3,0(0.00 %),5700,24510000,0,0,4.3,4.3,4.3
31/08/2017,2.07,4.2,-0.1(-2.33 %),8300,35220000,0,0,4.3,4.3,4.2
01/09/2017,2.32,4.7,0.5(11.90 %),100,470000,0,0,4.7,4.7,4.7
05/09/2017,2.32,4.7,0(0.00 %),0,0,0,0,4.7,4.7,4.7
06/09/2017,2.32,4.7,0(0.00 %),0,0,0,0,4.7,4.7,4.7
