Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
02/06/2017,100,7420000,62(0.32 %),100,7420000,0,0,2239302,0.0
05/06/2017,5800,379340000,66(6.45 %),5800,379340000,0,0,2233502,0.13
06/06/2017,1300,85900000,71(7.58 %),1300,85900000,0,0,2232202,0.16
07/06/2017,4800,323560000,67.1(-5.49 %),4800,323560000,0,0,2227402,0.26
08/06/2017,1700,114250000,69(2.83 %),1700,114250000,0,0,2225702,0.3
09/06/2017,1900,127520000,71.8(4.06 %),1900,127520000,0,0,2223802,0.34
12/06/2017,2900,203000000,71.8(0.00 %),2900,203000000,0,0,2220902,0.4
13/06/2017,7400,518000000,69.5(-3.20 %),7400,518000000,0,0,2213502,0.57
14/06/2017,900,62010000,68.9(-0.86 %),900,62010000,0,0,2212602,0.59
15/06/2017,0,0,67.5(-2.03 %),0,0,0,0,2212602,0.59
16/06/2017,5000,304000000,60.8(-9.93 %),5000,304000000,0,0,2207602,0.7
19/06/2017,900,55560000,64.1(5.43 %),900,55560000,0,0,2206702,0.72
20/06/2017,0,0,64.1(0.00 %),0,0,0,0,2206702,0.72
21/06/2017,4500,292500000,66(2.96 %),4500,292500000,0,0,2202202,0.81
22/06/2017,800,54000000,68(3.03 %),800,54000000,0,0,2201402,0.83
23/06/2017,100,6900000,69(1.47 %),100,6900000,0,0,2201302,0.83
26/06/2017,1000,62200000,62.2(-9.86 %),1000,62200000,0,0,2200302,0.86
27/06/2017,600,37380000,62.2(0.00 %),600,37380000,0,0,2199702,0.87
28/06/2017,2000,126000000,65(4.50 %),2000,126000000,0,0,2197702,0.91
29/06/2017,2200,138420000,63.5(-2.31 %),2200,138420000,0,0,2195502,0.96
30/06/2017,7300,437420000,62(-2.36 %),7300,437420000,0,0,2188202,1.12
03/07/2017,1600,94580000,59.9(-3.39 %),1600,94580000,0,0,2186602,1.16
04/07/2017,2400,142130000,59.3(-1.00 %),2400,142130000,0,0,2184202,1.21
05/07/2017,3900,227700000,59.2(-0.17 %),3900,227700000,0,0,2180302,1.29
06/07/2017,1200,69600000,58.4(-1.35 %),1200,69600000,0,0,2179102,1.32
07/07/2017,11600,659290000,56(-4.11 %),11600,659290000,0,0,2167502,1.57
10/07/2017,0,0,56(0.00 %),0,0,0,0,2167502,1.57
11/07/2017,12000,659670000,54.9(-1.96 %),12000,659670000,0,0,2155502,1.84
12/07/2017,0,0,55(0.18 %),0,0,0,0,2155502,1.84
13/07/2017,100,5700000,57(3.64 %),100,5700000,0,0,2155402,1.84
14/07/2017,0,0,55(-3.51 %),0,0,0,0,2155402,1.84
17/07/2017,200,10900000,54.9(-0.18 %),200,10900000,0,0,2155202,1.84
18/07/2017,0,0,54.9(0.00 %),0,0,0,0,2155202,1.84
19/07/2017,-400,-21600000,52.3(-4.74 %),0,0,400,21600000,2155202,1.84
20/07/2017,6400,330210000,51.6(-1.34 %),6500,335400000,100,5190000,2148702,1.98
21/07/2017,500,24600000,52(0.78 %),500,24600000,0,0,2148202,2.0
24/07/2017,0,0,51.5(-0.96 %),0,0,0,0,2148602,1.99
25/07/2017,0,0,51.6(0.19 %),0,0,0,0,2148702,1.98
26/07/2017,0,0,51.6(0.00 %),0,0,0,0,2148702,1.98
27/07/2017,0,0,51.6(0.00 %),0,0,0,0,2148702,1.98
28/07/2017,0,0,51.6(0.00 %),0,0,0,0,2148702,1.98
31/07/2017,300,14760000,49.2(-4.65 %),300,14760000,0,0,2148402,1.99
01/08/2017,6500,318720000,48(-2.44 %),6500,318720000,0,0,2141902,2.13
02/08/2017,0,0,50.5(5.21 %),0,0,0,0,2141902,2.13
03/08/2017,14000,697900000,50.9(0.79 %),14000,697900000,0,0,2127902,2.44
04/08/2017,6100,304490000,51.5(1.18 %),6100,304490000,0,0,2121802,2.57
07/08/2017,0,0,52(0.97 %),0,0,0,0,2121802,2.57
08/08/2017,1000,51850000,52.7(1.35 %),1000,51850000,0,0,2120802,2.6
09/08/2017,0,0,52.5(-0.38 %),0,0,0,0,2120802,2.6
10/08/2017,0,0,53(0.95 %),0,0,0,0,2120802,2.6
11/08/2017,0,0,54.9(3.58 %),0,0,0,0,2120802,2.6
14/08/2017,0,0,53(-3.46 %),0,0,0,0,2120802,2.6
15/08/2017,0,0,52.9(-0.19 %),0,0,0,0,2120802,2.6
16/08/2017,0,0,52.7(-0.38 %),0,0,0,0,2120802,2.6
17/08/2017,0,0,52.5(-0.38 %),0,0,0,0,2120802,2.6
18/08/2017,30200,1510160000,52(-0.95 %),30200,1510160000,0,0,2090602,3.26
21/08/2017,0,0,52(0.00 %),0,0,0,0,2090602,3.26
22/08/2017,0,0,51.5(-0.96 %),0,0,0,0,2090602,3.26
23/08/2017,6500,325020000,50(-2.91 %),6500,325020000,0,0,2084102,3.4
24/08/2017,0,0,54.5(9.00 %),0,0,0,0,2084102,3.4
25/08/2017,0,0,54.5(0.00 %),0,0,0,0,2084102,3.4
28/08/2017,2500,129370000,52(-4.59 %),2500,129370000,0,0,2081602,3.45
29/08/2017,900,46350000,53.8(3.46 %),900,46350000,0,0,2080702,3.47
30/08/2017,0,0,51.5(-4.28 %),0,0,0,0,2080702,3.47
31/08/2017,600,30900000,51.5(0.00 %),600,30900000,0,0,2080102,3.49
01/09/2017,0,0,50.5(-1.94 %),0,0,0,0,2080102,3.49
05/09/2017,0,0,51.5(1.98 %),0,0,0,0,2080102,3.49
06/09/2017,0,0,53(2.91 %),0,0,0,0,2080102,3.49
07/09/2017,0,0,50.4(-4.91 %),0,0,0,0,2080102,3.49
08/09/2017,1000,50500000,50.2(-0.40 %),1000,50500000,0,0,2079102,3.51
11/09/2017,300,15000000,50.2(0.00 %),300,15000000,0,0,2078802,3.51
12/09/2017,0,0,51.4(2.39 %),0,0,0,0,2078802,3.51
13/09/2017,2200,110880000,50.2(-2.33 %),2200,110880000,0,0,2076602,3.56
14/09/2017,800,42100000,53(5.58 %),800,42100000,0,0,2075802,3.58
15/09/2017,-2200,-117480000,53.5(0.94 %),0,0,2200,117480000,2075802,3.58
18/09/2017,0,0,54.4(1.68 %),0,0,0,0,2075802,3.58
19/09/2017,0,0,54(-0.74 %),0,0,0,0,2075802,3.58
20/09/2017,0,0,59.4(10.00 %),0,0,0,0,2078002,3.53
21/09/2017,0,0,60.4(1.68 %),0,0,0,0,2078002,3.53
22/09/2017,0,0,63.9(5.79 %),0,0,0,0,2078002,3.53
25/09/2017,-1500,-110780000,59.1(-7.51 %),3500,206740000,5000,317520000,2074502,3.61
26/09/2017,-100,-6230000,62.3(5.41 %),0,0,100,6230000,2074502,3.61
27/09/2017,-100,-6240000,62.7(0.64 %),0,0,100,6240000,2074502,3.61
28/09/2017,0,0,62.8(0.16 %),0,0,0,0,2079502,3.5
29/09/2017,0,0,62.7(-0.16 %),0,0,0,0,2079602,3.5
02/10/2017,0,0,58.6(-6.54 %),0,0,0,0,2079702,3.49
03/10/2017,0,0,61.3(4.61 %),0,0,0,0,2079702,3.49
04/10/2017,0,0,60.8(-0.82 %),0,0,0,0,2079702,3.49
05/10/2017,0,0,56.8(-6.58 %),0,0,0,0,2079702,3.49
06/10/2017,0,0,56.8(0.00 %),0,0,0,0,2079702,3.49
09/10/2017,0,0,61.2(7.75 %),0,0,0,0,2079702,3.49
10/10/2017,0,0,58(-5.23 %),0,0,0,0,2079702,3.49
11/10/2017,0,0,56(-3.45 %),0,0,0,0,2079702,3.49
12/10/2017,1400,78450000,56(0.00 %),1400,78450000,0,0,2078302,3.53
13/10/2017,0,0,56(0.00 %),0,0,0,0,2078302,3.53
16/10/2017,0,0,56(0.00 %),0,0,0,0,2078302,3.53
17/10/2017,0,0,56(0.00 %),0,0,0,0,2078302,3.53
18/10/2017,0,0,56(0.00 %),0,0,0,0,2078302,3.53
19/10/2017,0,0,56(0.00 %),0,0,0,0,2078302,3.53
20/10/2017,0,0,56(0.00 %),0,0,0,0,2078302,3.53
23/10/2017,1400,78400000,56(0.00 %),1400,78400000,0,0,2076902,3.56
24/10/2017,0,0,53.3(-4.82 %),0,0,0,0,2076902,3.56
25/10/2017,0,0,56(5.07 %),0,0,0,0,2076902,3.56
