Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
13/10/2009,0,0,33(37.50 %),0,0,0,0,1675520,11.25
14/10/2009,0,0,32(-3.61 %),0,0,0,0,1675520,11.25
15/10/2009,0,0,31(-3.12 %),0,0,0,0,1675520,11.25
16/10/2009,0,0,29(-6.75 %),0,0,0,0,1675520,11.25
19/10/2009,0,0,27.8(-6.40 %),0,0,0,0,1675520,11.25
20/10/2009,0,0,29.8(6.81 %),0,0,0,0,1675520,11.25
21/10/2009,0,0,31(6.90 %),0,0,0,0,1675520,11.25
22/10/2009,0,0,31(0.00 %),0,0,0,0,1675520,11.25
23/10/2009,0,0,29.6(-6.62 %),0,0,0,0,1675520,11.25
26/10/2009,0,0,28(-6.04 %),0,0,0,0,1675520,11.25
27/10/2009,100,2850000,28.1(0.00 %),100,2850000,0,0,1675420,11.26
28/10/2009,0,0,28.8(4.35 %),0,0,0,0,1675420,11.26
29/10/2009,0,0,28(-1.75 %),0,0,0,0,1675420,11.26
30/10/2009,0,0,28.5(3.26 %),0,0,0,0,1675420,11.26
02/11/2009,0,0,26.8(-5.96 %),0,0,0,0,1675420,11.26
03/11/2009,4100,104140000,25.4(-6.96 %),4100,104140000,0,0,1671320,11.35
04/11/2009,0,0,25.1(-2.33 %),0,0,0,0,1671320,11.35
05/11/2009,0,0,26.5(6.85 %),0,0,0,0,1671320,11.35
06/11/2009,0,0,26.5(0.38 %),0,0,0,0,1671320,11.35
09/11/2009,0,0,25.1(-6.69 %),0,0,0,0,1671320,11.35
10/11/2009,0,0,24.1(-5.12 %),0,0,0,0,1671320,11.35
11/11/2009,0,0,25(3.73 %),0,0,0,0,1671320,11.35
12/11/2009,0,0,25.1(3.29 %),0,0,0,0,1671320,11.35
13/11/2009,0,0,25(-0.40 %),0,0,0,0,1671320,11.35
16/11/2009,0,0,25(0.00 %),0,0,0,0,1671320,11.35
17/11/2009,0,0,24.2(-5.47 %),0,0,0,0,1671320,11.35
18/11/2009,0,0,24.1(0.00 %),0,0,0,0,1671320,11.35
19/11/2009,0,0,25.5(5.81 %),0,0,0,0,1671320,11.35
20/11/2009,0,0,25(-2.34 %),0,0,0,0,1671320,11.35
23/11/2009,0,0,25.7(2.39 %),0,0,0,0,1671320,11.35
24/11/2009,0,0,25.5(2.41 %),0,0,0,0,1671320,11.35
25/11/2009,0,0,23.7(-6.32 %),0,0,0,0,1671320,11.35
26/11/2009,0,0,22.4(-6.67 %),0,0,0,0,1671320,11.35
27/11/2009,0,0,23(2.22 %),0,0,0,0,1671320,11.35
30/11/2009,0,0,23.8(3.93 %),0,0,0,0,1671320,11.35
01/12/2009,0,0,24.3(6.58 %),0,0,0,0,1671320,11.35
02/12/2009,0,0,25(3.31 %),0,0,0,0,1671320,11.35
03/12/2009,0,0,23.3(-6.80 %),0,0,0,0,1671320,11.35
04/12/2009,0,0,23(-1.29 %),0,0,0,0,1671320,11.35
07/12/2009,0,0,23.2(0.00 %),0,0,0,0,1671320,11.35
08/12/2009,0,0,23.2(0.00 %),0,0,0,0,1671320,11.35
09/12/2009,0,0,22(-5.17 %),0,0,0,0,1671320,11.35
10/12/2009,0,0,20.5(-6.82 %),0,0,0,0,1671320,11.35
11/12/2009,0,0,19.1(-6.83 %),0,0,0,0,1671320,11.35
14/12/2009,0,0,19(-0.52 %),0,0,0,0,1671320,11.35
15/12/2009,0,0,19(0.00 %),0,0,0,0,1671320,11.35
16/12/2009,0,0,19(0.00 %),0,0,0,0,1671320,11.35
17/12/2009,0,0,20.1(5.79 %),0,0,0,0,1671320,11.35
18/12/2009,0,0,19.9(-1.00 %),0,0,0,0,1671320,11.35
21/12/2009,0,0,21(5.53 %),0,0,0,0,1671320,11.35
22/12/2009,0,0,19(-6.40 %),0,0,0,0,1671320,11.35
23/12/2009,0,0,19(0.00 %),0,0,0,0,1671320,11.35
24/12/2009,0,0,19.1(0.53 %),0,0,0,0,1671320,11.35
25/12/2009,0,0,19.1(0.00 %),0,0,0,0,1671320,11.35
28/12/2009,0,0,19(-1.55 %),0,0,0,0,1671320,11.35
29/12/2009,0,0,19(0.00 %),0,0,0,0,1671320,11.35
30/12/2009,0,0,18.2(-4.21 %),0,0,0,0,1671320,11.35
31/12/2009,0,0,17.9(-1.65 %),0,0,0,0,1671320,11.35
04/01/2010,10000,186960000,18.7(6.86 %),10000,186960000,0,0,1661320,11.57
05/01/2010,0,0,20(6.95 %),0,0,0,0,1661320,11.57
06/01/2010,0,0,19.5(-2.50 %),0,0,0,0,1661320,11.57
07/01/2010,0,0,18.5(-6.09 %),0,0,0,0,1661320,11.57
08/01/2010,0,0,18.1(-2.16 %),0,0,0,0,1661320,11.57
11/01/2010,0,0,18.7(0.00 %),0,0,0,0,1661320,11.57
12/01/2010,0,0,17.4(-6.95 %),0,0,0,0,1661320,11.57
13/01/2010,0,0,18.5(3.93 %),0,0,0,0,1661320,11.57
14/01/2010,0,0,19.1(6.70 %),0,0,0,0,1661320,11.57
15/01/2010,0,0,20.3(6.84 %),0,0,0,0,1661320,11.57
18/01/2010,0,0,20.3(0.00 %),0,0,0,0,1661320,11.57
19/01/2010,0,0,20.5(-2.38 %),0,0,0,0,1661320,11.57
20/01/2010,0,0,19.4(-6.73 %),0,0,0,0,1661320,11.57
21/01/2010,0,0,18.1(-6.70 %),0,0,0,0,1661320,11.57
22/01/2010,0,0,18(-1.10 %),0,0,0,0,1661320,11.57
25/01/2010,0,0,19(6.15 %),0,0,0,0,1661320,11.57
26/01/2010,0,0,19.5(2.63 %),0,0,0,0,1661320,11.57
27/01/2010,0,0,19.5(0.00 %),0,0,0,0,1661320,11.57
28/01/2010,0,0,18.3(-6.15 %),0,0,0,0,1661320,11.57
29/01/2010,0,0,18(-1.64 %),0,0,0,0,1661320,11.57
01/02/2010,0,0,18.2(0.55 %),0,0,0,0,1661320,11.57
02/02/2010,0,0,18.1(0.00 %),0,0,0,0,1661320,11.57
03/02/2010,0,0,18.2(0.55 %),0,0,0,0,1661320,11.57
04/02/2010,-5000,-95000000,19.2(5.49 %),0,0,5000,95000000,1666320,11.46
05/02/2010,0,0,19(0.00 %),0,0,0,0,1666320,11.46
08/02/2010,0,0,18.1(-4.74 %),0,0,0,0,1666320,11.46
09/02/2010,0,0,18.1(0.00 %),0,0,0,0,1666320,11.46
10/02/2010,0,0,17.9(-1.10 %),0,0,0,0,1666320,11.46
11/02/2010,0,0,17.8(-1.11 %),0,0,0,0,1666320,11.46
12/02/2010,-1500,-27050000,18(0.00 %),0,0,1500,27050000,1667820,11.43
22/02/2010,0,0,19.2(6.67 %),0,0,0,0,1667820,11.43
23/02/2010,-2400,-44400000,18.5(-3.65 %),0,0,2400,44400000,1670220,11.37
24/02/2010,0,0,18.4(-0.54 %),0,0,0,0,1670220,11.37
25/02/2010,0,0,18.5(0.00 %),0,0,0,0,1670220,11.37
26/02/2010,0,0,19(2.15 %),0,0,0,0,2162910,11.37
01/03/2010,-1100,-20900000,19(0.00 %),0,0,1100,20900000,2164010,0.25
02/03/2010,0,0,18(-5.26 %),0,0,0,0,2164010,0.25
03/03/2010,0,0,19(0.00 %),0,0,0,0,2164010,0.25
04/03/2010,0,0,18.8(-0.53 %),0,0,0,0,2164010,0.25
05/03/2010,0,0,19(1.06 %),0,0,0,0,2164010,0.25
08/03/2010,0,0,19.8(4.21 %),0,0,0,0,2164010,0.25
09/03/2010,0,0,19.4(-1.52 %),0,0,0,0,2164010,0.25
10/03/2010,0,0,18.9(-3.08 %),0,0,0,0,2164010,0.25
11/03/2010,0,0,19.3(1.58 %),0,0,0,0,2164010,0.25
12/03/2010,0,0,19.5(2.09 %),0,0,0,0,2164010,0.25
15/03/2010,0,0,20(3.09 %),0,0,0,0,2164010,0.25
16/03/2010,0,0,19.1(-4.50 %),0,0,0,0,2164010,0.25
17/03/2010,0,0,19.2(0.00 %),0,0,0,0,2164010,0.25
