Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
13/10/2009,1.0,33.0,9(37.50 %),84300,2799420000,0,0,24.0,35.0,24.0
14/10/2009,0.97,32.0,-1.2(-3.61 %),47300,1511530000,0,0,35.5,35.5,30.9
15/10/2009,0.94,31.0,-1(-3.12 %),41800,1299700000,0,0,31.5,32.0,30.5
16/10/2009,0.88,29.0,-2.1(-6.75 %),47500,1410930000,0,0,30.3,30.3,29.0
19/10/2009,0.84,27.8,-1.9(-6.40 %),34400,960380000,0,0,28.2,28.8,27.7
20/10/2009,0.9,29.8,1.9(6.81 %),78200,2270390000,0,0,27.0,29.8,26.3
21/10/2009,0.94,31.0,2(6.90 %),29800,923800000,0,0,31.0,31.0,31.0
22/10/2009,0.94,31.0,0(0.00 %),27100,859410000,0,0,31.1,32.8,31.0
23/10/2009,0.89,29.6,-2.1(-6.62 %),34600,1032640000,0,0,31.0,32.0,29.5
26/10/2009,0.84,28.0,-1.8(-6.04 %),25700,722020000,0,0,29.5,29.5,27.8
27/10/2009,0.85,28.1,0(0.00 %),10800,298120000,0,0,28.5,28.5,27.2
28/10/2009,0.87,28.8,1.2(4.35 %),31400,893570000,0,0,26.5,28.8,26.2
29/10/2009,0.84,28.0,-0.5(-1.75 %),7300,201840000,0,0,28.0,28.0,27.2
30/10/2009,0.86,28.5,0.9(3.26 %),2000,57050000,0,0,29.0,29.0,28.5
02/11/2009,0.81,26.8,-1.7(-5.96 %),23900,651350000,0,0,28.5,28.5,26.6
03/11/2009,0.77,25.4,-1.9(-6.96 %),15000,385820000,0,0,26.9,27.0,25.4
04/11/2009,0.76,25.1,-0.6(-2.33 %),12400,307120000,0,0,25.4,26.8,24.0
05/11/2009,0.8,26.5,1.7(6.85 %),7400,195220000,0,0,26.0,26.5,26.0
06/11/2009,0.8,26.5,0.1(0.38 %),8300,223680000,0,0,28.2,28.2,26.5
09/11/2009,0.76,25.1,-1.8(-6.69 %),3700,94030000,0,0,26.0,26.0,25.1
10/11/2009,0.73,24.1,-1.3(-5.12 %),11700,282040000,0,0,25.0,25.0,24.0
11/11/2009,0.75,25.0,0.9(3.73 %),5900,143270000,0,0,24.0,25.0,24.0
12/11/2009,0.76,25.1,0.8(3.29 %),3900,97700000,0,0,25.0,25.1,25.0
13/11/2009,0.75,25.0,-0.1(-0.40 %),2100,52440000,0,0,25.2,25.2,24.9
16/11/2009,0.75,25.0,0(0.00 %),8800,225350000,0,0,26.0,26.0,25.0
17/11/2009,0.73,24.2,-1.4(-5.47 %),3000,72400000,0,0,24.1,24.2,24.1
18/11/2009,0.73,24.1,0(0.00 %),3200,77120000,0,0,24.1,24.1,24.1
19/11/2009,0.77,25.5,1.4(5.81 %),8200,209650000,0,0,25.0,25.7,25.0
20/11/2009,0.75,25.0,-0.6(-2.34 %),9000,225640000,0,0,25.5,25.5,25.0
23/11/2009,0.78,25.7,0.6(2.39 %),3400,84740000,0,0,24.5,25.7,24.5
24/11/2009,0.77,25.5,0.6(2.41 %),2000,50600000,5700,148200000,25.5,25.5,25.0
25/11/2009,0.72,23.7,-1.6(-6.32 %),11400,273360000,0,0,24.1,24.1,23.7
26/11/2009,0.68,22.4,-1.6(-6.67 %),7400,166400000,0,0,22.5,22.5,22.4
27/11/2009,0.69,23.0,0.5(2.22 %),8000,183500000,0,0,22.9,23.0,22.9
30/11/2009,0.72,23.8,0.9(3.93 %),600,14280000,0,0,23.8,23.8,23.8
01/12/2009,0.77,24.3,1.5(6.58 %),6700,162310000,0,0,24.0,24.3,24.0
02/12/2009,0.79,25.0,0.8(3.31 %),100,2500000,0,0,25.0,25.0,25.0
03/12/2009,0.73,23.3,-1.7(-6.80 %),700,16310000,0,0,23.3,23.3,23.3
04/12/2009,0.72,23.0,-0.3(-1.29 %),2200,51100000,0,0,23.2,24.5,23.0
07/12/2009,0.73,23.2,0(0.00 %),0,0,0,0,23.2,23.2,23.2
08/12/2009,0.73,23.2,0(0.00 %),0,0,0,0,23.2,23.2,23.2
09/12/2009,0.69,22.0,-1.2(-5.17 %),2000,44000000,0,0,22.0,22.0,22.0
10/12/2009,0.65,20.5,-1.5(-6.82 %),4900,100550000,0,0,20.5,20.6,20.5
11/12/2009,0.6,19.1,-1.4(-6.83 %),200,3820000,0,0,19.1,19.1,19.1
14/12/2009,0.6,19.0,-0.1(-0.52 %),1800,34200000,0,0,19.0,19.0,19.0
15/12/2009,0.6,19.0,0(0.00 %),0,0,0,0,19.0,19.0,19.0
16/12/2009,0.6,19.0,0(0.00 %),0,0,0,0,19.0,19.0,19.0
17/12/2009,0.63,20.1,1.1(5.79 %),100,2010000,0,0,20.1,20.1,20.1
18/12/2009,0.63,19.9,-0.2(-1.00 %),600,11940000,0,0,19.9,19.9,19.9
21/12/2009,0.66,21.0,1.1(5.53 %),300,6080000,0,0,19.9,21.0,19.9
22/12/2009,0.6,19.0,-1.3(-6.40 %),500,9500000,0,0,19.0,19.0,19.0
23/12/2009,0.6,19.0,0(0.00 %),0,0,0,0,19.0,19.0,19.0
24/12/2009,0.6,19.1,0.1(0.53 %),2300,43910000,0,0,19.0,19.5,19.0
25/12/2009,0.6,19.1,0(0.00 %),3100,59880000,0,0,20.3,20.3,19.1
28/12/2009,0.6,19.0,-0.3(-1.55 %),5100,97020000,0,0,19.3,19.3,19.0
29/12/2009,0.6,19.0,0(0.00 %),0,0,0,0,19.0,19.0,19.0
30/12/2009,0.57,18.2,-0.8(-4.21 %),1600,29110000,0,0,18.1,18.2,18.1
31/12/2009,0.56,17.9,-0.3(-1.65 %),14100,247030000,0,0,18.1,18.1,17.0
04/01/2010,0.59,18.7,1.2(6.86 %),17300,323340000,0,0,18.5,18.7,18.0
05/01/2010,0.63,20.0,1.3(6.95 %),29600,592000000,0,0,20.0,20.0,20.0
06/01/2010,0.61,19.5,-0.5(-2.50 %),700,13800000,0,0,21.0,21.0,19.5
07/01/2010,0.58,18.5,-1.2(-6.09 %),7700,142480000,0,0,18.5,18.6,18.5
08/01/2010,0.57,18.1,-0.4(-2.16 %),800,14930000,0,0,19.0,19.0,18.1
11/01/2010,0.59,18.7,0(0.00 %),500,9350000,0,0,18.7,18.7,18.7
12/01/2010,0.55,17.4,-1.3(-6.95 %),2800,49710000,0,0,18.0,18.1,17.4
13/01/2010,0.58,18.5,0.7(3.93 %),2600,46540000,0,0,17.5,18.5,17.2
14/01/2010,0.6,19.1,1.2(6.70 %),10300,195840000,0,0,18.8,19.1,18.5
15/01/2010,0.64,20.3,1.3(6.84 %),35600,722440000,0,0,20.2,20.3,20.2
18/01/2010,0.64,20.3,0(0.00 %),5200,109270000,0,0,21.5,21.7,20.3
19/01/2010,0.65,20.5,-0.5(-2.38 %),2200,45700000,0,0,21.0,21.0,20.5
20/01/2010,0.61,19.4,-1.4(-6.73 %),4500,87500000,0,0,19.6,19.6,19.4
