Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
12/11/2007,18.09,80.0,0(0.00 %),117300,9384000000,0,0,80.0,80.0,80.0
13/11/2007,18.99,84.0,4(5.00 %),19010,1597000000,0,0,84.0,84.0,84.0
14/11/2007,19.9,88.0,4(4.76 %),90660,7978000000,0,0,88.0,88.0,88.0
15/11/2007,20.8,92.0,4(4.55 %),301720,27648000000,0,0,92.0,92.0,88.0
16/11/2007,19.78,87.5,-4.5(-4.89 %),146200,12890000000,0,0,88.0,90.0,87.5
19/11/2007,18.88,83.5,-4(-4.57 %),90660,7597000000,0,0,84.0,87.0,83.5
20/11/2007,18.2,80.5,-3(-3.59 %),112490,9062000000,0,0,79.5,83.0,79.5
21/11/2007,17.41,77.0,-3.5(-4.35 %),131140,10188000000,0,0,77.5,80.5,77.0
22/11/2007,18.09,80.0,3(3.90 %),92390,7356000000,0,0,78.0,80.5,78.0
23/11/2007,17.75,78.5,-1.5(-1.88 %),30870,2451000000,0,0,80.0,80.0,78.5
26/11/2007,17.75,78.5,0(0.00 %),53080,4098000000,0,0,76.5,80.0,76.5
27/11/2007,17.63,78.0,-0.5(-0.64 %),49800,3903000000,0,0,79.0,79.5,78.0
28/11/2007,17.52,77.5,-0.5(-0.64 %),96320,7489000000,0,0,78.0,78.5,77.0
29/11/2007,17.75,78.5,1(1.29 %),55430,4356000000,0,0,79.0,79.0,78.0
30/11/2007,17.63,78.0,-0.5(-0.64 %),22870,1795000000,0,0,79.0,79.0,78.0
03/12/2007,17.63,78.0,0(0.00 %),33930,2642000000,0,0,78.0,78.0,77.0
04/12/2007,17.63,78.0,0(0.00 %),35750,2797000000,0,0,79.0,79.0,78.0
05/12/2007,17.18,76.0,-2(-2.56 %),69110,5234000000,0,0,75.5,76.0,75.5
06/12/2007,16.62,73.5,-2.5(-3.29 %),52190,3869000000,0,0,75.0,75.5,73.5
07/12/2007,16.5,73.0,-0.5(-0.68 %),55320,4038000000,0,0,73.0,74.5,72.0
10/12/2007,15.94,70.5,-2.5(-3.42 %),20550,1459000000,0,0,75.0,75.0,70.5
11/12/2007,15.15,67.0,-3.5(-4.96 %),57340,3883000000,0,0,70.0,70.0,67.0
12/12/2007,15.15,67.0,0(0.00 %),40290,2673000000,0,0,65.5,70.0,65.0
13/12/2007,14.7,65.0,-2(-2.99 %),25530,1682000000,0,0,67.0,67.0,65.0
14/12/2007,14.36,63.5,-1.5(-2.31 %),25450,1620000000,0,0,63.5,64.5,63.5
17/12/2007,13.68,60.5,-3(-4.72 %),29630,1831000000,0,0,63.0,64.0,60.5
18/12/2007,13.34,59.0,-1.5(-2.48 %),50720,2955000000,0,0,58.0,59.0,57.5
19/12/2007,13.9,61.5,2.5(4.24 %),27380,1684000000,0,0,61.5,61.5,61.5
20/12/2007,14.02,62.0,0.5(0.81 %),100380,6373000000,0,0,64.5,64.5,62.0
21/12/2007,14.7,65.0,3(4.84 %),48740,3140000000,0,0,64.0,65.0,63.0
24/12/2007,15.37,68.0,3(4.62 %),11030,750000000,0,0,68.0,68.0,68.0
25/12/2007,16.05,71.0,3(4.41 %),10410,739000000,0,0,71.0,71.0,71.0
26/12/2007,16.05,71.0,0(0.00 %),185620,12822000000,0,0,68.0,73.0,68.0
27/12/2007,15.49,68.5,-2.5(-3.52 %),39440,2741000000,0,0,70.0,71.0,68.5
28/12/2007,15.49,68.5,0(0.00 %),20050,1378000000,0,0,69.0,69.0,68.0
02/01/2008,14.92,66.0,-2.5(-3.65 %),30550,2049000000,0,0,68.0,68.0,66.0
03/01/2008,14.47,64.0,-2(-3.03 %),28170,1804000000,0,0,64.0,64.5,63.5
04/01/2008,14.7,65.0,1(1.56 %),28580,1851000000,0,0,65.0,65.0,64.0
07/01/2008,14.47,64.0,-1(-1.54 %),32660,2106000000,0,0,65.5,65.5,62.0
08/01/2008,14.02,62.0,-2(-3.12 %),41960,2649000000,0,0,65.0,66.0,62.0
09/01/2008,14.02,62.0,0(0.00 %),26280,1633000000,0,0,62.5,63.5,61.5
10/01/2008,13.68,60.5,-1.5(-2.42 %),60200,3669000000,0,0,62.5,62.5,60.0
11/01/2008,13.79,61.0,0.5(0.83 %),29530,1816000000,0,0,62.0,62.5,61.0
14/01/2008,13.23,58.5,-2.5(-4.10 %),30570,1815000000,0,0,61.0,61.0,58.5
15/01/2008,12.66,56.0,-2.5(-4.27 %),57450,3233000000,0,0,56.5,57.0,56.0
16/01/2008,13.23,58.5,2.5(4.46 %),27360,1601000000,0,0,58.5,58.5,58.5
17/01/2008,13.34,59.0,0.5(0.85 %),103660,6242000000,0,0,61.0,61.0,58.5
18/01/2008,13.79,61.0,2(3.39 %),45350,2730000000,0,0,58.5,61.0,58.5
21/01/2008,13.57,60.0,-1(-1.64 %),26400,1582000000,0,0,61.0,61.0,59.0
