Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
06/02/2017,6.95,10.7,0(0.00 %),200,2140000,0,0,10.7,10.7,10.7
07/02/2017,6.95,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
08/02/2017,7.14,11.0,0.3(2.80 %),200,2200000,0,0,11.0,11.0,11.0
09/02/2017,6.95,10.7,-0.3(-2.73 %),200,2140000,0,0,10.7,10.7,10.7
10/02/2017,6.95,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
13/02/2017,6.95,10.7,0(0.00 %),200,2140000,0,0,10.7,10.7,10.7
14/02/2017,6.95,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
15/02/2017,6.95,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
16/02/2017,6.95,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
17/02/2017,6.95,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
20/02/2017,6.95,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
21/02/2017,6.95,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
22/02/2017,6.95,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
23/02/2017,6.95,10.7,0(0.00 %),100,1070000,0,0,10.7,10.7,10.7
24/02/2017,6.95,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
27/02/2017,6.95,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
28/02/2017,6.95,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
01/03/2017,6.95,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
02/03/2017,6.95,10.7,0(0.00 %),0,0,0,0,10.7,10.7,10.7
03/03/2017,6.88,10.6,-0.1(-0.93 %),100,1060000,0,0,10.6,10.6,10.6
06/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
07/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
08/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
09/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
10/03/2017,6.88,10.6,0(0.00 %),100,1060000,0,0,10.6,10.6,10.6
13/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
14/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
15/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
16/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
17/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
20/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
21/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
22/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
23/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
24/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
27/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
28/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
29/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
30/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
31/03/2017,6.88,10.6,0(0.00 %),0,0,0,0,10.6,10.6,10.6
