Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
30/07/2019,400,7200000,21(40.00 %),400,7200000,0,0,125705571,0.0
31/07/2019,0,0,20.7(15.00 %),0,0,0,0,125705571,0.0
01/08/2019,0,0,20.3(-1.93 %),0,0,0,0,125705571,0.0
02/08/2019,3700,64270000,17.9(-9.14 %),3700,64270000,0,0,125701871,0.0
05/08/2019,1900,30740000,16.2(-10.50 %),1900,30740000,0,0,125699971,0.0
06/08/2019,300,4560000,16.2(-6.36 %),300,4560000,0,0,125699671,0.0
07/08/2019,500,7620000,15.1(-5.62 %),500,7620000,0,0,125699171,0.0
08/08/2019,0,0,15.8(-0.63 %),0,0,0,0,125699171,0.0
09/08/2019,0,0,16(-0.62 %),0,0,0,0,125699171,0.0
12/08/2019,0,0,15(-6.25 %),0,0,0,0,125699171,0.0
13/08/2019,0,0,14.7(-2.00 %),0,0,0,0,125699171,0.0
14/08/2019,0,0,14(-4.76 %),0,0,0,0,125699171,0.0
15/08/2019,0,0,14.3(2.14 %),0,0,0,0,125699171,0.0
16/08/2019,0,0,14.2(-1.39 %),0,0,0,0,125699171,0.0
19/08/2019,0,0,14.5(2.11 %),0,0,0,0,125699171,0.0
20/08/2019,0,0,15.3(6.99 %),0,0,0,0,125699171,0.0
21/08/2019,100,1530000,15.1(0.00 %),100,1530000,0,0,125699071,0.0
22/08/2019,0,0,15.1(0.00 %),0,0,0,0,125699071,0.0
23/08/2019,0,0,15.2(1.33 %),0,0,0,0,125699071,0.0
26/08/2019,0,0,15(0.00 %),0,0,0,0,125699071,0.0
27/08/2019,1000,15000000,15.5(3.33 %),1000,15000000,0,0,125698071,0.0
28/08/2019,0,0,15.3(0.66 %),0,0,0,0,125698071,0.0
29/08/2019,0,0,15.3(0.00 %),0,0,0,0,125698071,0.0
30/08/2019,0,0,15(-1.32 %),0,0,0,0,125698071,0.0
03/09/2019,0,0,15(-0.66 %),0,0,0,0,125698071,0.0
04/09/2019,0,0,14.9(-0.67 %),0,0,0,0,125698071,0.0
05/09/2019,0,0,14.5(-1.36 %),0,0,0,0,125698071,0.0
06/09/2019,0,0,14.8(2.78 %),0,0,0,0,125698071,0.0
09/09/2019,0,0,14.8(0.68 %),0,0,0,0,125698071,0.0
10/09/2019,0,0,14.9(0.68 %),0,0,0,0,125698071,0.0
11/09/2019,-400,-5840000,14.6(-1.35 %),0,0,400,5840000,125698471,0.0
12/09/2019,-700,-10190000,14.6(-0.68 %),0,0,700,10190000,125699171,0.0
13/09/2019,-700,-10290000,14.8(0.68 %),0,0,700,10290000,125699871,0.0
16/09/2019,-400,-5800000,14.6(0.00 %),0,0,400,5800000,125700271,0.0
17/09/2019,-5600,-80080000,14.4(-0.69 %),0,0,5600,80080000,125705871,0.0
18/09/2019,0,0,14.5(0.00 %),0,0,0,0,125705871,0.0
19/09/2019,0,0,14.4(-0.69 %),0,0,0,0,125705871,0.0
20/09/2019,0,0,14.4(0.70 %),0,0,0,0,125705871,0.0
23/09/2019,0,0,14.4(0.70 %),0,0,0,0,125705871,0.0
24/09/2019,0,0,14.2(-1.39 %),0,0,0,0,125705871,0.0
25/09/2019,0,0,14.4(0.70 %),0,0,0,0,125705871,0.0
26/09/2019,0,0,14.4(0.70 %),0,0,0,0,125705871,0.0
