Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
29/12/2006,23.63,30.0,0(0.00 %),300,9000000,0,0,30.0,30.0,30.0
02/01/2007,26.0,33.0,3(10.00 %),700,23100000,0,0,33.0,33.0,33.0
03/01/2007,28.6,36.3,3.3(10.00 %),1500,0,0,0,36.3,36.3,36.3
04/01/2007,31.43,39.9,3.6(9.92 %),4000,159600000,0,0,39.9,39.9,39.9
05/01/2007,34.5,43.8,3.9(9.77 %),2200,0,0,0,43.8,43.8,43.8
08/01/2007,37.89,48.1,4.3(9.82 %),400,0,0,0,48.1,48.1,48.1
09/01/2007,39.31,49.9,1.8(3.74 %),1900,93950000,0,0,48.1,50.0,48.1
10/01/2007,38.92,49.4,0(0.00 %),0,0,0,0,49.4,49.4,49.4
11/01/2007,38.92,49.4,0(0.00 %),0,0,0,0,49.4,49.4,49.4
12/01/2007,38.92,49.4,0(0.00 %),0,0,0,0,49.4,49.4,49.4
15/01/2007,35.06,44.5,-4.9(-9.92 %),2700,120800000,0,0,45.0,46.0,44.5
16/01/2007,31.75,40.3,-4.4(-9.84 %),2400,96720000,0,0,40.3,40.3,40.3
17/01/2007,28.6,36.3,-8.4(-18.79 %),1200,43560000,0,0,36.3,36.3,36.3
18/01/2007,28.6,36.3,0(0.00 %),0,0,0,0,36.3,36.3,36.3
19/01/2007,29.31,37.2,0.9(2.48 %),7800,279610000,0,0,32.7,37.2,32.7
22/01/2007,29.15,37.0,1.2(3.35 %),15400,595800000,0,0,39.3,39.3,37.0
23/01/2007,32.3,41.0,2.3(5.94 %),3900,157400000,0,0,42.0,42.0,39.0
24/01/2007,34.66,44.0,3.6(8.91 %),10600,465370000,0,0,44.4,44.4,42.2
25/01/2007,37.97,48.2,4.3(9.79 %),400,19040000,0,0,47.0,48.2,47.0
26/01/2007,33.8,42.9,-4.7(-9.87 %),700,30030000,0,0,42.9,42.9,42.9
29/01/2007,33.8,42.9,0(0.00 %),0,0,0,0,42.9,42.9,42.9
30/01/2007,30.49,38.7,-4.2(-9.79 %),600,23220000,0,0,38.7,38.7,38.7
31/01/2007,27.49,34.9,-3.8(-9.82 %),4300,161670000,0,0,40.7,40.7,34.9
01/02/2007,27.57,35.0,-2.6(-6.91 %),500,17500000,0,0,35.0,35.0,35.0
02/02/2007,28.36,36.0,1(2.86 %),2600,88750000,0,0,36.0,38.5,32.0
05/02/2007,28.36,36.0,1.9(5.57 %),2500,90000000,0,0,36.0,36.0,36.0
06/02/2007,27.57,35.0,-1(-2.78 %),3800,139900000,0,0,38.0,38.0,35.0
07/02/2007,26.39,33.5,-3.3(-8.97 %),1400,51500000,0,0,38.5,38.5,33.5
08/02/2007,26.15,33.2,-3.6(-9.78 %),2700,89730000,0,0,33.2,33.5,33.2
09/02/2007,26.15,33.2,0(0.00 %),900,29400000,0,0,32.0,33.2,32.0
12/02/2007,25.76,32.7,0(0.00 %),0,0,0,0,32.7,32.7,32.7
13/02/2007,26.39,33.5,0.8(2.45 %),700,23450000,0,0,33.5,33.5,33.5
14/02/2007,26.39,33.5,0(0.00 %),0,0,0,0,33.5,33.5,33.5
15/02/2007,27.57,35.0,1.5(4.48 %),500,17450000,0,0,34.5,35.0,34.5
26/02/2007,27.57,35.0,0.1(0.29 %),900,31500000,0,0,35.0,35.0,35.0
27/02/2007,28.36,36.0,1(2.86 %),4200,156200000,0,0,38.5,38.5,36.0
28/02/2007,30.17,38.3,1.1(2.96 %),5300,202500000,0,0,38.0,38.5,38.0
01/03/2007,30.72,39.0,0.8(2.09 %),3500,135010000,0,0,38.0,39.0,37.5
02/03/2007,30.72,39.0,0.4(1.04 %),4200,164450000,0,0,39.5,39.5,39.0
05/03/2007,30.72,39.0,-0.2(-0.51 %),300,11700000,0,0,39.0,39.0,39.0
06/03/2007,30.72,39.0,0(0.00 %),4100,159950000,0,0,39.0,39.5,39.0
07/03/2007,33.09,42.0,3(7.69 %),11900,483460000,0,0,40.0,42.9,39.0
08/03/2007,35.13,44.6,4(9.85 %),12300,547680000,0,0,44.0,44.6,44.0
09/03/2007,38.52,48.9,4.4(9.89 %),11800,577020000,0,0,48.9,48.9,48.9
12/03/2007,42.3,53.7,4.8(9.82 %),14800,794760000,0,0,53.7,53.7,53.7
13/03/2007,46.24,58.7,5(9.31 %),16500,954730000,0,0,59.0,59.0,48.5
14/03/2007,41.75,53.0,-4.9(-8.46 %),6800,379470000,0,0,54.0,57.0,53.0
15/03/2007,39.62,50.3,-5.5(-9.86 %),100,5030000,0,0,50.3,50.3,50.3
16/03/2007,37.81,48.0,-2.3(-4.57 %),4100,190520000,0,0,45.3,48.0,45.3
19/03/2007,40.26,51.1,4.6(9.89 %),1900,94290000,0,0,50.0,51.1,48.0
20/03/2007,38.21,48.5,-1.1(-2.22 %),2200,109800000,0,0,46.5,52.0,46.5
21/03/2007,39.39,50.0,0.1(0.20 %),700,34500000,0,0,48.5,50.0,48.5
22/03/2007,37.42,47.5,-0.5(-1.04 %),1000,48880000,0,0,49.3,49.3,47.5
23/03/2007,37.81,48.0,-0.9(-1.84 %),500,23980000,0,0,47.9,48.0,47.9
26/03/2007,37.81,48.0,0(0.00 %),0,0,0,0,48.0,48.0,48.0
27/03/2007,34.03,43.2,-4.8(-10.00 %),1000,43200000,0,0,43.2,43.2,43.2
