Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
28/12/2007,8.92,55.0,0(0.00 %),318800,16492000000,0,0,54.9,57.0,42.0
02/01/2008,9.21,56.8,5.1(9.86 %),95400,5379370000,0,0,55.0,56.8,54.0
03/01/2008,8.84,54.5,-1.9(-3.37 %),144300,8240170000,0,0,62.0,62.0,53.0
04/01/2008,8.59,53.0,-4.1(-7.18 %),97600,5097960000,0,0,56.0,56.0,51.5
07/01/2008,7.83,48.3,-3.9(-7.47 %),89700,4264370000,0,0,52.0,54.0,47.0
08/01/2008,8.11,50.0,2.5(5.26 %),57400,2906780000,5000,261000000,48.0,51.9,48.0
09/01/2008,8.07,49.8,-0.8(-1.58 %),26500,1301430000,5000,278000000,49.0,50.0,48.0
10/01/2008,8.09,49.9,0.8(1.63 %),31800,1512140000,0,0,49.0,50.0,46.1
11/01/2008,7.78,48.0,0.4(0.84 %),55300,2728720000,0,0,49.0,51.0,48.0
14/01/2008,7.38,45.5,-3.8(-7.71 %),35000,1608080000,5500,298000000,48.0,48.0,45.0
15/01/2008,6.73,41.5,-4.4(-9.59 %),37400,1554770000,0,0,42.3,42.5,41.4
16/01/2008,7.41,45.7,4.1(9.86 %),24400,1105550000,0,0,44.0,45.7,43.8
17/01/2008,7.54,46.5,1.2(2.65 %),35100,1661650000,0,0,49.7,49.8,44.5
18/01/2008,7.54,46.5,-0.8(-1.69 %),47800,2218360000,0,0,44.1,48.0,44.0
21/01/2008,7.38,45.5,-0.9(-1.94 %),19800,898650000,0,0,46.4,46.4,44.5
22/01/2008,7.12,43.9,-1.5(-3.30 %),27700,1206840000,6000,299000000,44.0,44.0,42.6
23/01/2008,6.81,42.0,-1.6(-3.67 %),44500,1855840000,0,0,43.8,43.8,40.0
24/01/2008,6.73,41.5,-0.2(-0.48 %),25600,1074470000,0,0,45.0,45.0,40.8
25/01/2008,6.53,40.3,-1.7(-4.05 %),32400,1337710000,0,0,42.1,42.5,40.0
28/01/2008,6.19,38.2,-3.1(-7.51 %),18600,714700000,0,0,41.2,41.3,38.0
29/01/2008,6.65,41.0,2.6(6.77 %),45200,1816530000,0,0,39.0,41.9,39.0
30/01/2008,7.17,44.2,4(9.95 %),43200,1907340000,0,0,43.9,44.2,43.0
31/01/2008,7.3,45.0,0.8(1.81 %),30100,1350070000,0,0,48.0,48.4,42.0
01/02/2008,7.46,46.0,1.1(2.45 %),51300,2340020000,0,0,45.8,48.0,44.0
12/02/2008,6.97,43.0,-2.6(-5.70 %),17800,790310000,0,0,48.0,49.8,42.0
13/02/2008,6.74,41.6,-2.8(-6.31 %),26400,1109490000,0,0,42.5,42.5,41.5
14/02/2008,6.81,42.0,0(0.00 %),24200,1024150000,12000,552000000,41.5,43.2,41.5
15/02/2008,6.81,42.0,-0.3(-0.71 %),14200,592650000,0,0,42.5,42.5,41.1
18/02/2008,6.48,40.0,-1.7(-4.08 %),22900,893820000,0,0,39.8,41.0,37.6
19/02/2008,6.32,39.0,0(0.00 %),24000,940910000,0,0,38.0,40.5,37.0
20/02/2008,6.08,37.5,-1.7(-4.34 %),25000,945760000,0,0,39.0,39.0,37.0
21/02/2008,5.53,34.1,-3.7(-9.79 %),35300,1205870000,0,0,35.0,35.0,34.1
22/02/2008,5.53,34.1,-0.1(-0.29 %),21400,691220000,0,0,30.8,35.1,30.8
25/02/2008,5.76,35.5,3.2(9.91 %),18900,670630000,0,0,32.3,35.5,32.3
26/02/2008,5.27,32.5,-3(-8.45 %),13400,453720000,0,0,38.3,38.5,32.4
27/02/2008,5.29,32.6,-1.3(-3.83 %),12200,414190000,0,0,32.1,36.0,32.0
28/02/2008,5.43,33.5,-0.5(-1.47 %),11600,386110000,0,0,33.2,34.0,33.0
29/02/2008,5.03,31.0,-2.3(-6.91 %),13400,416800000,0,0,31.1,31.5,30.9
03/03/2008,4.54,28.0,-3.1(-9.97 %),33000,925380000,0,0,28.4,28.6,28.0
04/03/2008,4.09,25.2,-2.8(-10.00 %),37200,938240000,0,0,25.6,25.6,25.2
05/03/2008,3.87,23.9,-1.3(-5.16 %),20700,478660000,0,0,24.0,24.0,22.7
06/03/2008,4.12,25.4,2.3(9.96 %),800,20320000,0,0,25.4,25.4,25.4
07/03/2008,4.52,27.9,2.5(9.84 %),4200,117180000,0,0,27.9,27.9,27.9
10/03/2008,4.85,29.9,2(7.17 %),49700,1510470000,0,0,30.6,30.6,28.0
11/03/2008,4.46,27.5,-2.9(-9.54 %),15400,426840000,0,0,29.9,29.9,27.4
12/03/2008,4.7,29.0,1.3(4.69 %),11200,331730000,0,0,29.2,30.0,28.0
