Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
11/05/2010,0,0,56.1(-13.56 %),0,0,0,0,1470000,0.0
12/05/2010,0,0,52.4(-6.93 %),0,0,0,0,1470000,0.0
13/05/2010,0,0,48.9(-6.86 %),0,0,0,0,1470000,0.0
14/05/2010,0,0,45.6(-6.75 %),0,0,0,0,1470000,0.0
17/05/2010,0,0,43(-5.70 %),0,0,0,0,1470000,0.0
18/05/2010,0,0,45.6(6.79 %),0,0,0,0,1470000,0.0
19/05/2010,0,0,46.5(3.10 %),0,0,0,0,1470000,0.0
20/05/2010,0,0,48.5(4.75 %),0,0,0,0,1470000,0.0
21/05/2010,0,0,46.5(-0.21 %),0,0,0,0,1470000,0.0
24/05/2010,0,0,44(-5.38 %),0,0,0,0,1470000,0.0
25/05/2010,0,0,43.4(-4.41 %),0,0,0,0,1470000,0.0
26/05/2010,0,0,42.5(-3.41 %),0,0,0,0,1470000,0.0
27/05/2010,0,0,42.5(-6.80 %),0,0,0,0,1470000,0.0
28/05/2010,0,0,44.9(5.15 %),0,0,0,0,1470000,0.0
31/05/2010,0,0,45(0.22 %),0,0,0,0,1470000,0.0
01/06/2010,0,0,45.4(-0.22 %),0,0,0,0,1470000,0.0
02/06/2010,0,0,44(-2.65 %),0,0,0,0,1470000,0.0
03/06/2010,0,0,44(0.00 %),0,0,0,0,1470000,0.0
04/06/2010,0,0,44(-0.23 %),0,0,0,0,1470000,0.0
07/06/2010,0,0,43(-1.15 %),0,0,0,0,1470000,0.0
08/06/2010,0,0,43.5(1.16 %),0,0,0,0,1470000,0.0
09/06/2010,0,0,46(6.98 %),0,0,0,0,1470000,0.0
10/06/2010,0,0,48(6.19 %),0,0,0,0,1470000,0.0
11/06/2010,0,0,46.5(-1.90 %),0,0,0,0,1470000,0.0
14/06/2010,0,0,46.5(-1.69 %),0,0,0,0,1470000,0.0
15/06/2010,0,0,46(-1.92 %),0,0,0,0,1470000,0.0
16/06/2010,0,0,46.1(0.22 %),0,0,0,0,1470000,0.0
17/06/2010,0,0,46(-0.22 %),0,0,0,0,1470000,0.0
18/06/2010,0,0,46(0.00 %),0,0,0,0,1470000,0.0
21/06/2010,0,0,46(0.00 %),0,0,0,0,1470000,0.0
22/06/2010,0,0,46.4(0.87 %),0,0,0,0,1470000,0.0
23/06/2010,0,0,45.8(1.78 %),0,0,0,0,1470000,0.0
24/06/2010,0,0,47.8(3.91 %),0,0,0,0,1470000,0.0
25/06/2010,0,0,47(0.43 %),0,0,0,0,1470000,0.0
28/06/2010,0,0,48.9(3.82 %),0,0,0,0,1470000,0.0
29/06/2010,0,0,49(1.66 %),0,0,0,0,1470000,0.0
30/06/2010,0,0,47.5(-3.85 %),0,0,0,0,1470000,0.0
01/07/2010,0,0,47(-1.67 %),0,0,0,0,1470000,0.0
02/07/2010,0,0,47(0.00 %),0,0,0,0,1470000,0.0
05/07/2010,0,0,46.9(-0.21 %),0,0,0,0,1470000,0.0
06/07/2010,0,0,46.5(-1.06 %),0,0,0,0,1470000,0.0
07/07/2010,0,0,46(-0.86 %),0,0,0,0,1470000,0.0
08/07/2010,0,0,46.3(0.00 %),0,0,0,0,1470000,0.0
09/07/2010,0,0,46(-1.08 %),0,0,0,0,1470000,0.0
12/07/2010,0,0,46(0.66 %),0,0,0,0,1470000,0.0
13/07/2010,0,0,46.7(1.52 %),0,0,0,0,1470000,0.0
14/07/2010,0,0,47(1.08 %),0,0,0,0,1470000,0.0
15/07/2010,0,0,45.6(-3.18 %),0,0,0,0,1470000,0.0
16/07/2010,0,0,46.5(0.43 %),0,0,0,0,1470000,0.0
19/07/2010,0,0,46.5(0.00 %),0,0,0,0,1470000,0.0
20/07/2010,0,0,48(3.23 %),0,0,0,0,1470000,0.0
