Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
10/05/2010,28.66,38.0,-2(-5.00 %),765000,28704800000,0,0,40.0,40.0,36.0
11/05/2010,30.24,40.1,2.6(6.93 %),246200,9835760000,0,0,40.0,40.1,39.5
12/05/2010,28.28,37.5,-2.5(-6.25 %),367500,13822540000,0,0,42.4,42.4,37.2
13/05/2010,26.77,35.5,-2.1(-5.59 %),169000,6130780000,53000,1855000000,37.6,38.5,35.0
14/05/2010,25.72,34.1,-2.2(-6.06 %),181500,6318690000,20000,700000000,34.0,36.4,33.8
17/05/2010,24.43,32.4,-2.4(-6.90 %),172600,5727750000,0,0,34.8,34.9,32.4
18/05/2010,23.3,30.9,-2.3(-6.93 %),52800,1632460000,0,0,31.1,31.1,30.9
19/05/2010,21.72,28.8,-2.1(-6.80 %),382900,11100650000,0,0,28.8,30.0,28.8
20/05/2010,22.62,30.0,1(3.45 %),253100,7329550000,0,0,29.0,30.5,27.0
21/05/2010,20.97,27.8,-1.2(-4.14 %),107100,2958950000,0,0,28.2,29.0,27.0
24/05/2010,22.25,29.5,1.9(6.88 %),236500,6879060000,0,0,28.0,29.5,28.0
25/05/2010,21.87,29.0,-0.1(-0.34 %),186600,5528010000,10000,300000000,29.6,30.0,29.0
26/05/2010,22.25,29.5,-0.1(-0.34 %),162900,4794490000,20000,552000000,29.5,29.8,28.6
27/05/2010,22.1,29.3,-0.1(-0.34 %),113600,3332210000,5000,157000000,28.5,29.6,28.5
28/05/2010,23.61,31.3,2(6.83 %),409300,12717130000,0,0,29.9,31.3,29.7
31/05/2010,24.89,33.0,1.9(6.11 %),565600,18537920000,0,0,31.2,33.2,31.2
01/06/2010,24.13,32.0,-0.8(-2.44 %),89000,2887060000,0,0,33.9,33.9,31.4
02/06/2010,23.23,30.8,-1.6(-4.94 %),126700,3955810000,0,0,32.0,32.0,30.3
03/06/2010,23.23,30.8,-0.4(-1.28 %),211400,6574510000,0,0,32.0,32.0,30.3
