Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
13/12/2017,0,0,19.6(40.00 %),0,0,0,0,7840000,0.0
14/12/2017,0,0,19.6(0.00 %),0,0,0,0,7840000,0.0
15/12/2017,0,0,19.6(0.00 %),0,0,0,0,7840000,0.0
18/12/2017,0,0,22.5(14.80 %),0,0,0,0,7840000,0.0
19/12/2017,0,0,22.5(0.00 %),0,0,0,0,7840000,0.0
20/12/2017,0,0,22.5(0.00 %),0,0,0,0,7840000,0.0
21/12/2017,0,0,22.5(0.00 %),0,0,0,0,7840000,0.0
22/12/2017,0,0,22.5(0.00 %),0,0,0,0,7840000,0.0
25/12/2017,0,0,22.5(0.00 %),0,0,0,0,7840000,0.0
26/12/2017,0,0,22.5(0.00 %),0,0,0,0,7840000,0.0
27/12/2017,0,0,25.8(14.67 %),0,0,0,0,7840000,0.0
28/12/2017,300,7230000,24.1(-6.59 %),300,7230000,0,0,7839700,0.0
29/12/2017,0,0,24.1(0.00 %),0,0,0,0,7839700,0.0
02/01/2018,0,0,27.7(14.94 %),0,0,0,0,7839700,0.0
03/01/2018,0,0,31(11.91 %),0,0,0,0,7839700,0.0
04/01/2018,0,0,35(12.90 %),0,0,0,0,7839700,0.0
05/01/2018,0,0,35(0.00 %),0,0,0,0,7839700,0.0
08/01/2018,0,0,40.2(14.86 %),0,0,0,0,7839700,0.0
09/01/2018,0,0,45(14.80 %),0,0,0,0,7839700,0.0
10/01/2018,0,0,45(0.00 %),0,0,0,0,7839700,0.0
11/01/2018,0,0,45(0.00 %),0,0,0,0,7839700,0.0
12/01/2018,0,0,45(0.00 %),0,0,0,0,7839700,0.0
15/01/2018,0,0,45(0.00 %),0,0,0,0,7839700,0.0
16/01/2018,0,0,45(0.00 %),0,0,0,0,7839700,0.0
17/01/2018,0,0,45(0.00 %),0,0,0,0,7839700,0.0
18/01/2018,0,0,45(0.00 %),0,0,0,0,7839700,0.0
19/01/2018,0,0,45(0.00 %),0,0,0,0,7839700,0.0
22/01/2018,0,0,45(0.00 %),0,0,0,0,7839700,0.0
23/01/2018,0,0,45(0.00 %),0,0,0,0,7839700,0.0
24/01/2018,0,0,51.7(14.89 %),0,0,0,0,7839700,0.0
25/01/2018,0,0,49.5(0.00 %),0,0,0,0,7839700,0.0
26/01/2018,0,0,56.9(14.95 %),0,0,0,0,7839700,0.0
29/01/2018,0,0,56.9(0.00 %),0,0,0,0,7839700,0.0
30/01/2018,0,0,56.9(0.00 %),0,0,0,0,7839700,0.0
31/01/2018,0,0,57(0.18 %),0,0,0,0,7839700,0.0
01/02/2018,0,0,57(0.00 %),0,0,0,0,7839700,0.0
02/02/2018,0,0,48.5(-14.91 %),0,0,0,0,7839700,0.0
05/02/2018,0,0,48.5(0.00 %),0,0,0,0,7839700,0.0
06/02/2018,0,0,48.5(0.00 %),0,0,0,0,7839700,0.0
07/02/2018,0,0,50(3.09 %),0,0,0,0,7839700,0.0
08/02/2018,0,0,57.5(15.00 %),0,0,0,0,7839700,0.0
09/02/2018,0,0,57.5(0.00 %),0,0,0,0,7839700,0.0
12/02/2018,0,0,57.5(0.00 %),0,0,0,0,7839700,0.0
13/02/2018,0,0,66(14.78 %),0,0,0,0,7839700,0.0
21/02/2018,0,0,62(0.00 %),0,0,0,0,7839700,0.0
22/02/2018,0,0,52.7(-15.00 %),0,0,0,0,7839700,0.0
23/02/2018,0,0,44.8(-14.99 %),0,0,0,0,7839700,0.0
26/02/2018,0,0,42.8(-14.74 %),0,0,0,0,7839700,0.0
27/02/2018,0,0,49.4(0.00 %),0,0,0,0,7839700,0.0
28/02/2018,0,0,42(-14.98 %),0,0,0,0,7839700,0.0
01/03/2018,0,0,48.3(15.00 %),0,0,0,0,7839700,0.0
02/03/2018,0,0,41.1(-14.91 %),0,0,0,0,7839700,0.0
05/03/2018,0,0,35(-14.84 %),0,0,0,0,7839700,0.0
06/03/2018,0,0,40.2(14.86 %),0,0,0,0,7839700,0.0
07/03/2018,0,0,38.2(14.71 %),0,0,0,0,7839700,0.0
08/03/2018,0,0,36.4(14.83 %),0,0,0,0,7839700,0.0
09/03/2018,0,0,41.8(14.84 %),0,0,0,0,7839700,0.0
12/03/2018,0,0,35.7(-14.59 %),0,0,0,0,7839700,0.0
13/03/2018,0,0,30.5(-14.57 %),0,0,0,0,7839700,0.0
14/03/2018,0,0,41.1(14.80 %),0,0,0,0,7839700,0.0
15/03/2018,0,0,47.1(14.60 %),0,0,0,0,7839700,0.0
16/03/2018,0,0,47.1(0.00 %),0,0,0,0,7839700,0.0
19/03/2018,0,0,47.1(0.00 %),0,0,0,0,7839700,0.0
20/03/2018,0,0,43(-8.70 %),0,0,0,0,7839700,0.0
21/03/2018,0,0,43(0.00 %),0,0,0,0,7839700,0.0
22/03/2018,0,0,43(0.00 %),0,0,0,0,7839700,0.0
23/03/2018,0,0,43(0.00 %),0,0,0,0,7839700,0.0
26/03/2018,0,0,40(-6.98 %),0,0,0,0,7839700,0.0
27/03/2018,0,0,40(0.00 %),0,0,0,0,7839700,0.0
28/03/2018,0,0,40(0.00 %),0,0,0,0,7839700,0.0
29/03/2018,0,0,40(0.00 %),0,0,0,0,7839700,0.0
30/03/2018,0,0,45.9(14.75 %),0,0,0,0,7839700,0.0
02/04/2018,0,0,45.1(0.00 %),0,0,0,0,7839700,0.0
03/04/2018,0,0,45(-0.22 %),0,0,0,0,7839700,0.0
04/04/2018,0,0,43(0.00 %),0,0,0,0,7839700,0.0
05/04/2018,0,0,43(0.00 %),0,0,0,0,7839700,0.0
06/04/2018,0,0,43(0.00 %),0,0,0,0,7839700,0.0
