Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
10/03/2016,0,0,0(0.00 %),0,0,0,0,6972000,24.1
11/03/2016,0,0,0(0.00 %),0,0,0,0,6972000,24.1
14/03/2016,35900,2631290000,0(0.00 %),35900,2631290000,0,0,6936100,24.23
15/03/2016,0,0,0(0.00 %),0,0,0,0,6936100,24.23
16/03/2016,64100,4803900000,0(0.00 %),64100,4803900000,0,0,6872000,24.46
17/03/2016,1100,78800000,71(-4.95 %),1100,78800000,0,0,6870900,24.46
18/03/2016,0,0,68.5(-4.60 %),0,0,0,0,6870900,24.46
21/03/2016,900,61650000,70.5(3.52 %),900,61650000,0,0,6870000,24.46
22/03/2016,15000,1048210000,71(0.57 %),15000,1048210000,0,0,6855000,24.52
23/03/2016,11600,815400000,70.3(0.57 %),11600,815400000,0,0,6843400,24.56
24/03/2016,0,0,69.4(3.27 %),0,0,0,0,6843400,24.56
25/03/2016,0,0,68.6(-0.87 %),0,0,0,0,6843400,24.56
28/03/2016,35000,2345000000,67(-2.33 %),35000,2345000000,0,0,6808400,24.68
29/03/2016,0,0,66.9(-0.59 %),0,0,0,0,13668400,0.18
30/03/2016,500,32500000,63.6(-5.50 %),500,32500000,0,0,13667900,0.19
31/03/2016,10600,675460000,63.7(-1.85 %),10600,675460000,0,0,13657300,0.22
01/04/2016,20300,1273910000,63.4(-0.94 %),20300,1273910000,0,0,13637000,0.3
04/04/2016,0,0,64.2(2.39 %),0,0,0,0,13637000,0.3
05/04/2016,0,0,65.1(0.46 %),0,0,0,0,13637000,0.3
06/04/2016,19700,1245900000,63.6(-1.85 %),19700,1245900000,0,0,13617300,0.37
07/04/2016,0,0,62.5(-1.57 %),0,0,0,0,13617300,0.37
08/04/2016,2800,171270000,62.7(0.16 %),2800,171270000,0,0,13614500,0.38
11/04/2016,0,0,62.4(0.97 %),0,0,0,0,13614500,0.38
12/04/2016,600,37500000,62(0.00 %),600,37500000,0,0,13613900,0.38
13/04/2016,0,0,61.8(-1.12 %),0,0,0,0,13613900,0.38
14/04/2016,0,0,62.6(0.97 %),0,0,0,0,13613900,0.38
15/04/2016,0,0,63.8(2.74 %),0,0,0,0,13613900,0.38
19/04/2016,0,0,62.5(-3.10 %),0,0,0,0,13613900,0.38
20/04/2016,0,0,62.1(-1.27 %),0,0,0,0,13613900,0.38
21/04/2016,-888,-56856000,62.8(0.48 %),12,744000,900,57600000,13613888,0.38
22/04/2016,0,0,63.4(0.16 %),0,0,0,0,13613888,0.38
25/04/2016,0,0,62.4(-1.11 %),0,0,0,0,13613888,0.38
26/04/2016,0,0,62(-1.27 %),0,0,0,0,13614788,0.38
27/04/2016,0,0,61.2(-1.61 %),0,0,0,0,13614788,0.38
28/04/2016,0,0,61.5(0.33 %),0,0,0,0,13614788,0.38
29/04/2016,1000,60730000,60.9(0.33 %),1000,60730000,0,0,13613788,0.38
04/05/2016,0,0,60.2(-0.82 %),0,0,0,0,13613788,0.38
05/05/2016,0,0,59(-3.12 %),0,0,0,0,13613788,0.38
06/05/2016,0,0,58.2(-3.00 %),0,0,0,0,13613788,16.59
09/05/2016,0,0,58.4(-0.17 %),0,0,0,0,13613788,16.59
10/05/2016,12600,734760000,58.6(2.63 %),12600,734760000,0,0,13601188,16.62
11/05/2016,11900,707150000,60.3(3.97 %),11900,707150000,0,0,13589288,16.64
12/05/2016,22000,1385300000,63.6(7.25 %),22000,1385300000,0,0,13567288,16.7
13/05/2016,73000,4660570000,63.9(0.95 %),73000,4660570000,0,0,13494288,16.87
16/05/2016,26400,1634050000,61.3(-4.22 %),26400,1634050000,0,0,13467888,16.93
17/05/2016,70100,4474640000,64(12.08 %),70100,4474640000,0,0,13397788,17.1
18/05/2016,0,0,62.5(-2.19 %),0,0,0,0,13397788,17.1
19/05/2016,0,0,62.6(-0.95 %),0,0,0,0,13397788,17.1
20/05/2016,0,0,62.5(0.16 %),0,0,0,0,13397788,17.1
23/05/2016,23500,1468230000,62.2(-0.64 %),25000,1561560000,1500,93330000,13372788,17.16
24/05/2016,0,0,61(-2.24 %),0,0,0,0,13372788,17.16
25/05/2016,0,0,61.4(-0.49 %),0,0,0,0,13372788,17.16
26/05/2016,25000,1527050000,61.4(0.82 %),25000,1527050000,0,0,13349288,17.22
27/05/2016,0,0,60.6(-0.82 %),0,0,0,0,13349288,17.22
30/05/2016,3900,237120000,60.9(0.00 %),3900,237120000,0,0,13345388,17.23
31/05/2016,4700,285760000,60.5(-0.66 %),4700,285760000,0,0,13340688,17.24
01/06/2016,0,0,60.7(0.00 %),0,0,0,0,13340688,17.24
02/06/2016,500,30250000,60.5(-0.17 %),500,30250000,0,0,13340188,17.24
03/06/2016,0,0,61.5(1.65 %),0,0,0,0,13340188,17.24
06/06/2016,0,0,61.4(0.00 %),0,0,0,0,13340188,17.24
07/06/2016,800,48880000,61(-0.65 %),800,48880000,0,0,13339388,17.24
08/06/2016,33600,2093310000,63(3.11 %),33600,2093310000,0,0,13305788,17.32
09/06/2016,21000,1322970000,63.8(2.90 %),21000,1322970000,0,0,13284788,17.37
10/06/2016,41100,2678210000,65.2(3.33 %),41100,2678210000,0,0,13243688,17.47
13/06/2016,18600,1207050000,64.8(-0.46 %),18900,1226490000,300,19440000,13224788,17.51
14/06/2016,2000,127900000,64.9(0.00 %),2000,127900000,0,0,13222788,17.52
15/06/2016,5300,346140000,65.4(1.55 %),5300,346140000,0,0,13217488,17.53
16/06/2016,5700,384660000,67.5(3.37 %),5700,384660000,0,0,13212088,17.54
17/06/2016,64300,4349890000,68(1.34 %),64300,4349890000,0,0,13147788,17.7
20/06/2016,34200,2305700000,68.2(0.44 %),34200,2305700000,0,0,13113588,17.78
21/06/2016,2200,149600000,68.6(1.48 %),2200,149600000,0,0,13111388,17.78
22/06/2016,17000,1152960000,68.1(-0.44 %),18000,1221060000,1000,68100000,13093388,17.83
23/06/2016,9900,671880000,68(-0.15 %),9900,671880000,0,0,13083488,17.85
24/06/2016,1900,127300000,64.7(-4.85 %),1900,127300000,0,0,13081588,17.85
27/06/2016,100,6350000,64(-1.54 %),100,6350000,0,0,13082488,17.85
28/06/2016,-200,-12500000,64(0.63 %),100,6400000,300,18900000,13082388,17.85
29/06/2016,0,0,65.4(2.51 %),0,0,0,0,13082388,17.85
