Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
25/12/2006,10,790,0(0.00 %),10,790,0,0,0,0.0
01/03/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
02/03/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
05/03/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
06/03/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
07/03/2007,-10,-635000,0(0.00 %),0,0,10,635000,0,0.0
08/03/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
09/03/2007,-40,-2780000,69.5(4.51 %),0,0,40,2780000,0,0.0
12/03/2007,-230,-16675000,72.5(4.32 %),0,0,230,16675000,0,0.0
13/03/2007,0,0,69(-4.83 %),0,0,0,0,0,0.0
14/03/2007,6500,454500000,72(4.35 %),6600,461400000,100,6900000,0,0.0
15/03/2007,1940,133900000,70(-2.78 %),1940,133900000,0,0,0,0.0
16/03/2007,8500,624750000,73.5(5.00 %),9000,661500000,500,36750000,0,0.0
19/03/2007,2000,154000000,77(4.76 %),2000,154000000,0,0,0,0.0
20/03/2007,700,52500000,75(-2.60 %),700,52500000,0,0,0,0.0
21/03/2007,-20,-1500000,75(0.00 %),0,0,20,1500000,0,0.0
22/03/2007,-5300,-381700000,71.5(-4.67 %),700,50300000,6000,432000000,0,0.0
23/03/2007,-5030,-344610000,69(-3.50 %),0,0,5030,344610000,0,0.0
26/03/2007,600,39600000,66(-4.35 %),600,39600000,0,0,0,0.0
27/03/2007,0,0,63(-4.55 %),0,0,0,0,0,0.0
28/03/2007,500,30000000,60(-4.76 %),500,30000000,0,0,0,0.0
29/03/2007,0,0,63(5.00 %),0,0,0,0,0,0.0
30/03/2007,0,0,66(4.76 %),0,0,0,0,0,0.0
02/04/2007,5000,315000000,63(-4.55 %),5000,315000000,0,0,0,0.0
03/04/2007,2300,142900000,63(0.00 %),3300,205900000,1000,63000000,0,0.0
04/04/2007,0,0,66(4.76 %),0,0,0,0,0,0.0
05/04/2007,-400,-26400000,64(-3.03 %),600,39600000,1000,66000000,0,0.0
06/04/2007,1000,64000000,63(-1.56 %),1000,64000000,0,0,0,0.0
09/04/2007,0,0,63(0.00 %),0,0,0,0,0,0.0
10/04/2007,0,0,63(0.00 %),0,0,0,0,0,0.0
11/04/2007,0,0,63(0.00 %),0,0,0,0,0,0.0
12/04/2007,100,6100000,61.5(-2.38 %),100,6100000,0,0,0,0.0
13/04/2007,100,6100000,61(-0.81 %),100,6100000,0,0,0,0.0
16/04/2007,0,0,58(-4.92 %),0,0,0,0,0,0.0
17/04/2007,3000,166500000,55.5(-4.31 %),3000,166500000,0,0,0,0.0
18/04/2007,-500,-28500000,58(4.50 %),0,0,500,28500000,0,0.0
19/04/2007,0,0,56(-3.45 %),0,0,0,0,0,0.0
20/04/2007,100,5500000,58(3.57 %),100,5500000,0,0,0,0.0
23/04/2007,300,16650000,58(0.00 %),300,16650000,0,0,0,0.0
24/04/2007,2000,112000000,57.5(-0.86 %),2000,112000000,0,0,0,0.0
25/04/2007,1500,87000000,58(0.87 %),1500,87000000,0,0,0,0.0
02/05/2007,400,22800000,57(-1.72 %),400,22800000,0,0,0,0.0
03/05/2007,0,0,56.5(-0.88 %),0,0,0,0,0,0.0
04/05/2007,0,0,56.5(0.00 %),0,0,0,0,0,0.0
07/05/2007,0,0,58(2.65 %),0,0,0,0,0,0.0
08/05/2007,1000,60500000,60.5(4.31 %),1000,60500000,0,0,0,0.0
09/05/2007,600,36000000,59(-2.48 %),600,36000000,0,0,0,0.0
10/05/2007,0,0,58(-1.69 %),0,0,0,0,0,0.0
11/05/2007,0,0,59(1.72 %),0,0,0,0,0,0.0
14/05/2007,2730,166530000,61(3.39 %),2730,166530000,0,0,0,0.0
15/05/2007,0,0,62(1.64 %),0,0,0,0,0,0.0
16/05/2007,0,0,61(-1.61 %),0,0,0,0,0,0.0
17/05/2007,0,0,61(0.00 %),0,0,0,0,0,0.0
18/05/2007,0,0,62(1.64 %),0,0,0,0,0,0.0
21/05/2007,0,0,64(3.23 %),0,0,0,0,0,0.0
22/05/2007,-7730,-517910000,67(4.69 %),0,0,7730,517910000,0,0.0
23/05/2007,0,0,70(4.48 %),0,0,0,0,0,0.0
24/05/2007,0,0,66.5(-5.00 %),0,0,0,0,0,0.0
25/05/2007,100,6650000,68(2.26 %),100,6650000,0,0,0,0.0
28/05/2007,300,20700000,69(1.47 %),300,20700000,0,0,0,0.0
29/05/2007,0,0,68(-1.45 %),0,0,0,0,0,0.0
30/05/2007,0,0,67(-1.47 %),0,0,0,0,0,0.0
31/05/2007,0,0,68(1.49 %),0,0,0,0,0,0.0
01/06/2007,0,0,69.5(2.21 %),0,0,0,0,0,0.0
04/06/2007,1800,122400000,68(-2.16 %),1800,122400000,0,0,0,0.0
05/06/2007,0,0,67(-1.47 %),0,0,0,0,0,0.0
06/06/2007,0,0,68(1.49 %),0,0,0,0,0,0.0
07/06/2007,0,0,68(0.00 %),0,0,0,0,0,0.0
08/06/2007,-1000,-68000000,68(0.00 %),0,0,1000,68000000,0,0.0
11/06/2007,4000,274000000,68(0.00 %),4000,274000000,0,0,0,0.0
12/06/2007,200,13600000,68(0.00 %),200,13600000,0,0,0,0.0
13/06/2007,5000,338500000,68(0.00 %),5000,338500000,0,0,0,0.0
14/06/2007,2000,134000000,68(0.00 %),2000,134000000,0,0,0,0.0
15/06/2007,0,0,67(-1.47 %),0,0,0,0,0,0.0
18/06/2007,-2000,-130000000,65(-2.99 %),0,0,2000,130000000,0,0.0
19/06/2007,0,0,66.5(2.31 %),0,0,0,0,0,0.0
20/06/2007,-2150,-146350000,68(2.26 %),2000,138000000,4150,284350000,0,0.0
21/06/2007,-2000,-136000000,66.5(-2.21 %),0,0,2000,136000000,0,0.0
22/06/2007,0,0,66.5(0.00 %),0,0,0,0,0,0.0
25/06/2007,0,0,66.5(0.00 %),0,0,0,0,0,0.0
26/06/2007,0,0,66(-0.75 %),0,0,0,0,0,0.0
27/06/2007,0,0,65(-1.52 %),0,0,0,0,0,0.0
28/06/2007,-2100,-136500000,65(0.00 %),0,0,2100,136500000,0,0.0
29/06/2007,0,0,65(0.00 %),0,0,0,0,0,0.0
02/07/2007,0,0,62(-4.62 %),0,0,0,0,0,0.0
03/07/2007,0,0,59.5(-4.03 %),0,0,0,0,0,0.0
04/07/2007,2150,129000000,62(4.20 %),2150,129000000,0,0,0,0.0
05/07/2007,0,0,60(-3.23 %),0,0,0,0,0,0.0
06/07/2007,0,0,60(0.00 %),0,0,0,0,0,0.0
09/07/2007,0,0,60(0.00 %),0,0,0,0,0,0.0
10/07/2007,0,0,62(3.33 %),0,0,0,0,0,0.0
11/07/2007,0,0,61.5(-0.81 %),0,0,0,0,0,0.0
