Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
VIX,22/08/2025,720400,263100,25099390000,8927315000
VIX,21/08/2025,234000,434900,8376600000,15439305000
VIX,20/08/2025,851800,1048900,30503780000,38237040000
VIX,19/08/2025,1233900,539200,46094095000,20227100000
VIX,18/08/2025,1780000,1078100,64724965000,39212025000
VIX,15/08/2025,755500,608800,25888100000,21086980000
VIX,14/08/2025,410100,280000,13245070000,9086000000
VIX,13/08/2025,1257100,751900,37330150000,22355565000
VIX,12/08/2025,1213000,778400,35999140000,23196840000
VIX,11/08/2025,395000,2697000,11330100000,79272805000
VIX,08/08/2025,900000,730130,25977100000,20698679000
VIX,07/08/2025,240000,1034400,6798885000,29274285000
VIX,06/08/2025,0,2739434,0,75429939000
VIX,05/08/2025,1185000,2490378,32730475000,65844182000
VIX,04/08/2025,0,484000,0,12414770000
VIX,01/08/2025,505000,103400,13629500000,2801070000
VIX,31/07/2025,1110000,329100,29481355000,8727645000
VIX,30/07/2025,825000,264800,20294685000,6615735000
VIX,29/07/2025,4285000,2000500,111268030000,52973085000
VIX,28/07/2025,4038900,2000000,103733855000,51400000000
VIX,25/07/2025,149500,12800,3560535000,307465000
VIX,24/07/2025,774300,1500,17062815000,32250000
VIX,23/07/2025,27600,468200,608580000,9972735000
VIX,22/07/2025,0,2054800,0,41564150000
VIX,21/07/2025,217300,771500,4227730000,14720780000
VIX,18/07/2025,8200,6028100,146370000,110666310000
VIX,17/07/2025,1544000,801400,27375400000,14124440000
VIX,16/07/2025,822000,416100,13806450000,6983765000
VIX,15/07/2025,681900,24500,11063600000,388150000
VIX,14/07/2025,380000,423800,5976250000,6702815000
VIX,11/07/2025,39200,8300,612220000,131555000
VIX,10/07/2025,1549800,22200,24013735000,345795000
VIX,09/07/2025,337800,10513,5247855000,164704000
VIX,08/07/2025,282000,16500,4264945000,246175000
VIX,07/07/2025,97800,24500,1450580000,362425000
VIX,04/07/2025,21000,22500,303275000,326975000
VIX,03/07/2025,7000,33500,101150000,480300000
VIX,02/07/2025,21000,0,282975000,0
VIX,01/07/2025,24500,0,314825000,0
VIX,30/06/2025,3500,809000,44975000,10418150000
VIX,27/06/2025,10500,1404000,134925000,17865000000
VIX,26/06/2025,0,1397300,0,17784970000
VIX,25/06/2025,14000,1381500,180425000,17784775000
VIX,24/06/2025,10500,1980000,135625000,25575500000
VIX,23/06/2025,450500,451500,5574785000,5598450000
VIX,20/06/2025,586000,595700,7376050000,7461600000
VIX,19/06/2025,215100,645500,2707180000,8037700000
VIX,18/06/2025,462900,750000,5878830000,9492500000
VIX,17/06/2025,2230600,332600,29381545000,4374080000
VIX,16/06/2025,660000,304200,8629000000,4022520000
VIX,13/06/2025,1660000,950000,21749000000,12281150000
VIX,12/06/2025,0,226500,0,3036750000
VIX,11/06/2025,750000,31900,10009680000,428340000
VIX,10/06/2025,1900000,0,25268500000,0
VIX,09/06/2025,1090000,300000,14587510000,4047500000
VIX,06/06/2025,2150000,1300,29323255000,17680000
VIX,05/06/2025,370000,147800,5124500000,2047030000
VIX,04/06/2025,100000,113200,1430000000,1619115000
VIX,03/06/2025,500000,51300,7108500000,733330000
VIX,02/06/2025,124300,0,1685475000,0
VIX,30/05/2025,219800,0,3002580000,0
VIX,29/05/2025,244000,1300,3419300000,18135000
VIX,27/05/2025,0,327300,0,4465830000
VIX,26/05/2025,0,85800,0,1138005000
VIX,23/05/2025,250000,23278,3375000000,313116000
VIX,22/05/2025,400000,150000,5485000000,2130000000
VIX,21/05/2025,0,4200,0,55650000
VIX,20/05/2025,9900,0,127875000,0
VIX,19/05/2025,313200,1300,4086765000,16900000
VIX,16/05/2025,0,14100,0,186195000
VIX,15/05/2025,19800,13200,255750000,169620000
VIX,14/05/2025,0,9900,0,127380000
VIX,13/05/2025,0,6600,0,85635000
VIX,12/05/2025,209500,9900,2634225000,123750000
VIX,09/05/2025,19800,6800,249975000,85000000
VIX,08/05/2025,23100,0,286275000,0
VIX,07/05/2025,13200,0,160380000,0
VIX,24/04/2025,0,300,0,3690000
VIX,22/04/2025,0,10062200,0,130775720000
VIX,21/04/2025,0,3500,0,44275000
VIX,18/04/2025,10007000,48000,127752390000,621900000
VIX,17/04/2025,41000,66700,513510000,833750000
VIX,16/04/2025,38500,0,481425000,0
VIX,15/04/2025,24500,74700,307475000,935940000
VIX,14/04/2025,0,62800,0,793195000
VIX,11/04/2025,27500,65600,321060000,753650000
VIX,10/04/2025,0,200,0,2230000
VIX,09/04/2025,0,1100,0,11545000
VIX,08/04/2025,0,12000,0,135000000
VIX,04/04/2025,144900,241000,1675960000,2810325000
VIX,03/04/2025,4990100,0,62404845000,0
VIX,02/04/2025,2947500,45800,38172125000,583780000
VIX,01/04/2025,0,300,0,3740000
VIX,31/03/2025,46000,8084300,570250000,102240895000
VIX,28/03/2025,400,17039100,4980000,216629615000
VIX,27/03/2025,8015000,3400,101268820000,43165000
VIX,26/03/2025,21510500,2800,268656085000,35555000
VIX,25/03/2025,14800,31400,185375000,396585000
VIX,24/03/2025,92500,10500,1135960000,129150000
VIX,21/03/2025,134500,800,1657660000,9905000
VIX,20/03/2025,12000,37100,147300000,453830000
VIX,19/03/2025,14900,260600,179855000,3146725000
VIX,18/03/2025,34000,317900,416000000,3912580000
VIX,17/03/2025,0,185800,0,2291445000
VIX,14/03/2025,30013500,18800,369043575000,228540000
VIX,13/03/2025,18063100,28900,239275740000,357490000
VIX,12/03/2025,30030000,43700,369255480000,537310000
VIX,11/03/2025,31800,15000,375560000,177900000
VIX,10/03/2025,220000,0,2628895000,0
VIX,07/03/2025,187000,415200,2236815000,4957100000
VIX,06/03/2025,146000,1597000,1716125000,18788920000
VIX,05/03/2025,150500,1630100,1728750000,18310380000
VIX,04/03/2025,34000,1114900,394550000,12424310000
VIX,03/03/2025,70000,1610000,807300000,18273500000
VIX,28/02/2025,14000,4179100,161350000,47957105000
VIX,27/02/2025,621300,152500,7126715000,1725625000
VIX,26/02/2025,186800,2265100,2151795000,26087345000
VIX,25/02/2025,543600,28500,6300705000,330950000
VIX,24/02/2025,24000,17500,273750000,201250000
VIX,21/02/2025,768900,0,8622510000,0
VIX,20/02/2025,4762300,0,53617790000,0
VIX,19/02/2025,5850000,73200,65198815000,812140000
VIX,18/02/2025,7000,21000,75950000,229950000
VIX,17/02/2025,0,47700,0,505240000
VIX,14/02/2025,32500,3500,330800000,35525000
