Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
28/02/2017,0,0,0(0.00 %),0,0,0,0,72208993,24.93
01/03/2017,69790,8060750000,0(0.00 %),261360,27313540000,191570,19252790000,72139203,24.95
02/03/2017,212910,26294390000,0(0.00 %),212910,26294390000,0,0,71926293,25.02
03/03/2017,1081070,141112310000,0(0.00 %),1287790,168151750000,206720,27039440000,70638503,25.45
06/03/2017,198420,27191140000,0(0.00 %),524450,71531060000,326030,44339920000,70114053,25.63
07/03/2017,-201230,-26526120000,0(0.00 %),254040,34715440000,455270,61241560000,12942393,25.69
08/03/2017,-452750,-58875490000,130(-1.89 %),67180,8647930000,519930,67523420000,13081933,25.64
09/03/2017,-392700,-51202210000,130.6(0.46 %),22800,2956370000,415500,54158580000,13385163,25.54
10/03/2017,-214100,-27817420000,131(0.31 %),27950,3627760000,242050,31445180000,13730103,25.42
13/03/2017,18830,2453900000,131(0.00 %),176180,23067800000,157350,20613900000,14073853,25.31
14/03/2017,31660,4125240000,129.5(-1.15 %),96670,12577840000,65010,8452600000,14392683,25.2
15/03/2017,-91990,-11449150000,121.5(-6.18 %),21700,2713340000,113690,14162490000,14613033,25.13
16/03/2017,-99430,-11790320000,116.5(-4.12 %),75090,8794690000,174520,20585010000,14695293,25.1
17/03/2017,-67430,-8029140000,117.5(0.86 %),74070,8493930000,141500,16523070000,14695293,25.1
20/03/2017,21930,2786520000,125.7(6.98 %),56830,6960710000,34900,4174190000,14695293,25.1
21/03/2017,58210,7433950000,125.4(-0.24 %),58850,7514420000,640,80470000,14695293,25.1
22/03/2017,136770,17110540000,125(-0.32 %),157370,19689740000,20600,2579200000,14695293,25.1
23/03/2017,89990,11311920000,126(0.80 %),273593,34432600000,183603,23120680000,14695293,25.1
24/03/2017,298740,38196000000,128(1.59 %),331510,42377030000,32770,4181030000,14695293,25.1
27/03/2017,293250,38159010000,129.9(1.48 %),296990,38645210000,3740,486200000,14695293,25.1
28/03/2017,235350,31181670000,130.9(0.77 %),235350,31181670000,0,0,14695293,25.1
29/03/2017,267390,35139870000,131.7(0.61 %),267390,35139870000,0,0,14695293,25.1
30/03/2017,27930,3644710000,128(-2.81 %),37930,4946800000,10000,1302090000,14695293,25.1
