Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
11/12/2006,5.93,59.0,19(47.50 %),45700,2373200000,0,0,40.0,59.0,40.0
13/12/2006,6.08,60.5,3.5(6.14 %),110700,6899280000,0,0,62.7,62.7,59.0
14/12/2006,6.83,68.0,5.7(9.15 %),75200,5040200000,0,0,64.0,68.5,64.0
15/12/2006,7.4,73.7,6.7(10.00 %),71700,5221040000,0,0,73.7,73.7,70.0
18/12/2006,7.53,75.0,2.2(3.02 %),59000,4368550000,0,0,79.0,80.0,72.8
19/12/2006,7.63,76.0,2(2.70 %),99600,7555380000,0,0,80.0,80.5,75.0
20/12/2006,7.53,75.0,-0.9(-1.19 %),41800,3160350000,0,0,79.0,79.0,75.0
21/12/2006,6.84,68.1,-7.5(-9.92 %),11000,763370000,0,0,68.1,75.0,68.1
22/12/2006,6.53,65.0,-4.4(-6.34 %),4400,301500000,0,0,68.0,72.0,65.0
25/12/2006,6.33,63.0,-5.5(-8.03 %),26800,1659950000,0,0,61.7,63.0,61.7
26/12/2006,6.43,64.0,2.1(3.39 %),10800,687900000,0,0,62.0,65.5,62.0
27/12/2006,6.63,66.0,2.3(3.61 %),18400,1207720000,0,0,64.0,66.1,64.0
28/12/2006,7.04,70.1,4.5(6.86 %),37900,2672200000,0,0,65.0,72.1,65.0
29/12/2006,7.13,71.0,0.5(0.71 %),8100,581000000,0,0,71.0,72.0,70.0
02/01/2007,7.13,71.0,-0.7(-0.98 %),11800,848050000,0,0,74.0,74.5,71.0
03/01/2007,7.05,70.2,-1.7(-2.36 %),3100,0,0,0,71.0,71.0,70.0
04/01/2007,7.03,70.0,-0.2(-0.28 %),10100,694500000,0,0,68.0,70.0,68.0
05/01/2007,6.88,68.5,-0.3(-0.44 %),6000,0,0,0,68.5,68.8,68.0
08/01/2007,6.59,65.6,-2.9(-4.23 %),8800,0,0,0,65.0,68.0,65.0
09/01/2007,6.63,66.0,0.4(0.61 %),12200,810200000,0,0,65.0,67.0,65.0
10/01/2007,6.63,66.0,-0.4(-0.60 %),15600,1035850000,0,0,66.4,67.5,66.0
11/01/2007,6.68,66.5,0.1(0.15 %),40900,2712380000,0,0,66.0,67.0,65.0
12/01/2007,6.58,65.5,-0.8(-1.21 %),10700,707570000,0,0,66.0,66.5,65.5
15/01/2007,6.33,63.0,-3.1(-4.69 %),8100,524210000,0,0,66.1,66.1,62.5
16/01/2007,6.28,62.5,-2.2(-3.40 %),20800,1277350000,0,0,64.7,64.7,58.3
17/01/2007,6.13,61.0,-3.7(-5.72 %),4100,254720000,0,0,61.8,63.0,61.0
18/01/2007,6.13,61.0,-1.1(-1.77 %),3900,235450000,0,0,60.0,61.5,60.0
19/01/2007,6.15,61.2,0.8(1.32 %),2700,164610000,0,0,60.0,62.5,60.0
22/01/2007,6.68,66.5,5.5(9.02 %),22100,1451050000,0,0,67.1,67.1,65.0
23/01/2007,7.23,72.0,6.3(9.59 %),30700,2200540000,0,0,72.2,72.2,67.5
24/01/2007,7.48,74.5,2.8(3.91 %),34200,2611050000,0,0,78.7,78.8,70.2
25/01/2007,7.08,70.5,-5.8(-7.60 %),15700,1162830000,0,0,73.3,78.5,70.5
26/01/2007,6.93,69.0,-5.1(-6.88 %),13000,918370000,0,0,72.0,72.0,69.0
29/01/2007,6.98,69.5,-1.1(-1.56 %),12900,900310000,0,0,72.0,72.0,65.0
30/01/2007,6.95,69.2,-0.6(-0.86 %),11500,797030000,0,0,69.5,69.5,69.0
31/01/2007,6.95,69.2,-0.1(-0.14 %),19700,1378360000,0,0,69.0,71.0,69.0
01/02/2007,7.13,71.0,1(1.43 %),27400,1964020000,0,0,72.0,72.0,71.0
02/02/2007,7.49,73.0,2.8(3.99 %),20500,1513350000,0,0,77.2,77.2,72.0
05/02/2007,8.32,81.1,7.3(9.89 %),83800,6722740000,0,0,81.1,81.1,76.0
06/02/2007,9.04,88.1,7.9(9.85 %),86000,7479780000,0,0,84.0,88.2,81.5
07/02/2007,9.81,95.6,8.6(9.89 %),53500,5082390000,0,0,95.7,95.7,93.5
