Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
15/07/2016,0,0,0(0.00 %),0,0,0,0,33275880,0.0
18/07/2016,0,0,0(0.00 %),0,0,0,0,33275880,0.0
19/07/2016,0,0,0(0.00 %),0,0,0,0,33275880,0.0
20/07/2016,0,0,0(0.00 %),0,0,0,0,33275880,0.0
21/07/2016,0,0,0(0.00 %),0,0,0,0,33275880,0.0
22/07/2016,0,0,26.5(-3.28 %),0,0,0,0,33275880,0.0
25/07/2016,3600,104700000,26.8(2.29 %),3600,104700000,0,0,33272280,0.01
26/07/2016,0,0,25.5(-8.27 %),0,0,0,0,33272280,0.01
27/07/2016,0,0,25.5(-0.39 %),0,0,0,0,33272280,0.01
28/07/2016,0,0,26(3.59 %),0,0,0,0,33272280,0.01
29/07/2016,0,0,26(-0.76 %),0,0,0,0,33272280,0.01
01/08/2016,0,0,25.5(-2.67 %),0,0,0,0,33272280,0.01
02/08/2016,-600,-14100000,23(-9.80 %),0,0,600,14100000,33272280,0.01
03/08/2016,-3000,-61490000,20.2(-14.77 %),0,0,3000,61490000,33272280,0.01
04/08/2016,0,0,18.2(-11.65 %),0,0,0,0,33272280,0.01
05/08/2016,0,0,21(13.51 %),0,0,0,0,33272880,0.0
08/08/2016,0,0,19.7(-1.01 %),0,0,0,0,33275880,0.0
09/08/2016,0,0,20.7(1.47 %),0,0,0,0,33275880,0.0
10/08/2016,0,0,20.8(0.97 %),0,0,0,0,33275880,0.0
11/08/2016,0,0,20.3(-3.33 %),0,0,0,0,33275880,0.0
12/08/2016,0,0,19.7(-4.37 %),0,0,0,0,33275880,0.0
15/08/2016,0,0,19.1(-3.54 %),0,0,0,0,33275880,0.0
16/08/2016,0,0,20.3(5.18 %),0,0,0,0,33275880,0.0
17/08/2016,0,0,20(0.50 %),0,0,0,0,33275880,0.0
18/08/2016,0,0,19.3(-5.39 %),0,0,0,0,33275880,0.0
19/08/2016,0,0,19.7(1.03 %),0,0,0,0,33275880,0.0
22/08/2016,0,0,20.5(5.13 %),0,0,0,0,33275880,0.0
23/08/2016,0,0,22.6(12.44 %),0,0,0,0,33275880,0.0
24/08/2016,0,0,21.9(6.31 %),0,0,0,0,33275880,0.0
25/08/2016,0,0,22.1(0.00 %),0,0,0,0,33275880,0.0
26/08/2016,0,0,21.7(-1.36 %),0,0,0,0,33275880,0.0
29/08/2016,0,0,20.1(-5.63 %),0,0,0,0,33275880,0.0
30/08/2016,0,0,19.5(-3.94 %),0,0,0,0,33275880,0.0
31/08/2016,0,0,19.8(-2.94 %),0,0,0,0,33275880,0.0
01/09/2016,0,0,19.7(1.03 %),0,0,0,0,33275880,0.0
05/09/2016,0,0,19.9(0.51 %),0,0,0,0,33275880,0.0
06/09/2016,0,0,19.3(-2.53 %),0,0,0,0,33275880,0.0
07/09/2016,0,0,19.4(0.52 %),0,0,0,0,33275880,0.0
08/09/2016,0,0,19.5(0.00 %),0,0,0,0,33275880,0.0
09/09/2016,0,0,19.5(0.00 %),0,0,0,0,33275880,0.0
12/09/2016,0,0,19.3(-1.03 %),0,0,0,0,33275880,0.0
13/09/2016,0,0,18.6(-2.62 %),0,0,0,0,33275880,0.0
14/09/2016,0,0,18.7(-1.06 %),0,0,0,0,33275880,0.0
15/09/2016,0,0,18.5(-2.12 %),0,0,0,0,33275880,0.0
16/09/2016,0,0,17.9(-2.19 %),0,0,0,0,33275880,0.0
19/09/2016,0,0,17.2(-3.91 %),0,0,0,0,33275880,0.0
20/09/2016,0,0,17.8(1.14 %),0,0,0,0,33275880,0.0
21/09/2016,0,0,17.5(0.00 %),0,0,0,0,33275880,0.0
22/09/2016,0,0,18.2(4.60 %),0,0,0,0,33275880,0.0
23/09/2016,0,0,19.8(10.00 %),0,0,0,0,33275880,0.0
26/09/2016,0,0,19.8(-1.00 %),0,0,0,0,33275880,0.0
27/09/2016,0,0,20.6(1.98 %),0,0,0,0,33275880,0.0
28/09/2016,0,0,21(-3.23 %),0,0,0,0,33275880,0.0
29/09/2016,0,0,19.2(-11.11 %),0,0,0,0,33275880,0.0
30/09/2016,0,0,20(-1.48 %),0,0,0,0,33275880,0.0
03/10/2016,0,0,19.5(0.00 %),0,0,0,0,33275880,0.0
04/10/2016,0,0,19.2(-3.03 %),0,0,0,0,33275880,0.0
05/10/2016,0,0,19.1(-0.52 %),0,0,0,0,33275880,0.0
06/10/2016,0,0,19.1(-0.52 %),0,0,0,0,33275880,0.0
07/10/2016,0,0,18.5(-2.63 %),0,0,0,0,33275880,0.0
10/10/2016,0,0,19.8(7.03 %),0,0,0,0,33275880,0.0
11/10/2016,0,0,19.5(-1.52 %),0,0,0,0,33275880,0.0
12/10/2016,0,0,19.7(-0.51 %),0,0,0,0,33275880,0.0
13/10/2016,0,0,19.5(-6.25 %),0,0,0,0,33275880,0.0
14/10/2016,0,0,19.3(0.00 %),0,0,0,0,33275880,0.0
17/10/2016,0,0,18.9(-6.90 %),0,0,0,0,33275880,0.0
18/10/2016,0,0,19(-0.52 %),0,0,0,0,33275880,0.0
19/10/2016,0,0,19(-3.55 %),0,0,0,0,33275880,0.0
20/10/2016,0,0,18.6(-2.11 %),0,0,0,0,33275880,0.0
21/10/2016,0,0,18.6(-3.12 %),0,0,0,0,33275880,0.0
24/10/2016,0,0,19.2(-2.54 %),0,0,0,0,33275880,0.0
25/10/2016,0,0,18(-2.70 %),0,0,0,0,33275880,0.0
26/10/2016,0,0,17.6(-4.86 %),0,0,0,0,33275880,0.0
27/10/2016,0,0,17.9(2.29 %),0,0,0,0,33275880,0.0
28/10/2016,0,0,16.6(-12.63 %),0,0,0,0,33275880,0.0
31/10/2016,0,0,17(4.29 %),0,0,0,0,33275880,0.0
01/11/2016,0,0,17(-1.73 %),0,0,0,0,33275880,0.0
02/11/2016,0,0,16.5(-5.17 %),0,0,0,0,33275880,0.0
03/11/2016,0,0,16.2(-4.14 %),0,0,0,0,33275880,0.0
04/11/2016,0,0,15.7(1.95 %),0,0,0,0,33275880,0.0
07/11/2016,0,0,16(4.58 %),0,0,0,0,33275880,0.0
08/11/2016,0,0,16.2(2.53 %),0,0,0,0,33275880,0.0
09/11/2016,0,0,15(-5.66 %),0,0,0,0,33275880,0.0
10/11/2016,0,0,15.6(4.70 %),0,0,0,0,33275880,0.0
11/11/2016,0,0,15.7(1.95 %),0,0,0,0,33275880,0.0
14/11/2016,0,0,15.2(-1.94 %),0,0,0,0,33275880,0.0
15/11/2016,0,0,15.5(0.00 %),0,0,0,0,33275880,0.0
16/11/2016,0,0,15.5(1.97 %),0,0,0,0,33275880,0.0
17/11/2016,0,0,17.5(13.64 %),0,0,0,0,33275880,0.0
18/11/2016,0,0,17.5(2.94 %),0,0,0,0,33275880,0.0
21/11/2016,0,0,20(11.11 %),0,0,0,0,33275880,0.0
22/11/2016,0,0,19.5(0.00 %),0,0,0,0,33275880,0.0
23/11/2016,0,0,19.7(-2.48 %),0,0,0,0,33275880,0.0
24/11/2016,0,0,20(2.56 %),0,0,0,0,33275880,0.0
25/11/2016,0,0,19(-5.00 %),0,0,0,0,33275880,0.0
28/11/2016,0,0,18.1(-6.22 %),0,0,0,0,33275880,0.0
29/11/2016,0,0,17.5(-4.89 %),0,0,0,0,33275880,0.0
30/11/2016,0,0,17.4(-1.14 %),0,0,0,0,33275880,0.0
01/12/2016,0,0,19.4(13.45 %),0,0,0,0,33275880,0.0
02/12/2016,0,0,18.5(-1.60 %),0,0,0,0,33275880,0.0
05/12/2016,0,0,18(-2.70 %),0,0,0,0,33275880,0.0
06/12/2016,0,0,17.5(-2.23 %),0,0,0,0,33275880,0.0
07/12/2016,0,0,17.6(0.00 %),0,0,0,0,33275880,0.0
08/12/2016,0,0,17.6(0.00 %),0,0,0,0,33275880,0.0
09/12/2016,0,0,17.6(-1.12 %),0,0,0,0,33275880,0.0
12/12/2016,0,0,16.5(-2.37 %),0,0,0,0,33275880,0.0
13/12/2016,0,0,16.9(3.05 %),0,0,0,0,33275880,0.0
14/12/2016,0,0,16.2(-1.82 %),0,0,0,0,33275880,0.0
15/12/2016,0,0,16.2(3.85 %),0,0,0,0,33275880,0.0
16/12/2016,0,0,16.2(-2.41 %),0,0,0,0,33275880,0.0
19/12/2016,0,0,17.9(10.49 %),0,0,0,0,33275880,0.0
20/12/2016,0,0,18(4.05 %),0,0,0,0,33275880,0.0
21/12/2016,0,0,18(-3.23 %),0,0,0,0,33275880,0.0
22/12/2016,0,0,17.1(0.00 %),0,0,0,0,33275880,0.0
23/12/2016,0,0,18.1(5.85 %),0,0,0,0,33275880,0.0
26/12/2016,0,0,17.9(-1.10 %),0,0,0,0,33275880,0.0
27/12/2016,0,0,18.5(3.35 %),0,0,0,0,33275880,0.0
28/12/2016,0,0,18.4(1.10 %),0,0,0,0,33275880,0.0
29/12/2016,0,0,18.5(0.00 %),0,0,0,0,33275880,0.0
30/12/2016,0,0,18.5(0.00 %),0,0,0,0,33275880,0.0
03/01/2017,0,0,18.7(1.08 %),0,0,0,0,33275880,0.0
04/01/2017,0,0,19.1(0.00 %),0,0,0,0,33275880,0.0
05/01/2017,0,0,18.9(0.00 %),0,0,0,0,33275880,0.0
06/01/2017,0,0,19(0.53 %),0,0,0,0,33275880,0.0
09/01/2017,0,0,18.6(-3.12 %),0,0,0,0,33275880,0.0
10/01/2017,0,0,18.5(-3.14 %),0,0,0,0,33275880,0.0
11/01/2017,0,0,19.4(3.74 %),0,0,0,0,33275880,0.0
12/01/2017,0,0,19(0.00 %),0,0,0,0,33275880,0.0
13/01/2017,0,0,18.8(-1.57 %),0,0,0,0,33275880,0.0
16/01/2017,0,0,18.9(-0.53 %),0,0,0,0,33275880,0.0
17/01/2017,0,0,18.6(0.54 %),0,0,0,0,33275880,0.0
18/01/2017,0,0,18.3(0.00 %),0,0,0,0,33275880,0.0
19/01/2017,0,0,18.6(2.20 %),0,0,0,0,33275880,0.0
20/01/2017,0,0,18.4(-0.54 %),0,0,0,0,33275880,0.0
23/01/2017,0,0,18.4(1.66 %),0,0,0,0,33275880,0.0
24/01/2017,0,0,18.2(1.68 %),0,0,0,0,33275880,0.0
25/01/2017,0,0,18.2(1.11 %),0,0,0,0,33275880,0.0
02/02/2017,0,0,18.2(0.55 %),0,0,0,0,33275880,0.0
03/02/2017,0,0,18(-1.10 %),0,0,0,0,33275880,0.0
06/02/2017,0,0,18(0.56 %),0,0,0,0,33275880,0.0
07/02/2017,0,0,18(2.27 %),0,0,0,0,33275880,0.0
08/02/2017,0,0,18.1(0.00 %),0,0,0,0,33275880,0.0
09/02/2017,0,0,18(-1.64 %),0,0,0,0,33275880,0.0
10/02/2017,0,0,17.9(-0.56 %),0,0,0,0,33275880,0.0
13/02/2017,0,0,18(0.56 %),0,0,0,0,33275880,0.0
14/02/2017,0,0,17.9(0.00 %),0,0,0,0,33275880,0.0
15/02/2017,0,0,17.7(-0.56 %),0,0,0,0,33275880,0.0
16/02/2017,0,0,17.8(0.00 %),0,0,0,0,33275880,0.0
17/02/2017,0,0,17.9(0.00 %),0,0,0,0,33275880,0.0
20/02/2017,0,0,18.1(2.26 %),0,0,0,0,33275880,0.0
21/02/2017,0,0,18.7(3.89 %),0,0,0,0,33275880,0.0
22/02/2017,0,0,18.4(-2.65 %),0,0,0,0,33275880,0.0
23/02/2017,0,0,18.5(-1.07 %),0,0,0,0,33275880,0.0
24/02/2017,0,0,18.1(-2.16 %),0,0,0,0,33275880,0.0
27/02/2017,0,0,17.6(-4.35 %),0,0,0,0,33275880,0.0
28/02/2017,0,0,17.6(0.00 %),0,0,0,0,33275880,0.0
01/03/2017,0,0,17.9(1.70 %),0,0,0,0,33275880,0.0
02/03/2017,0,0,17.7(0.57 %),0,0,0,0,33275880,0.0
03/03/2017,0,0,18(2.27 %),0,0,0,0,33275880,0.0
06/03/2017,0,0,17.8(-0.56 %),0,0,0,0,33275880,0.0
