Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
17/08/2009,-34280,-1069536000,0(0.00 %),200,6240000,34480,1075776000,3910900,1.25
18/08/2009,-9820,-303224000,0(0.00 %),0,0,9820,303224000,3920720,1.13
19/08/2009,-24680,-705507000,0(0.00 %),0,0,24680,705507000,3945400,0.83
20/08/2009,-11020,-316079000,0(0.00 %),0,0,11020,316079000,3956420,0.69
21/08/2009,10,300000,0(0.00 %),10,300000,0,0,3956410,0.69
24/08/2009,0,0,0(0.00 %),0,0,0,0,3956410,0.69
25/08/2009,0,0,0(0.00 %),0,0,0,0,3956410,0.69
26/08/2009,0,0,28(-3.45 %),0,0,0,0,3956410,0.69
27/08/2009,0,0,28(0.00 %),0,0,0,0,3956410,0.69
28/08/2009,0,0,28.6(2.14 %),0,0,0,0,3956410,0.69
31/08/2009,0,0,29(1.40 %),0,0,0,0,3956410,0.69
01/09/2009,0,0,29.5(1.72 %),0,0,0,0,3956410,0.69
03/09/2009,0,0,29.5(0.00 %),0,0,0,0,3956410,0.69
04/09/2009,0,0,28.5(-3.39 %),0,0,0,0,3956410,0.69
07/09/2009,0,0,29(1.75 %),0,0,0,0,3956410,0.69
08/09/2009,0,0,29(0.00 %),0,0,0,0,3956410,0.69
09/09/2009,0,0,29.8(2.76 %),0,0,0,0,3956410,0.69
10/09/2009,5000,151000000,30.4(2.01 %),5000,151000000,0,0,3951410,0.75
11/09/2009,0,0,31.8(4.61 %),0,0,0,0,3951410,0.75
14/09/2009,0,0,33.3(4.72 %),0,0,0,0,3951410,0.75
15/09/2009,4700,159800000,33.9(1.80 %),4700,159800000,0,0,3946710,0.81
16/09/2009,0,0,32.3(-4.72 %),0,0,0,0,3946710,0.81
17/09/2009,0,0,32.2(-0.31 %),0,0,0,0,3946710,0.81
18/09/2009,0,0,32.2(0.00 %),0,0,0,0,3949410,0.78
21/09/2009,-2700,-82890000,30.9(-4.04 %),0,0,2700,82890000,3949410,0.78
22/09/2009,0,0,30.9(0.00 %),0,0,0,0,3949410,0.78
23/09/2009,-250,-7725000,30.9(0.00 %),0,0,250,7725000,3949660,0.77
24/09/2009,0,0,30.2(-2.27 %),0,0,0,0,3949660,0.77
25/09/2009,0,0,30.2(0.00 %),0,0,0,0,3949660,5.11
28/09/2009,-10160,-1353920000,29.3(-2.98 %),1300,173200000,11460,1527120000,3959320,5.01
29/09/2009,-1750,-51625000,30(2.39 %),0,0,1750,51625000,3950870,0.76
30/09/2009,0,0,30.1(0.33 %),0,0,0,0,3950870,0.76
01/10/2009,0,0,29.5(-1.99 %),0,0,0,0,3950870,0.76
02/10/2009,0,0,29(-1.69 %),0,0,0,0,3950870,0.76
05/10/2009,100,2900000,29(0.00 %),100,2900000,0,0,3950770,0.76
06/10/2009,0,0,29.9(3.10 %),0,0,0,0,3950770,0.76
07/10/2009,5000,145000000,30(0.33 %),5000,145000000,0,0,3945770,0.82
08/10/2009,0,0,29.5(-1.67 %),0,0,0,0,3945770,0.82
09/10/2009,1500,44400000,29.6(0.34 %),1500,44400000,0,0,3944270,0.84
12/10/2009,0,0,30(1.35 %),0,0,0,0,3944270,0.84
13/10/2009,0,0,30(0.00 %),0,0,0,0,3944270,0.84
14/10/2009,0,0,30(0.00 %),0,0,0,0,3944270,0.84
15/10/2009,5000,152500000,30.5(1.67 %),5000,152500000,0,0,3939270,0.9
16/10/2009,20,620000,30.7(0.66 %),20,620000,0,0,3939250,0.9
19/10/2009,20,620000,31(0.98 %),20,620000,0,0,3939230,0.9
20/10/2009,4000,129985000,32.5(4.84 %),4000,129985000,0,0,3935230,0.95
21/10/2009,0,0,31.2(-4.00 %),0,0,0,0,3935230,0.95
22/10/2009,0,0,30.5(-2.24 %),0,0,0,0,3935230,0.95
23/10/2009,0,0,30(-1.64 %),0,0,0,0,3935230,0.95
26/10/2009,-4000,-116050000,28.6(-4.67 %),0,0,4000,116050000,3939230,0.9
27/10/2009,0,0,28.3(-1.05 %),0,0,0,0,3939230,0.9
28/10/2009,0,0,28.8(1.77 %),0,0,0,0,3939230,0.9
29/10/2009,0,0,28.1(-2.43 %),0,0,0,0,3939230,0.9
30/10/2009,0,0,28.4(1.07 %),0,0,0,0,3939230,0.9
02/11/2009,0,0,27(-4.93 %),0,0,0,0,3939230,0.9
03/11/2009,0,0,26.7(-1.11 %),0,0,0,0,3939230,0.9
04/11/2009,0,0,26.3(-1.50 %),0,0,0,0,3939230,0.9
05/11/2009,0,0,27.4(4.18 %),0,0,0,0,3939230,0.9
06/11/2009,0,0,27.9(1.82 %),0,0,0,0,3939230,0.9
09/11/2009,40,1076000,26.6(-4.66 %),40,1076000,0,0,3939190,0.9
10/11/2009,0,0,26.5(-0.38 %),0,0,0,0,3939190,0.9
11/11/2009,4000,110000000,27.5(3.77 %),4000,110000000,0,0,3935190,0.95
12/11/2009,0,0,27.7(0.73 %),0,0,0,0,3935190,0.95
13/11/2009,0,0,27.6(-0.36 %),0,0,0,0,3935190,0.95
16/11/2009,0,0,27.5(-0.36 %),0,0,0,0,3935190,0.95
