Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
17/08/2009,4.57,31.2,5.2(20.00 %),46280,1443936000,0,0,31.2,31.2,31.2
18/08/2009,4.39,30.0,-1.2(-3.85 %),13900,430280000,0,0,31.2,31.2,30.0
19/08/2009,4.17,28.5,-1.5(-5.00 %),42590,1216334000,0,0,28.8,31.0,28.5
20/08/2009,4.38,29.9,1.4(4.91 %),18730,545306000,0,0,29.5,29.9,28.5
21/08/2009,4.32,29.5,-0.4(-1.34 %),13270,398853000,0,0,31.0,31.0,29.5
24/08/2009,4.23,28.9,-0.6(-2.03 %),5070,150093000,0,0,29.9,29.9,28.9
25/08/2009,4.24,29.0,0.1(0.35 %),15820,446315000,0,0,28.6,29.0,27.5
26/08/2009,4.1,28.0,-1(-3.45 %),7230,202135000,0,0,29.0,29.0,27.6
27/08/2009,4.1,28.0,0(0.00 %),9620,269368000,0,0,28.0,28.4,27.9
28/08/2009,4.19,28.6,0.6(2.14 %),18140,517564000,0,0,28.4,28.7,28.4
31/08/2009,4.24,29.0,0.4(1.40 %),36470,1054148000,0,0,28.2,29.2,28.2
01/09/2009,4.32,29.5,0.5(1.72 %),28460,828582000,0,0,28.0,29.8,28.0
03/09/2009,4.32,29.5,0(0.00 %),9020,263660000,0,0,28.1,29.5,28.1
04/09/2009,4.17,28.5,-1(-3.39 %),12630,367274000,0,0,29.0,29.5,28.5
07/09/2009,4.24,29.0,0.5(1.75 %),13320,384650000,0,0,28.5,29.0,28.0
08/09/2009,4.24,29.0,0(0.00 %),19310,559973000,0,0,29.1,29.1,28.3
09/09/2009,4.36,29.8,0.8(2.76 %),50130,1483612000,0,0,28.4,30.2,28.4
10/09/2009,4.45,30.4,0.6(2.01 %),20860,630032000,0,0,30.8,30.8,29.8
11/09/2009,4.65,31.8,1.4(4.61 %),51910,1652853000,0,0,31.8,31.9,31.7
14/09/2009,4.87,33.3,1.5(4.72 %),39060,1289752000,0,0,33.3,33.3,31.8
15/09/2009,4.96,33.9,0.6(1.80 %),28760,965372000,0,0,34.0,34.0,32.3
16/09/2009,4.73,32.3,-1.6(-4.72 %),10820,353132000,0,0,32.4,33.9,32.3
17/09/2009,4.71,32.2,-0.1(-0.31 %),16500,527285000,0,0,31.2,32.2,31.2
18/09/2009,4.71,32.2,0(0.00 %),18490,579105000,0,0,33.2,33.2,30.6
21/09/2009,4.52,30.9,-1.3(-4.04 %),32790,1012447000,0,0,32.2,32.2,30.7
22/09/2009,4.52,30.9,0(0.00 %),21050,639552000,0,0,30.9,30.9,29.4
23/09/2009,4.52,30.9,0(0.00 %),7610,235149000,0,0,30.9,30.9,30.9
24/09/2009,4.42,30.2,-0.7(-2.27 %),3620,110404000,0,0,31.0,31.0,30.2
25/09/2009,4.42,30.2,0(0.00 %),17010,522902000,0,0,31.2,31.2,30.2
28/09/2009,4.29,29.3,-0.9(-2.98 %),13900,416768000,0,0,30.0,30.5,29.3
29/09/2009,4.39,30.0,0.7(2.39 %),19340,577908000,0,0,30.0,30.2,29.2
