Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
13/03/2006,3.08,40.0,5.5(15.94 %),6000,223500000,0,0,34.5,40.0,33.5
15/03/2006,3.08,40.0,2.7(7.24 %),12300,498700000,0,0,41.0,41.0,39.5
17/03/2006,3.31,42.9,2.4(5.93 %),9800,419650000,0,0,43.0,43.0,41.5
20/03/2006,3.47,45.0,2.2(5.14 %),23400,1039340000,0,0,43.5,45.5,43.5
22/03/2006,3.43,44.5,0.1(0.23 %),11900,537700000,0,0,46.0,46.0,44.5
24/03/2006,3.51,45.5,0.3(0.66 %),17000,773850000,0,0,45.9,47.0,44.7
27/03/2006,3.47,45.0,-0.5(-1.10 %),3800,171270000,0,0,45.2,45.2,44.9
29/03/2006,3.43,44.5,-0.6(-1.33 %),15500,684660000,0,0,45.0,45.0,43.0
31/03/2006,3.28,42.6,-1.6(-3.62 %),7600,325590000,0,0,44.5,44.5,40.0
03/04/2006,3.08,40.0,-2.8(-6.54 %),16300,670520000,0,0,39.0,42.5,39.0
05/04/2006,3.04,39.5,-1.6(-3.89 %),14300,559550000,0,0,39.0,40.0,38.5
07/04/2006,3.0,38.9,-0.2(-0.51 %),13700,539020000,0,0,40.5,40.5,38.7
10/04/2006,3.01,39.0,-0.3(-0.76 %),1500,58750000,0,0,39.5,39.5,39.0
12/04/2006,3.0,38.9,-0.3(-0.77 %),7800,303440000,0,0,39.0,39.0,38.5
14/04/2006,3.01,39.0,0.1(0.26 %),6000,232550000,0,0,38.5,39.1,38.5
17/04/2006,3.04,39.5,0.7(1.80 %),11800,464770000,0,0,39.0,42.6,39.0
19/04/2006,3.34,43.3,3.9(9.90 %),15900,687110000,0,0,42.5,43.3,42.5
21/04/2006,3.62,47.0,3.8(8.80 %),21300,987060000,0,0,47.5,47.5,44.6
24/04/2006,3.78,49.0,2.7(5.83 %),14400,707150000,0,0,50.0,50.5,47.5
26/04/2006,4.15,53.9,4.8(9.78 %),19500,1005480000,0,0,52.0,54.0,50.0
28/04/2006,4.24,55.0,3.4(6.59 %),14400,758590000,0,0,46.5,56.5,46.5
03/05/2006,4.01,52.0,-0.7(-1.33 %),6600,342900000,0,0,52.5,52.5,51.0
05/05/2006,3.85,50.0,-2(-3.85 %),6300,321130000,0,0,51.2,52.0,50.0
08/05/2006,3.7,48.0,-3(-5.88 %),12100,573450000,0,0,47.0,48.0,47.0
10/05/2006,3.29,42.7,-4.7(-9.92 %),4000,175790000,0,0,46.0,46.0,42.7
12/05/2006,3.7,48.0,4.1(9.34 %),13100,605300000,0,0,45.0,48.2,45.0
15/05/2006,3.84,49.8,3.6(7.79 %),9100,454400000,0,0,50.0,50.5,49.5
17/05/2006,3.78,49.0,-0.9(-1.80 %),5100,246000000,0,0,50.0,50.0,46.0
19/05/2006,3.48,45.2,-3(-6.22 %),1500,68790000,0,0,47.0,47.0,45.2
22/05/2006,3.28,42.5,-3.4(-7.41 %),2600,113410000,0,0,46.0,46.0,42.5
24/05/2006,3.36,43.6,0(0.00 %),1800,78520000,0,0,45.0,45.0,43.5
26/05/2006,3.31,43.0,-0.6(-1.38 %),4600,191000000,0,0,42.5,43.0,40.5
29/05/2006,3.04,39.5,-2(-4.82 %),3300,131110000,0,0,40.5,40.5,39.5
31/05/2006,3.2,41.5,1.8(4.53 %),3900,157500000,0,0,41.5,41.5,38.5
01/06/2006,3.24,42.0,1.6(3.96 %),3500,146400000,0,0,41.5,42.0,41.5
02/06/2006,3.16,41.0,-0.8(-1.91 %),3000,123000000,0,0,41.0,41.0,41.0
05/06/2006,3.14,40.8,-0.2(-0.49 %),1500,61320000,0,0,41.0,41.0,40.8
06/06/2006,3.16,41.0,0.1(0.24 %),4100,167900000,0,0,41.0,41.0,40.5
07/06/2006,3.14,40.8,-0.2(-0.49 %),2000,81800000,0,0,41.0,41.0,40.8
08/06/2006,3.16,41.0,0.1(0.24 %),1100,45100000,0,0,41.0,41.0,41.0
09/06/2006,3.16,41.0,0(0.00 %),600,24600000,0,0,41.0,41.0,41.0
12/06/2006,3.16,41.0,0(0.00 %),0,0,0,0,41.0,41.0,41.0
13/06/2006,3.12,40.5,-0.5(-1.22 %),1500,60750000,0,0,40.5,40.5,40.5
14/06/2006,2.84,36.9,-3.6(-8.89 %),1800,66420000,0,0,36.9,36.9,36.9
15/06/2006,3.08,40.0,3.1(8.40 %),1000,40000000,0,0,40.0,40.0,40.0
16/06/2006,3.08,40.0,0(0.00 %),100,4000000,0,0,40.0,40.0,40.0
19/06/2006,3.08,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
20/06/2006,2.93,38.0,-2(-5.00 %),600,22800000,0,0,38.0,38.0,38.0
21/06/2006,2.93,38.0,0(0.00 %),0,0,0,0,38.0,38.0,38.0
22/06/2006,3.08,40.0,2(5.26 %),200,8000000,0,0,40.0,40.0,40.0
23/06/2006,3.08,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
26/06/2006,3.08,40.0,0(0.00 %),200,8000000,0,0,40.0,40.0,40.0
27/06/2006,3.01,39.0,-1(-2.50 %),2000,78000000,0,0,39.0,39.0,39.0
28/06/2006,3.01,39.0,0(0.00 %),0,0,0,0,39.0,39.0,39.0
29/06/2006,3.01,39.0,0(0.00 %),0,0,0,0,39.0,39.0,39.0
30/06/2006,3.04,39.4,0.4(1.03 %),300,10960000,0,0,35.1,39.4,35.1
