Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
14/08/2009,0,0,40.5(19.12 %),0,0,0,0,2681280,0.0
17/08/2009,0,0,40(0.76 %),0,0,0,0,2681280,0.0
18/08/2009,0,0,37.8(-6.90 %),0,0,0,0,2681280,0.0
19/08/2009,0,0,35.3(-6.86 %),0,0,0,0,2681280,0.0
20/08/2009,0,0,34(-4.49 %),0,0,0,0,2681280,0.0
21/08/2009,0,0,35(4.79 %),0,0,0,0,2681280,0.0
24/08/2009,0,0,34.5(-1.15 %),0,0,0,0,2681280,0.0
25/08/2009,0,0,34(-1.45 %),0,0,0,0,2681280,0.0
26/08/2009,0,0,34(-0.29 %),0,0,0,0,2681280,0.0
27/08/2009,0,0,33.5(-1.47 %),0,0,0,0,2681280,0.0
28/08/2009,0,0,33.6(-0.59 %),0,0,0,0,2681280,0.0
31/08/2009,0,0,35.2(6.34 %),0,0,0,0,2681280,0.0
01/09/2009,0,0,35(-0.28 %),0,0,0,0,2681280,0.0
03/09/2009,0,0,33.8(-2.59 %),0,0,0,0,2681280,0.0
04/09/2009,0,0,33.6(0.00 %),0,0,0,0,2681280,0.0
07/09/2009,0,0,33.5(-0.30 %),0,0,0,0,2681280,0.0
08/09/2009,0,0,32.2(-3.88 %),0,0,0,0,2681280,0.0
09/09/2009,0,0,33(2.48 %),0,0,0,0,2681280,0.0
10/09/2009,0,0,35(5.74 %),0,0,0,0,2681280,0.0
11/09/2009,0,0,36.8(5.14 %),0,0,0,0,2681280,0.0
14/09/2009,0,0,35.7(-2.99 %),0,0,0,0,2681280,0.0
15/09/2009,0,0,34.6(-4.68 %),0,0,0,0,2681280,0.0
16/09/2009,0,0,33.4(-4.30 %),0,0,0,0,2681280,0.0
17/09/2009,0,0,32(-4.48 %),0,0,0,0,2681280,0.0
18/09/2009,0,0,34.3(6.52 %),0,0,0,0,2681280,0.0
21/09/2009,0,0,34(0.29 %),0,0,0,0,2681280,0.0
22/09/2009,0,0,31.7(-6.76 %),0,0,0,0,2681280,0.0
23/09/2009,0,0,32.3(-1.22 %),0,0,0,0,2681280,0.0
24/09/2009,0,0,32.1(-0.31 %),0,0,0,0,2681280,0.0
25/09/2009,0,0,32(-0.31 %),0,0,0,0,2681280,0.0
28/09/2009,1000,32000000,31.9(0.00 %),1000,32000000,0,0,2680280,0.02
29/09/2009,0,0,32.5(3.17 %),0,0,0,0,2680280,0.02
30/09/2009,0,0,32.5(0.93 %),0,0,0,0,2680280,0.02
01/10/2009,0,0,31(-3.43 %),0,0,0,0,2680280,0.02
02/10/2009,0,0,31.4(1.29 %),0,0,0,0,2680280,0.02
05/10/2009,100,3000000,29.1(-2.02 %),100,3000000,0,0,2680180,0.02
06/10/2009,0,0,29.2(-2.01 %),0,0,0,0,2680180,0.02
07/10/2009,0,0,30(1.69 %),0,0,0,0,2680180,0.02
08/10/2009,0,0,31(3.33 %),0,0,0,0,2680180,0.02
09/10/2009,0,0,30(-2.91 %),0,0,0,0,2680180,0.02
12/10/2009,0,0,32.1(7.00 %),0,0,0,0,2680180,0.02
13/10/2009,0,0,32.4(2.53 %),0,0,0,0,2680180,0.02
14/10/2009,0,0,32.1(0.00 %),0,0,0,0,2680180,0.02
15/10/2009,0,0,32(0.63 %),0,0,0,0,2680180,0.02
16/10/2009,0,0,32.5(2.20 %),0,0,0,0,2680180,0.02
21/10/2009,0,0,33.9(2.73 %),0,0,0,0,2680180,0.02
22/10/2009,0,0,34(1.80 %),0,0,0,0,2680180,0.02
23/10/2009,0,0,34.5(3.29 %),0,0,0,0,2680180,0.02
26/10/2009,0,0,32.7(-6.84 %),0,0,0,0,2680180,0.02
27/10/2009,0,0,34(3.66 %),0,0,0,0,2680180,0.02
28/10/2009,0,0,32(2.24 %),0,0,0,0,2680180,0.02
29/10/2009,0,0,31.8(-3.34 %),0,0,0,0,2680180,0.02
30/10/2009,0,0,31(-0.32 %),0,0,0,0,2680180,0.02
02/11/2009,0,0,29.4(-6.96 %),0,0,0,0,2680180,0.02
03/11/2009,0,0,27.7(-5.78 %),0,0,0,0,2680180,0.02
04/11/2009,0,0,26(-6.47 %),0,0,0,0,2680180,0.02
05/11/2009,0,0,28.3(6.39 %),0,0,0,0,2680180,0.02
06/11/2009,0,0,27(-4.26 %),0,0,0,0,2680180,0.02
09/11/2009,0,0,26.6(-6.99 %),0,0,0,0,2680180,0.02
10/11/2009,0,0,26(-2.26 %),0,0,0,0,2680180,0.02
11/11/2009,0,0,26.2(1.95 %),0,0,0,0,2680180,0.02
12/11/2009,0,0,27.5(5.77 %),0,0,0,0,2680180,0.02
13/11/2009,0,0,27(-2.53 %),0,0,0,0,2680180,0.02
16/11/2009,0,0,25.3(-6.99 %),0,0,0,0,2680180,0.02
17/11/2009,0,0,25.7(0.78 %),0,0,0,0,2680180,0.02
18/11/2009,0,0,26.7(3.89 %),0,0,0,0,2680180,0.02
19/11/2009,0,0,26.5(1.92 %),0,0,0,0,2680180,0.02
20/11/2009,0,0,26.3(0.00 %),0,0,0,0,2680180,0.02
23/11/2009,0,0,24.5(-6.84 %),0,0,0,0,2680180,0.02
24/11/2009,0,0,24.5(-2.39 %),0,0,0,0,2680180,0.02
25/11/2009,0,0,23.6(-5.60 %),0,0,0,0,2680180,0.02
26/11/2009,0,0,21.9(-6.81 %),0,0,0,0,2680180,0.02
27/11/2009,0,0,22(-0.45 %),0,0,0,0,2680180,0.02
30/11/2009,0,0,23.2(6.91 %),0,0,0,0,2680180,0.02
01/12/2009,0,0,24.6(6.96 %),0,0,0,0,2680180,0.02
02/12/2009,0,0,23.1(-6.10 %),0,0,0,0,2680180,0.02
03/12/2009,0,0,24.6(6.03 %),0,0,0,0,2680180,0.02
04/12/2009,0,0,24(-0.83 %),0,0,0,0,2680180,0.02
07/12/2009,0,0,23.5(-2.49 %),0,0,0,0,2680180,0.02
08/12/2009,0,0,24.4(2.95 %),0,0,0,0,2680180,0.02
09/12/2009,0,0,22.8(-6.94 %),0,0,0,0,2680180,0.02
10/12/2009,0,0,23(0.44 %),0,0,0,0,2680180,0.02
11/12/2009,0,0,21.5(-3.59 %),0,0,0,0,2680180,0.02
14/12/2009,0,0,22(4.27 %),0,0,0,0,2680180,0.02
15/12/2009,0,0,22(0.00 %),0,0,0,0,2680180,0.02
16/12/2009,0,0,22(0.00 %),0,0,0,0,2680180,0.02
17/12/2009,0,0,21.9(-0.45 %),0,0,0,0,2680180,0.02
18/12/2009,0,0,23.3(6.88 %),0,0,0,0,2680180,0.02
21/12/2009,0,0,23.4(3.54 %),0,0,0,0,2680180,0.02
22/12/2009,0,0,22.5(-2.60 %),0,0,0,0,2680180,0.02
23/12/2009,0,0,22(0.92 %),0,0,0,0,2680180,0.02
24/12/2009,0,0,22.8(3.64 %),0,0,0,0,2680180,0.02
25/12/2009,0,0,22.5(0.00 %),0,0,0,0,2680180,0.02
28/12/2009,0,0,22.5(1.35 %),0,0,0,0,2680180,0.02
29/12/2009,0,0,21.5(-4.02 %),0,0,0,0,2680180,0.02
30/12/2009,0,0,22(1.85 %),0,0,0,0,2680180,0.02
31/12/2009,0,0,21.9(-0.45 %),0,0,0,0,2680180,0.02
04/01/2010,0,0,23.5(6.82 %),0,0,0,0,2680180,0.02
05/01/2010,0,0,24(3.45 %),0,0,0,0,2680180,0.02
06/01/2010,0,0,23.1(-5.33 %),0,0,0,0,2680180,0.02
07/01/2010,100,2350000,23.5(0.00 %),100,2350000,0,0,2680080,0.02
08/01/2010,0,0,22(-5.17 %),0,0,0,0,2680080,0.02
11/01/2010,0,0,23(4.55 %),0,0,0,0,2680080,0.02
12/01/2010,0,0,21.6(-4.85 %),0,0,0,0,2680080,0.02
13/01/2010,0,0,22(1.38 %),0,0,0,0,2680080,0.02
14/01/2010,0,0,22(0.46 %),0,0,0,0,2680080,0.02
15/01/2010,0,0,23.3(6.88 %),0,0,0,0,2680080,0.02
18/01/2010,0,0,24.7(6.93 %),0,0,0,0,2680080,0.02
19/01/2010,0,0,26.4(6.88 %),0,0,0,0,2680080,0.02
20/01/2010,0,0,25.5(-1.54 %),0,0,0,0,2680080,0.02
21/01/2010,0,0,25.3(-2.32 %),0,0,0,0,2680080,0.02
22/01/2010,0,0,25.8(1.98 %),0,0,0,0,2680080,0.02
25/01/2010,0,0,25.8(1.98 %),0,0,0,0,2680080,0.02
26/01/2010,0,0,26(0.78 %),0,0,0,0,2680080,0.02
27/01/2010,0,0,25.6(-1.54 %),0,0,0,0,2680080,0.02
28/01/2010,0,0,25.1(-3.09 %),0,0,0,0,2680080,0.02
29/01/2010,0,0,24.9(-0.40 %),0,0,0,0,2680080,0.02
01/02/2010,0,0,23.5(-3.29 %),0,0,0,0,2680080,0.02
02/02/2010,0,0,24(3.45 %),0,0,0,0,2680080,0.02
