Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
10/06/2010,0,0,0(0.00 %),0,0,0,0,0,0.0
11/06/2010,0,0,0(0.00 %),0,0,0,0,0,0.0
14/06/2010,0,0,0(0.00 %),0,0,0,0,0,0.0
15/06/2010,0,0,0(0.00 %),0,0,0,0,0,0.0
16/06/2010,0,0,20(0.00 %),0,0,0,0,0,0.0
17/06/2010,0,0,20(0.00 %),0,0,0,0,0,0.0
18/06/2010,0,0,20(0.00 %),0,0,0,0,0,0.0
21/06/2010,0,0,19.5(-2.50 %),0,0,0,0,0,0.0
22/06/2010,0,0,19(-2.56 %),0,0,0,0,0,0.0
23/06/2010,0,0,19(0.00 %),0,0,0,0,0,0.0
24/06/2010,0,0,19(0.00 %),0,0,0,0,0,0.0
25/06/2010,0,0,18.5(-2.63 %),0,0,0,0,0,0.0
28/06/2010,0,0,18(-2.70 %),0,0,0,0,0,0.0
29/06/2010,0,0,18(-1.64 %),0,0,0,0,0,0.0
30/06/2010,0,0,18(0.00 %),0,0,0,0,0,0.0
01/07/2010,0,0,18(0.00 %),0,0,0,0,0,0.0
02/07/2010,0,0,17.6(-2.22 %),0,0,0,0,0,0.0
05/07/2010,0,0,17.7(0.00 %),0,0,0,0,0,0.0
06/07/2010,0,0,16(-9.60 %),0,0,0,0,0,0.0
07/07/2010,0,0,14.5(-9.38 %),0,0,0,0,0,0.0
08/07/2010,0,0,13.2(-9.59 %),0,0,0,0,0,0.0
09/07/2010,0,0,11.9(-9.85 %),0,0,0,0,0,0.0
12/07/2010,0,0,13(9.24 %),0,0,0,0,0,0.0
13/07/2010,0,0,14(9.37 %),0,0,0,0,0,0.0
14/07/2010,0,0,15.1(9.42 %),0,0,0,0,0,0.0
15/07/2010,0,0,16.1(9.52 %),0,0,0,0,0,0.0
16/07/2010,0,0,15(-5.66 %),0,0,0,0,0,0.0
19/07/2010,0,0,14.1(-5.37 %),0,0,0,0,0,0.0
20/07/2010,0,0,15.5(9.93 %),0,0,0,0,0,0.0
21/07/2010,0,0,17(9.68 %),0,0,0,0,0,0.0
22/07/2010,0,0,17(0.00 %),0,0,0,0,0,0.0
23/07/2010,0,0,17(0.00 %),0,0,0,0,0,0.0
26/07/2010,0,0,17(0.00 %),0,0,0,0,0,0.0
27/07/2010,0,0,17(0.00 %),0,0,0,0,0,0.0
28/07/2010,0,0,17(0.00 %),0,0,0,0,0,0.0
29/07/2010,0,0,18.7(10.00 %),0,0,0,0,0,0.0
30/07/2010,0,0,17(3.03 %),0,0,0,0,0,0.0
02/08/2010,0,0,17(0.00 %),0,0,0,0,0,0.0
03/08/2010,0,0,15.5(-8.82 %),0,0,0,0,0,0.0
06/08/2010,0,0,14.5(0.00 %),0,0,0,0,0,0.0
09/08/2010,0,0,14.5(0.00 %),0,0,0,0,0,0.0
10/08/2010,0,0,14.5(0.00 %),0,0,0,0,0,0.0
11/08/2010,0,0,14.5(0.00 %),0,0,0,0,0,0.0
12/08/2010,0,0,14.5(0.00 %),0,0,0,0,0,0.0
13/08/2010,0,0,14(-3.45 %),0,0,0,0,0,0.0
16/08/2010,0,0,15.9(7.43 %),0,0,0,0,0,0.0
17/08/2010,0,0,15.9(0.00 %),0,0,0,0,0,0.0
18/08/2010,0,0,14.4(-9.43 %),0,0,0,0,0,0.0
19/08/2010,0,0,14.4(0.00 %),0,0,0,0,0,0.0
20/08/2010,0,0,13.6(-5.56 %),0,0,0,0,0,0.0
23/08/2010,0,0,12.6(-7.35 %),0,0,0,0,0,0.0
24/08/2010,0,0,11.8(-6.35 %),0,0,0,0,0,0.0
25/08/2010,0,0,11.8(0.00 %),0,0,0,0,0,0.0
26/08/2010,0,0,10.8(-8.47 %),0,0,0,0,0,0.0
27/08/2010,0,0,10.8(0.00 %),0,0,0,0,0,0.0
30/08/2010,0,0,10.8(0.00 %),0,0,0,0,0,0.0
31/08/2010,0,0,10.8(0.00 %),0,0,0,0,0,0.0
01/09/2010,0,0,10.8(0.00 %),0,0,0,0,0,0.0
