Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
03/08/2018,6.0,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
06/08/2018,6.0,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
07/08/2018,6.0,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
08/08/2018,6.0,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
09/08/2018,6.0,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
10/08/2018,3.6,3.6,-2.4(-40.00 %),404200,1455120000,0,0,3.6,3.6,3.6
13/08/2018,3.6,3.6,0(0.00 %),0,0,0,0,3.6,3.6,3.6
15/08/2018,3.6,3.6,0(0.00 %),0,0,0,0,3.6,3.6,3.6
16/08/2018,3.6,3.6,0(0.00 %),0,0,0,0,3.6,3.6,3.6
17/08/2018,3.1,3.1,-0.5(-13.89 %),404200,1253020000,50,155000,3.1,3.1,3.1
20/08/2018,3.1,3.1,0(0.00 %),0,0,0,0,3.1,3.1,3.1
21/08/2018,3.1,3.1,0(0.00 %),0,0,0,0,3.1,3.1,3.1
22/08/2018,3.1,3.1,0(0.00 %),0,0,0,0,3.1,3.1,3.1
23/08/2018,3.1,3.1,0(0.00 %),0,0,0,0,3.1,3.1,3.1
24/08/2018,2.7,2.7,-0.4(-12.90 %),100,270000,0,0,2.7,2.7,2.7
27/08/2018,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
28/08/2018,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
29/08/2018,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
30/08/2018,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
31/08/2018,3.1,3.1,0.4(14.81 %),100,310000,0,0,3.1,3.1,3.1
04/09/2018,3.1,3.1,0(0.00 %),0,0,0,0,3.1,3.1,3.1
05/09/2018,3.1,3.1,0(0.00 %),0,0,0,0,3.1,3.1,3.1
06/09/2018,3.1,3.1,0(0.00 %),0,0,0,0,3.1,3.1,3.1
07/09/2018,3.5,3.5,0.4(12.90 %),100,350000,0,0,3.5,3.5,3.5
10/09/2018,3.5,3.5,0(0.00 %),0,0,0,0,3.5,3.5,3.5
11/09/2018,3.5,3.5,0(0.00 %),0,0,0,0,3.5,3.5,3.5
12/09/2018,3.5,3.5,0(0.00 %),0,0,0,0,3.5,3.5,3.5
13/09/2018,3.5,3.5,0(0.00 %),0,0,0,0,3.5,3.5,3.5
14/09/2018,3.0,3.0,-0.5(-14.29 %),245549,736747000,0,0,4.0,4.0,3.0
17/09/2018,3.0,3.0,0(0.00 %),0,0,0,0,3.0,3.0,3.0
18/09/2018,3.0,3.0,0(0.00 %),0,0,0,0,3.0,3.0,3.0
19/09/2018,3.0,3.0,0(0.00 %),0,0,0,0,3.0,3.0,3.0
20/09/2018,3.0,3.0,0(0.00 %),0,0,0,0,3.0,3.0,3.0
21/09/2018,3.4,3.4,0.4(13.33 %),100,340000,0,0,3.4,3.4,3.4
24/09/2018,3.4,3.4,0(0.00 %),0,0,0,0,3.4,3.4,3.4
25/09/2018,3.4,3.4,0(0.00 %),0,0,0,0,3.4,3.4,3.4
26/09/2018,3.4,3.4,0(0.00 %),0,0,0,0,3.4,3.4,3.4
27/09/2018,3.4,3.4,0(0.00 %),0,0,0,0,3.4,3.4,3.4
28/09/2018,3.9,3.9,0.5(14.71 %),200,780000,0,0,3.9,3.9,3.9
01/10/2018,3.9,3.9,0(0.00 %),0,0,0,0,3.9,3.9,3.9
02/10/2018,3.9,3.9,0(0.00 %),0,0,0,0,3.9,3.9,3.9
03/10/2018,3.9,3.9,0(0.00 %),0,0,0,0,3.9,3.9,3.9
04/10/2018,3.9,3.9,0(0.00 %),0,0,0,0,3.9,3.9,3.9
05/10/2018,4.4,4.4,0.5(12.82 %),100,440000,0,0,4.4,4.4,4.4
08/10/2018,4.4,4.4,0(0.00 %),0,0,0,0,4.4,4.4,4.4
09/10/2018,4.4,4.4,0(0.00 %),0,0,0,0,4.4,4.4,4.4
10/10/2018,4.4,4.4,0(0.00 %),0,0,0,0,4.4,4.4,4.4
11/10/2018,4.4,4.4,0(0.00 %),0,0,0,0,4.4,4.4,4.4
12/10/2018,5.0,5.0,0.6(13.64 %),100,500000,0,0,5.0,5.0,5.0
15/10/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
16/10/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
17/10/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
18/10/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
19/10/2018,4.3,4.3,-0.7(-14.00 %),37037,159259100,10000,43000000,4.3,4.3,4.3
22/10/2018,4.3,4.3,0(0.00 %),0,0,0,0,4.3,4.3,4.3
23/10/2018,4.3,4.3,0(0.00 %),0,0,0,0,4.3,4.3,4.3
24/10/2018,4.3,4.3,0(0.00 %),0,0,0,0,4.3,4.3,4.3
25/10/2018,4.3,4.3,0(0.00 %),0,0,0,0,4.3,4.3,4.3
26/10/2018,4.9,4.9,0.6(13.95 %),100,490000,0,0,4.9,4.9,4.9
29/10/2018,4.9,4.9,0(0.00 %),0,0,0,0,4.9,4.9,4.9
30/10/2018,4.9,4.9,0(0.00 %),0,0,0,0,4.9,4.9,4.9
31/10/2018,4.9,4.9,0(0.00 %),0,0,0,0,4.9,4.9,4.9
01/11/2018,4.9,4.9,0(0.00 %),0,0,0,0,4.9,4.9,4.9
02/11/2018,5.0,5.0,0.1(2.04 %),500,2500000,0,0,5.0,5.0,5.0
05/11/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
06/11/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
07/11/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
08/11/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
09/11/2018,5.1,5.1,0.1(2.00 %),100,510000,0,0,5.1,5.1,5.1
12/11/2018,5.1,5.1,0(0.00 %),0,0,0,0,5.1,5.1,5.1
13/11/2018,5.1,5.1,0(0.00 %),0,0,0,0,5.1,5.1,5.1
14/11/2018,5.1,5.1,0(0.00 %),0,0,0,0,5.1,5.1,5.1
15/11/2018,5.1,5.1,0(0.00 %),0,0,0,0,5.1,5.1,5.1
16/11/2018,4.4,4.4,-0.7(-13.73 %),6300,27720000,0,0,4.4,4.4,4.4
19/11/2018,4.4,4.4,0(0.00 %),0,0,0,0,4.4,4.4,4.4
20/11/2018,4.4,4.4,0(0.00 %),0,0,0,0,4.4,4.4,4.4
21/11/2018,4.4,4.4,0(0.00 %),0,0,0,0,4.4,4.4,4.4
22/11/2018,4.4,4.4,0(0.00 %),0,0,0,0,4.4,4.4,4.4
23/11/2018,5.0,5.0,0.6(13.64 %),100,500000,0,0,5.0,5.0,5.0
26/11/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
27/11/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
28/11/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
29/11/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
30/11/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
03/12/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
04/12/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
05/12/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
06/12/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
07/12/2018,5.0,5.0,0(0.00 %),500,2500000,0,0,5.0,5.0,5.0
10/12/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
11/12/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
12/12/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
13/12/2018,5.0,5.0,0(0.00 %),0,0,0,0,5.0,5.0,5.0
14/12/2018,5.7,5.7,0.7(14.00 %),100,570000,0,0,5.7,5.7,5.7
17/12/2018,5.7,5.7,0(0.00 %),0,0,0,0,5.7,5.7,5.7
18/12/2018,5.7,5.7,0(0.00 %),0,0,0,0,5.7,5.7,5.7
19/12/2018,5.7,5.7,0(0.00 %),0,0,0,0,5.7,5.7,5.7
20/12/2018,5.7,5.7,0(0.00 %),0,0,0,0,5.7,5.7,5.7
21/12/2018,5.7,5.7,0(0.00 %),0,0,0,0,5.7,5.7,5.7
24/12/2018,5.7,5.7,0(0.00 %),0,0,0,0,5.7,5.7,5.7
25/12/2018,5.7,5.7,0(0.00 %),0,0,0,0,5.7,5.7,5.7
26/12/2018,5.7,5.7,0(0.00 %),0,0,0,0,5.7,5.7,5.7
27/12/2018,5.7,5.7,0(0.00 %),0,0,0,0,5.7,5.7,5.7
28/12/2018,5.7,5.7,0(0.00 %),0,0,0,0,5.7,5.7,5.7
02/01/2019,5.7,5.7,0(0.00 %),0,0,0,0,5.7,5.7,5.7
03/01/2019,5.7,5.7,0(0.00 %),0,0,0,0,5.7,5.7,5.7
04/01/2019,6.0,6.0,0.3(5.26 %),500,3000000,0,0,6.0,6.0,6.0
07/01/2019,6.0,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
08/01/2019,6.0,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
09/01/2019,6.0,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
10/01/2019,6.0,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
11/01/2019,5.1,5.1,-0.9(-15.00 %),46500,237150000,0,0,5.1,5.1,5.1
14/01/2019,5.1,5.1,0(0.00 %),0,0,0,0,5.1,5.1,5.1
15/01/2019,5.1,5.1,0(0.00 %),0,0,0,0,5.1,5.1,5.1
16/01/2019,5.1,5.1,0(0.00 %),0,0,0,0,5.1,5.1,5.1
17/01/2019,5.1,5.1,0(0.00 %),0,0,0,0,5.1,5.1,5.1
18/01/2019,5.1,5.1,0(0.00 %),0,0,0,0,5.1,5.1,5.1
21/01/2019,5.1,5.1,0(0.00 %),0,0,0,0,5.1,5.1,5.1
22/01/2019,5.1,5.1,0(0.00 %),0,0,0,0,5.1,5.1,5.1
23/01/2019,5.1,5.1,0(0.00 %),0,0,0,0,5.1,5.1,5.1
24/01/2019,5.1,5.1,0(0.00 %),0,0,0,0,5.1,5.1,5.1
25/01/2019,5.1,5.1,0(0.00 %),0,0,0,0,5.1,5.1,5.1
