Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
12/04/2016,6.2,11.2,0.2(1.82 %),30900,357420000,0,0,11.5,12.9,11.2
13/04/2016,6.37,11.5,-0.1(-0.86 %),66000,759430000,30000,300000000,11.2,11.7,11.2
14/04/2016,6.32,11.4,-0.1(-0.87 %),20100,228830000,0,0,11.5,11.5,11.3
15/04/2016,6.32,11.4,0(0.00 %),51630,586910000,0,0,11.3,11.5,11.0
19/04/2016,6.2,11.2,-0.2(-1.75 %),56100,631460000,0,0,11.4,11.4,11.2
20/04/2016,6.37,11.5,0.2(1.77 %),85130,986571000,0,0,11.2,11.8,11.1
21/04/2016,6.2,11.2,-0.4(-3.45 %),1609,18109100,3000,30000000,11.3,11.3,11.2
22/04/2016,6.15,11.1,-0.2(-1.77 %),16500,183650000,0,0,11.2,11.2,11.1
25/04/2016,6.2,11.2,0.1(0.90 %),44200,494030000,0,0,11.2,11.2,11.1
26/04/2016,6.2,11.2,0(0.00 %),17800,199150000,0,0,11.2,11.2,11.1
27/04/2016,6.2,11.2,0(0.00 %),35900,400350000,0,0,11.2,11.2,11.1
28/04/2016,6.2,11.2,0(0.00 %),10300,115360000,0,0,11.2,11.2,11.2
29/04/2016,6.26,11.3,0.1(0.89 %),32700,364580000,0,0,11.1,11.3,11.1
04/05/2016,6.26,11.3,0.2(1.80 %),43500,486520000,0,0,11.1,11.3,11.1
05/05/2016,6.2,11.2,0(0.00 %),35700,400883200,0,0,11.3,11.3,11.2
06/05/2016,6.2,11.2,0(0.00 %),30350,343200000,0,0,11.3,11.4,11.2
09/05/2016,6.26,11.3,0(0.00 %),35700,401130000,0,0,11.3,11.3,11.2
10/05/2016,6.2,11.2,0(0.00 %),142,1590400,0,0,11.2,11.2,11.2
11/05/2016,6.26,11.3,0.1(0.89 %),41856,470697600,64,614400,11.2,11.3,11.2
12/05/2016,6.2,11.2,0(0.00 %),38159,427286400,0,0,11.2,11.2,11.2
13/05/2016,6.2,11.2,0(0.00 %),26600,297920000,0,0,11.2,11.2,11.2
16/05/2016,6.09,11.0,-0.2(-1.79 %),24178,266943000,281579,2703158400,11.0,11.2,11.0
17/05/2016,6.09,11.0,0(0.00 %),79850,878345000,25883,243300200,11.0,11.0,11.0
18/05/2016,6.09,11.0,0(0.00 %),156600,1722600000,100000,940000000,11.0,11.0,11.0
19/05/2016,6.09,11.0,0(0.00 %),72100,793100000,0,0,11.0,11.0,11.0
20/05/2016,6.2,11.2,0.2(1.82 %),14200,156550000,0,0,11.0,11.2,11.0
23/05/2016,6.15,11.1,0.1(0.91 %),320,3550000,68,639200,11.1,11.1,11.1
24/05/2016,6.26,11.3,0.2(1.80 %),25000,281650000,0,0,11.1,11.3,11.1
25/05/2016,6.2,11.2,-0.1(-0.88 %),55100,618900000,0,0,11.2,11.3,11.2
26/05/2016,6.37,11.5,0.3(2.68 %),43520,492880000,0,0,11.2,11.5,11.0
27/05/2016,6.37,11.5,0.2(1.77 %),31,300700,0,0,11.3,11.3,11.3
30/05/2016,6.26,11.3,0(0.00 %),31000,345700000,0,0,11.1,11.3,11.1
31/05/2016,6.2,11.2,0(0.00 %),7000,78400000,10022,112246400,11.2,11.2,11.2
01/06/2016,6.2,11.2,0(0.00 %),39998,447484200,0,0,11.2,11.2,11.1
02/06/2016,6.2,11.2,0(0.00 %),8400,94080000,0,0,11.2,11.2,11.2
03/06/2016,6.26,11.3,0.1(0.89 %),36200,412440000,26,249600,11.2,11.5,11.2
06/06/2016,6.37,11.5,0.1(0.88 %),80500,918580000,0,0,11.2,11.5,11.2
07/06/2016,6.26,11.3,-0.1(-0.88 %),24000,271200000,64,620800,11.3,11.3,11.3
08/06/2016,6.37,11.5,0.2(1.77 %),58400,673100000,0,0,11.3,11.6,11.3
09/06/2016,6.48,11.7,0.2(1.74 %),65080,759364000,55,539000,11.5,11.7,11.5
10/06/2016,6.48,11.7,0(0.00 %),65,650000,0,0,11.7,11.7,11.7
13/06/2016,6.43,11.6,-0.1(-0.85 %),2375,27430000,50000,500000000,11.6,11.6,11.6
14/06/2016,6.32,11.4,-0.2(-1.72 %),8100,93340000,0,0,11.4,11.6,11.4
15/06/2016,6.37,11.5,0(0.00 %),7000,80300000,0,0,11.4,11.5,11.4
16/06/2016,6.37,11.5,0(0.00 %),5400,62060000,37822,434953000,11.3,11.5,11.3
17/06/2016,6.15,11.1,-0.4(-3.48 %),3500,38910000,87,852600,11.2,11.2,11.1
20/06/2016,6.26,11.3,0.2(1.80 %),3462,38878200,0,0,11.2,11.3,11.2
21/06/2016,6.32,11.4,0.2(1.79 %),2037,23110700,1081,10810000,11.3,11.4,11.3
22/06/2016,6.26,11.3,-0.1(-0.88 %),2400,27310000,0,0,11.4,11.4,11.3
23/06/2016,6.26,11.3,-0.1(-0.88 %),100,1130000,0,0,11.3,11.3,11.3
24/06/2016,6.2,11.2,-0.1(-0.88 %),13931,157024100,0,0,11.3,11.3,11.2
27/06/2016,6.2,11.2,-0.1(-0.88 %),3542,39595200,0,0,11.2,11.2,11.2
28/06/2016,6.2,11.2,0(0.00 %),126,1369600,0,0,11.2,11.2,11.2
29/06/2016,6.2,11.2,0(0.00 %),3814,42716800,0,0,11.2,11.2,11.2
30/06/2016,6.2,11.2,0(0.00 %),15000,168000000,332314,3190214400,11.2,11.2,11.2
01/07/2016,6.2,11.2,0(0.00 %),18400,206080000,101826,977529600,11.2,11.2,11.2
04/07/2016,6.2,11.2,0(0.00 %),4689,52374400,0,0,11.2,11.2,11.2
05/07/2016,6.09,11.0,-0.2(-1.79 %),3976,43629600,0,0,11.0,11.0,11.0
06/07/2016,6.2,11.2,0.2(1.82 %),23700,264060000,75,705000,11.0,11.2,11.0
07/07/2016,6.2,11.2,0.1(0.90 %),0,0,0,0,11.1,11.1,11.1
08/07/2016,5.54,10.0,-1.1(-9.91 %),154,1565000,80000,760000000,10.0,10.0,10.0
11/07/2016,6.09,11.0,1(10.00 %),8611,94710000,0,0,11.0,11.0,11.0
12/07/2016,6.09,11.0,0(0.00 %),600,6600000,0,0,11.0,11.0,11.0
13/07/2016,5.82,10.5,-0.5(-4.55 %),9400,96140000,0,0,10.5,10.5,10.0
14/07/2016,6.09,11.0,0.8(7.84 %),3609,39690000,0,0,11.0,11.0,11.0
15/07/2016,6.2,11.2,0.2(1.82 %),54600,620840000,80000,752000000,11.0,11.5,11.0
18/07/2016,6.15,11.1,-0.3(-2.63 %),15456,172282200,0,0,11.2,11.2,11.1
19/07/2016,6.37,11.5,0.3(2.68 %),14000,156830000,3000,30000000,11.2,11.5,11.2
20/07/2016,6.2,11.2,0(0.00 %),2300,25760000,91,873600,11.2,11.2,11.2
21/07/2016,6.2,11.2,0(0.00 %),4800,53380000,4,38400,11.1,11.2,11.1
22/07/2016,6.32,11.4,0.3(2.70 %),200,2250000,0,0,11.1,11.4,11.1
25/07/2016,6.15,11.1,-0.2(-1.77 %),1300,14430000,85,824500,11.1,11.1,11.1
26/07/2016,6.37,11.5,0.4(3.60 %),10000,115000000,0,0,11.5,11.5,11.5
27/07/2016,6.37,11.5,0(0.00 %),36530,419724000,0,0,11.0,11.5,11.0
