Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
13/11/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
14/11/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
15/11/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
16/11/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
17/11/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
20/11/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
21/11/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
22/11/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
23/11/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
24/11/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
27/11/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
28/11/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
29/11/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
30/11/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
01/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
04/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
05/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
06/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
07/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
08/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
11/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
12/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
13/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
14/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
15/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
18/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
19/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
20/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
21/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
22/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
25/12/2017,9.56,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
