Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
01/03/2010,5.29,42.9,0(0.00 %),0,0,0,0,42.9,42.9,42.9
02/03/2010,5.29,42.9,0(0.00 %),0,0,0,0,42.9,42.9,42.9
03/03/2010,5.29,42.9,0(0.00 %),0,0,0,0,42.9,42.9,42.9
04/03/2010,5.29,42.9,0(0.00 %),0,0,0,0,42.9,42.9,42.9
05/03/2010,5.29,42.9,0(0.00 %),0,0,0,0,42.9,42.9,42.9
08/03/2010,5.29,42.9,0(0.00 %),0,0,0,0,42.9,42.9,42.9
09/03/2010,5.29,42.9,0(0.00 %),0,0,0,0,42.9,42.9,42.9
10/03/2010,5.29,42.9,0(0.00 %),0,0,0,0,42.9,42.9,42.9
11/03/2010,4.95,40.2,-2.7(-6.29 %),103,4140600,0,0,42.9,40.2,40.2
12/03/2010,4.95,40.2,0(0.00 %),0,0,0,0,40.2,40.2,40.2
15/03/2010,4.95,40.2,0(0.00 %),0,0,1579,61581000,40.2,40.2,40.2
16/03/2010,4.95,40.2,0(0.00 %),0,0,0,0,40.2,40.2,40.2
17/03/2010,4.95,40.2,0(0.00 %),0,0,0,0,40.2,40.2,40.2
18/03/2010,4.95,40.2,0(0.00 %),0,0,0,0,40.2,40.2,40.2
19/03/2010,4.95,40.2,0(0.00 %),0,0,0,0,40.2,40.2,40.2
22/03/2010,4.95,40.2,0(0.00 %),0,0,0,0,40.2,40.2,40.2
23/03/2010,4.95,40.2,0(0.00 %),0,0,0,0,40.2,40.2,40.2
24/03/2010,4.95,40.2,0(0.00 %),0,0,0,0,40.2,40.2,40.2
25/03/2010,4.95,40.2,0(0.00 %),0,0,0,0,40.2,40.2,40.2
26/03/2010,4.95,40.2,0(0.00 %),0,0,0,0,40.2,40.2,40.2
29/03/2010,4.95,40.2,0(0.00 %),0,0,0,0,40.2,40.2,40.2
30/03/2010,4.95,40.2,0(0.00 %),0,0,0,0,40.2,40.2,40.2
31/03/2010,5.42,44.0,3.8(9.45 %),977,41175400,0,0,40.2,44.0,40.2
01/04/2010,4.68,38.0,-4.1(-9.74 %),10,380000,0,0,42.1,38.0,38.0
02/04/2010,4.68,38.0,0(0.00 %),0,0,6501,247038000,38.0,38.0,38.0
05/04/2010,4.68,38.0,0(0.00 %),0,0,0,0,38.0,38.0,38.0
06/04/2010,4.93,40.0,2(5.26 %),2785,111400000,0,0,38.0,40.0,40.0
07/04/2010,4.93,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
08/04/2010,5.42,44.0,4(10.00 %),1866,82104000,0,0,40.0,44.0,44.0
09/04/2010,5.42,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
12/04/2010,5.79,47.0,3(6.82 %),1000,47000000,0,0,44.0,47.0,47.0
13/04/2010,5.92,48.0,1(2.13 %),85,4080000,0,0,47.0,48.0,48.0
14/04/2010,5.92,48.0,0(0.00 %),0,0,0,0,48.0,48.0,48.0
15/04/2010,5.92,48.0,0(0.00 %),0,0,0,0,48.0,48.0,48.0
16/04/2010,5.92,48.0,0(0.00 %),0,0,0,0,48.0,48.0,48.0
19/04/2010,5.92,48.0,0(0.00 %),0,0,0,0,48.0,48.0,48.0
20/04/2010,5.92,48.0,0(0.00 %),0,0,0,0,48.0,48.0,48.0
21/04/2010,5.92,48.0,0(0.00 %),0,0,0,0,48.0,48.0,48.0
22/04/2010,5.92,48.0,0(0.00 %),0,0,0,0,48.0,48.0,48.0
26/04/2010,5.92,48.0,0(0.00 %),0,0,0,0,48.0,48.0,48.0
27/04/2010,5.91,47.7,0(0.00 %),0,0,0,0,47.7,47.7,47.7
28/04/2010,5.91,47.7,0(0.00 %),0,0,0,0,47.7,47.7,47.7
29/04/2010,6.14,49.5,1.8(3.77 %),1000,49500000,0,0,47.7,49.5,49.5
04/05/2010,6.14,49.5,0(0.00 %),0,0,0,0,49.5,49.5,49.5
05/05/2010,5.7,46.0,-3.5(-7.07 %),1000,46000000,0,0,49.5,46.0,46.0
06/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
07/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
10/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
11/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
12/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
13/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
14/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
17/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
18/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
19/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
20/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
21/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
24/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
25/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
26/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
27/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
28/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
31/05/2010,5.7,46.0,0(0.00 %),0,0,0,0,46.0,46.0,46.0
01/06/2010,5.46,44.0,-2(-4.35 %),3000,132000000,0,0,46.0,44.0,44.0
02/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
03/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
04/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
07/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
08/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
09/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
10/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
11/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
14/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
15/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
16/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
17/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
18/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
21/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
22/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
23/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
24/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
25/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
28/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
29/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
30/06/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
01/07/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
02/07/2010,5.46,44.0,0(0.00 %),0,0,0,0,44.0,44.0,44.0
05/07/2010,5.77,46.5,2.5(5.68 %),10000,457500000,0,0,44.0,46.5,45.0
06/07/2010,6.24,50.3,4.5(9.83 %),3647,177144100,0,0,45.8,50.3,48.5
07/07/2010,6.03,48.6,0(0.00 %),0,0,3506,153562800,48.6,48.6,48.6
08/07/2010,5.43,43.8,-4.8(-9.88 %),29,1270200,388,16994400,48.6,43.8,43.8
09/07/2010,4.9,39.5,-4.3(-9.82 %),28,1106000,0,0,43.8,39.5,39.5
12/07/2010,4.9,39.5,0(0.00 %),0,0,0,0,39.5,39.5,39.5
13/07/2010,5.38,43.4,3.9(9.87 %),100,4340000,2510,94466000,39.5,43.4,43.4
14/07/2010,5.38,43.4,0(0.00 %),0,0,0,0,43.4,43.4,43.4
15/07/2010,5.83,47.0,3.6(8.29 %),71,3337000,16,752000,43.4,47.0,47.0
16/07/2010,5.83,47.0,0(0.00 %),0,0,0,0,47.0,47.0,47.0
19/07/2010,5.89,47.5,0(0.00 %),0,0,0,0,47.5,47.5,47.5
20/07/2010,5.89,47.5,0(0.00 %),0,0,0,0,47.5,47.5,47.5
21/07/2010,5.89,47.5,0(0.00 %),0,0,0,0,47.5,47.5,47.5
22/07/2010,5.89,47.5,0(0.00 %),0,0,0,0,47.5,47.5,47.5
23/07/2010,5.77,46.5,-1(-2.11 %),100,4650000,0,0,46.5,46.5,46.5
26/07/2010,5.77,46.5,0(0.00 %),0,0,0,0,46.5,46.5,46.5
27/07/2010,5.77,46.5,0(0.00 %),0,0,0,0,46.5,46.5,46.5
28/07/2010,5.77,46.5,0(0.00 %),0,0,0,0,46.5,46.5,46.5
29/07/2010,5.21,42.0,-4.5(-9.68 %),400,16800000,0,0,42.0,42.0,42.0
30/07/2010,4.72,38.1,-3.9(-9.29 %),100,3810000,0,0,38.1,38.1,38.1
02/08/2010,4.72,38.1,0(0.00 %),0,0,0,0,38.1,38.1,38.1
03/08/2010,5.2,41.9,0(0.00 %),0,0,0,0,41.9,41.9,41.9
04/08/2010,5.2,41.9,0(0.00 %),0,0,0,0,41.9,41.9,41.9
05/08/2010,5.2,41.9,0(0.00 %),0,0,0,0,41.9,41.9,41.9
06/08/2010,5.2,41.9,0(0.00 %),0,0,0,0,41.9,41.9,41.9
09/08/2010,5.2,41.9,0(0.00 %),0,0,1900,71820000,41.9,41.9,41.9
10/08/2010,5.2,41.9,0(0.00 %),0,0,0,0,41.9,41.9,41.9
11/08/2010,5.2,41.9,0(0.00 %),0,0,0,0,41.9,41.9,41.9
12/08/2010,5.2,41.9,0(0.00 %),0,0,0,0,41.9,41.9,41.9
13/08/2010,5.2,41.9,0(0.00 %),0,0,0,0,41.9,41.9,41.9
16/08/2010,5.2,41.9,0(0.00 %),0,0,0,0,41.9,41.9,41.9
17/08/2010,5.2,41.9,0(0.00 %),0,0,0,0,41.9,41.9,41.9
18/08/2010,5.2,41.9,0(0.00 %),0,0,0,0,41.9,41.9,41.9
19/08/2010,5.2,41.9,0(0.00 %),0,0,0,0,41.9,41.9,41.9
20/08/2010,5.2,41.9,0(0.00 %),500,20950000,0,0,41.9,41.9,41.9
23/08/2010,5.33,43.0,1.1(2.63 %),5200,222520000,0,0,42.0,43.0,41.9
24/08/2010,5.33,43.0,0.2(0.47 %),800,34400000,0,0,43.0,43.0,43.0
25/08/2010,4.84,39.0,-4(-9.30 %),2000,78000000,0,0,39.0,39.0,39.0
26/08/2010,4.77,38.5,-0.5(-1.28 %),2100,80850000,0,0,38.5,38.5,38.5
27/08/2010,4.77,38.5,0(0.00 %),0,0,0,0,38.5,38.5,38.5
30/08/2010,5.25,42.3,3.8(9.87 %),2000,84600000,0,0,42.3,42.3,42.3
31/08/2010,5.25,42.3,0(0.00 %),0,0,0,0,42.3,42.3,42.3
01/09/2010,4.74,38.2,-4.1(-9.69 %),7400,321240000,0,0,42.3,46.0,38.2
06/09/2010,4.74,38.2,-5.2(-11.98 %),0,0,0,0,43.4,43.4,43.4
07/09/2010,4.74,38.2,-5.2(-11.98 %),0,0,0,0,43.4,43.4,43.4
08/09/2010,4.74,38.2,-5.2(-11.98 %),0,0,0,0,43.4,43.4,43.4
09/09/2010,4.74,38.2,-5.2(-11.98 %),0,0,0,0,43.4,43.4,43.4
10/09/2010,4.74,38.2,-5.2(-11.98 %),0,0,0,0,43.4,43.4,43.4
13/09/2010,4.74,38.2,-5.2(-11.98 %),0,0,0,0,43.4,43.4,43.4
14/09/2010,4.74,38.2,-5.2(-11.98 %),0,0,0,0,43.4,43.4,43.4
15/09/2010,4.74,38.2,-5.2(-11.98 %),0,0,0,0,43.4,43.4,43.4
16/09/2010,4.96,40.0,-3.4(-7.83 %),3100,124000000,0,0,40.0,40.0,40.0
17/09/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
20/09/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
21/09/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
22/09/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
23/09/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
24/09/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
27/09/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
28/09/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
29/09/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
30/09/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
01/10/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
04/10/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
05/10/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
06/10/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
07/10/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
08/10/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
11/10/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
12/10/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
13/10/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
14/10/2010,4.96,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
