Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
22/12/2015,11.53,29.7,-7.3(-19.73 %),24200,699080000,0,0,26.0,30.0,26.0
23/12/2015,10.41,26.8,-2.9(-9.76 %),3300,90810000,0,0,29.0,29.0,26.8
24/12/2015,10.1,26.0,-0.8(-2.99 %),57900,1453840000,0,0,26.0,26.0,24.2
25/12/2015,10.52,27.1,1.1(4.23 %),33100,882640000,0,0,25.5,27.5,25.5
28/12/2015,10.29,26.5,-0.6(-2.21 %),31000,784010000,0,0,27.0,27.0,25.0
29/12/2015,10.41,26.8,0.3(1.13 %),130900,3461320000,0,0,26.5,26.8,25.6
30/12/2015,10.33,26.6,-0.2(-0.75 %),99400,2655660000,0,0,26.8,26.8,26.6
31/12/2015,10.99,28.3,1.7(6.39 %),73300,1951830000,0,0,26.5,28.4,26.5
04/01/2016,10.33,26.6,-1.7(-6.01 %),11400,313690000,0,0,28.0,28.0,26.6
05/01/2016,10.33,26.6,0(0.00 %),7700,204940000,0,0,27.2,27.2,26.4
06/01/2016,9.79,25.2,-1.4(-5.26 %),12100,304150000,0,0,26.8,26.8,24.6
07/01/2016,9.82,25.3,0.1(0.40 %),28600,716530000,0,0,25.3,25.3,23.3
08/01/2016,9.9,25.5,0.2(0.79 %),126900,3238320000,0,0,25.5,25.8,25.5
11/01/2016,9.94,25.6,0.1(0.39 %),6100,156550000,0,0,25.5,27.0,25.5
12/01/2016,10.45,26.9,1.3(5.08 %),34500,904980000,0,0,26.2,26.9,26.1
13/01/2016,10.37,26.7,-0.2(-0.74 %),20300,538850000,0,0,27.0,27.0,26.2
14/01/2016,10.49,26.3,0.3(1.15 %),30100,791630000,0,0,26.3,26.3,26.3
15/01/2016,10.49,26.3,0(0.00 %),16900,445470000,0,0,26.3,26.5,26.3
18/01/2016,10.33,25.9,-0.4(-1.52 %),4700,123110000,0,0,26.3,26.3,25.9
19/01/2016,10.37,26.0,0.1(0.39 %),27000,702220000,0,0,25.8,26.1,25.8
20/01/2016,10.37,26.0,0(0.00 %),14000,362400000,0,0,25.6,26.4,25.5
21/01/2016,10.41,26.1,0.1(0.38 %),8800,227670000,0,0,25.6,26.1,25.6
22/01/2016,9.97,25.0,-1.1(-4.21 %),20900,527080000,0,0,25.2,25.9,25.0
25/01/2016,10.85,27.2,2.2(8.80 %),2400,64320000,0,0,25.6,27.2,25.6
26/01/2016,10.33,25.9,-1.3(-4.78 %),2500,64950000,0,0,26.0,26.0,25.9
27/01/2016,10.33,25.9,0(0.00 %),0,0,0,0,25.9,25.9,25.9
28/01/2016,10.33,25.9,0(0.00 %),0,0,0,0,25.9,25.9,25.9
29/01/2016,9.97,25.0,-0.9(-3.47 %),1500,37400000,0,0,24.8,25.0,24.8
01/02/2016,9.97,25.0,0(0.00 %),24700,617500000,0,0,25.0,25.0,25.0
02/02/2016,9.93,24.9,-0.1(-0.40 %),8300,203460000,0,0,24.5,24.9,24.5
03/02/2016,9.93,24.9,0(0.00 %),0,0,0,0,24.9,24.9,24.9
04/02/2016,9.17,23.0,-1.9(-7.63 %),6000,138000000,0,0,23.0,23.0,23.0
05/02/2016,9.89,24.8,1.8(7.83 %),90600,2075320000,15000,372000000,23.0,25.0,22.7
15/02/2016,9.49,23.8,-1(-4.03 %),1200,28720000,0,0,24.6,24.6,23.8
16/02/2016,9.49,23.8,0(0.00 %),22100,525980000,0,0,23.8,23.8,23.8
17/02/2016,9.13,22.9,-0.9(-3.78 %),32200,737880000,0,0,22.8,23.7,22.8
18/02/2016,9.13,22.9,0(0.00 %),20600,473120000,0,0,22.8,23.0,22.8
19/02/2016,9.53,23.9,1(4.37 %),16200,374240000,0,0,24.4,24.4,22.5
22/02/2016,9.53,23.9,0(0.00 %),0,0,0,0,23.9,23.9,23.9
23/02/2016,9.17,23.0,-0.9(-3.77 %),700,16100000,0,0,23.0,23.0,23.0
24/02/2016,9.13,22.9,-0.1(-0.43 %),2200,49150000,0,0,22.1,22.9,22.1
25/02/2016,8.81,22.1,-0.8(-3.49 %),17000,376800000,0,0,22.3,22.3,22.1
26/02/2016,8.77,22.0,-0.1(-0.45 %),4000,88100000,0,0,22.0,22.1,22.0
29/02/2016,8.97,22.5,0.5(2.27 %),19900,443710000,0,0,22.0,22.5,22.0
01/03/2016,9.37,23.5,1(4.44 %),24200,554040000,0,0,22.3,24.7,22.3
02/03/2016,9.37,23.5,0(0.00 %),14100,325350000,0,0,23.1,23.5,23.0
03/03/2016,9.25,23.2,-0.3(-1.28 %),21900,508680000,0,0,23.5,23.5,23.2
04/03/2016,9.37,23.5,0.3(1.29 %),18600,437180000,0,0,23.4,23.7,23.4
07/03/2016,9.37,23.5,0(0.00 %),200,4700000,0,0,23.5,23.5,23.5
08/03/2016,9.21,23.1,-0.4(-1.70 %),12100,270710000,0,0,22.0,23.1,22.0
09/03/2016,9.17,23.0,-0.1(-0.43 %),2100,48220000,0,0,22.2,23.0,22.2
10/03/2016,9.17,23.0,0(0.00 %),1900,43700000,0,0,23.0,23.0,23.0
11/03/2016,9.37,23.5,0.5(2.17 %),8900,205950000,0,0,23.0,23.5,23.0
14/03/2016,9.37,23.5,0(0.00 %),20400,479400000,0,0,23.5,23.5,23.5
15/03/2016,9.97,25.0,1.5(6.38 %),42200,1033430000,0,0,23.5,25.4,23.5
16/03/2016,10.17,25.5,0.5(2.00 %),3100,76950000,0,0,24.5,25.5,24.3
17/03/2016,10.37,26.0,0.5(1.96 %),22500,579050000,0,0,25.2,26.0,25.2
18/03/2016,10.37,26.0,0(0.00 %),4000,103260000,0,0,26.2,26.2,25.5
21/03/2016,10.41,26.1,0.1(0.38 %),12300,320020000,0,0,25.9,26.1,25.9
22/03/2016,10.41,26.1,0(0.00 %),7600,198250000,0,0,26.0,26.1,26.0
