Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
17/07/2017,0,0,18(19.21 %),0,0,0,0,1494500,0.0
18/07/2017,11000,178200000,16.2(-10.00 %),11000,178200000,0,0,1483500,0.36
19/07/2017,12000,180900000,16.1(-0.62 %),12000,180900000,0,0,1471500,0.75
20/07/2017,7000,101800000,14.5(-9.94 %),7000,101800000,0,0,1464500,0.98
21/07/2017,3000,43500000,14.5(0.00 %),3000,43500000,0,0,1461500,1.08
24/07/2017,1000,14500000,14.6(0.69 %),1000,14500000,0,0,1460500,1.11
25/07/2017,5300,76230000,14.5(-0.68 %),5300,76230000,0,0,1455200,1.29
26/07/2017,0,0,14.4(-0.69 %),0,0,0,0,1455200,1.29
27/07/2017,0,0,14.4(0.00 %),0,0,0,0,1455200,1.29
28/07/2017,0,0,14.2(-1.39 %),0,0,0,0,1455200,1.29
31/07/2017,0,0,14(-1.41 %),0,0,0,0,1455200,1.29
01/08/2017,0,0,13.8(-1.43 %),0,0,0,0,1455200,1.29
02/08/2017,0,0,13.8(0.00 %),0,0,0,0,1455200,1.29
03/08/2017,0,0,13.6(-1.45 %),0,0,0,0,1455200,1.29
04/08/2017,0,0,13.6(0.00 %),0,0,0,0,1455200,1.29
07/08/2017,0,0,13.8(1.47 %),0,0,0,0,1455200,1.29
08/08/2017,1300,17810000,13.6(-1.45 %),1300,17810000,0,0,1453900,1.33
09/08/2017,4200,56950000,13.6(0.00 %),4200,56950000,0,0,1449700,1.47
10/08/2017,2000,27200000,13.7(0.74 %),2000,27200000,0,0,1447700,1.53
11/08/2017,0,0,13.8(0.73 %),0,0,0,0,1447700,1.53
14/08/2017,100,1380000,15.1(9.42 %),100,1380000,0,0,1447600,1.54
15/08/2017,0,0,15(-0.66 %),0,0,0,0,1447600,1.54
16/08/2017,0,0,15(0.00 %),0,0,0,0,1447600,1.54
17/08/2017,0,0,15(0.00 %),0,0,0,0,1447600,1.54
18/08/2017,300,4380000,15(0.00 %),300,4380000,0,0,1447300,1.55
21/08/2017,0,0,14.4(4.35 %),0,0,0,0,1447300,1.55
22/08/2017,100,1330000,13.3(-7.64 %),100,1330000,0,0,1447200,1.55
23/08/2017,0,0,13.5(1.50 %),0,0,0,0,1447200,1.55
24/08/2017,200,2690000,13.6(0.74 %),200,2690000,0,0,1447000,1.56
25/08/2017,0,0,14(2.94 %),0,0,0,0,1447000,1.56
28/08/2017,10700,145520000,13.6(-2.86 %),10700,145520000,0,0,1436300,1.91
29/08/2017,0,0,13.6(0.00 %),0,0,0,0,1436300,1.91
30/08/2017,8500,115600000,13.6(0.00 %),8500,115600000,0,0,1427800,2.19
31/08/2017,0,0,13.6(0.00 %),0,0,0,0,1427800,2.19
01/09/2017,1700,23120000,13.6(0.00 %),1700,23120000,0,0,1426100,2.24
05/09/2017,100,1360000,13.6(0.00 %),100,1360000,0,0,1426000,2.25
06/09/2017,-100,-1230000,13.9(2.21 %),0,0,100,1230000,1426000,2.25
07/09/2017,0,0,13.9(0.00 %),0,0,0,0,1426000,2.25
08/09/2017,0,0,13.9(0.00 %),0,0,0,0,1426000,2.25
11/09/2017,-100,-1260000,13.6(-2.16 %),0,0,100,1260000,1426100,2.24
12/09/2017,0,0,14(2.94 %),0,0,0,0,1426100,2.24
13/09/2017,-100,-1270000,12.7(-9.29 %),0,0,100,1270000,1426100,2.24
14/09/2017,0,0,12.7(0.00 %),0,0,0,0,1426200,2.24
15/09/2017,0,0,12.7(0.00 %),0,0,0,0,1426200,2.24
18/09/2017,3900,50330000,13(2.36 %),3900,50330000,0,0,1422400,2.36
19/09/2017,0,0,12.8(-1.54 %),0,0,0,0,1422400,2.36
20/09/2017,700,8960000,12.8(0.00 %),700,8960000,0,0,1421700,2.39
21/09/2017,-1000,-10400000,12.8(0.00 %),7000,89600000,8000,100000000,1414700,2.62
22/09/2017,0,0,12.8(0.00 %),0,0,0,0,1414700,2.62
25/09/2017,0,0,12.8(0.00 %),0,0,0,0,1414700,2.62
26/09/2017,2000,25200000,12.6(-1.56 %),2000,25200000,0,0,1420700,2.42
27/09/2017,-100,-1160000,12(-4.76 %),0,0,100,1160000,1420700,2.42
28/09/2017,0,0,12(0.00 %),0,0,0,0,1420700,2.42
29/09/2017,0,0,12(0.00 %),0,0,0,0,1420700,2.42
02/10/2017,-100,-1080000,10.8(-10.00 %),0,0,100,1080000,1420800,2.42
03/10/2017,0,0,11.8(9.26 %),0,0,0,0,1420800,2.42
04/10/2017,-100,-1070000,10.7(-9.32 %),0,0,100,1070000,1420800,2.42
05/10/2017,700,7490000,10.7(0.00 %),700,7490000,0,0,1420200,2.44
06/10/2017,0,0,10.7(0.00 %),0,0,0,0,1420200,2.44
09/10/2017,0,0,11.7(9.35 %),0,0,0,0,1420300,2.43
10/10/2017,-100,-1070000,12.8(9.40 %),0,0,100,1070000,1420300,2.43
11/10/2017,-100,-1160000,11.6(-9.37 %),0,0,100,1160000,1420300,2.43
12/10/2017,0,0,11.6(0.00 %),0,0,0,0,1420300,2.43
13/10/2017,0,0,12.7(9.48 %),0,0,0,0,1420400,2.43
16/10/2017,500,6000000,12(-5.51 %),500,6000000,0,0,1420000,2.44
17/10/2017,-100,-1080000,10.8(-10.00 %),0,0,100,1080000,1420000,2.44
18/10/2017,0,0,11.8(9.26 %),0,0,0,0,1420000,2.44
