Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
24/04/2003,10000,198000,0(0.00 %),10000,198000,0,0,0,0.0
09/05/2003,10000,203000,0(0.00 %),10000,203000,0,0,0,0.0
19/05/2003,1000,20400,0(0.00 %),1000,20400,0,0,0,0.0
29/10/2003,360,7020,0(0.00 %),360,7020,0,0,0,0.0
30/10/2003,3890,76244,0(0.00 %),3890,76244,0,0,0,0.0
04/11/2003,100,2000,0(0.00 %),100,2000,0,0,0,0.0
06/11/2003,5000,101000,0(0.00 %),5000,101000,0,0,0,0.0
07/11/2003,19200,392340,0(0.00 %),19200,392340,0,0,0,0.0
17/11/2003,1000,24800,0(0.00 %),1000,24800,0,0,0,0.0
25/11/2003,11600,311880,0(0.00 %),11600,311880,0,0,0,0.0
28/11/2003,1000,27700,0(0.00 %),1000,27700,0,0,0,0.0
01/12/2003,1000,28000,0(0.00 %),1000,28000,0,0,0,0.0
11/12/2003,-1100,-31680,0(0.00 %),0,0,1100,31680,0,0.0
12/12/2003,-1000,-28800,0(0.00 %),0,0,1000,28800,0,0.0
15/12/2003,-1000,-28900,0(0.00 %),0,0,1000,28900,0,0.0
16/12/2003,500,15000,0(0.00 %),500,15000,0,0,0,0.0
18/12/2003,690,21942,0(0.00 %),690,21942,0,0,0,0.0
19/12/2003,3210,101636,0(0.00 %),3210,101636,0,0,0,0.0
22/12/2003,1000,31892,0(0.00 %),1000,31892,0,0,0,0.0
15/01/2004,250,7750,0(0.00 %),250,7750,0,0,0,0.0
16/01/2004,30,945,0(0.00 %),30,945,0,0,0,0.0
27/01/2004,950,31350,0(0.00 %),950,31350,0,0,0,0.0
28/01/2004,100,3580,0(0.00 %),100,3580,0,0,0,0.0
29/01/2004,5840,219000,0(0.00 %),5840,219000,0,0,0,0.0
30/01/2004,11890,467277,0(0.00 %),11890,467277,0,0,0,0.0
03/02/2004,660,23826,0(0.00 %),660,23826,0,0,0,0.0
05/02/2004,6830,271151,0(0.00 %),6830,271151,0,0,0,0.0
06/02/2004,10200,398010,0(0.00 %),10200,398010,0,0,0,0.0
09/02/2004,1400,54600,0(0.00 %),1400,54600,0,0,0,0.0
17/02/2004,10,416,0(0.00 %),10,416,0,0,0,0.0
20/02/2004,7520,350432,0(0.00 %),7520,350432,0,0,0,0.0
23/02/2004,500,24450,0(0.00 %),500,24450,0,0,0,0.0
24/02/2004,5780,294780,0(0.00 %),5780,294780,0,0,0,0.0
25/02/2004,-2110,-105500,0(0.00 %),890,44500,3000,150000,0,0.0
09/03/2004,600,28200,0(0.00 %),600,28200,0,0,0,0.0
10/03/2004,-310,-13857,0(0.00 %),0,0,310,13857,0,0.0
11/03/2004,-1080,-47196,0(0.00 %),0,0,1080,47196,0,0.0
17/03/2004,320,14016,0(0.00 %),320,14016,0,0,0,0.0
29/03/2004,680,27744,0(0.00 %),680,27744,0,0,0,0.0
30/03/2004,6190,241972,0(0.00 %),6190,241972,0,0,0,0.0
31/03/2004,2410,91580,0(0.00 %),2410,91580,0,0,0,0.0
12/04/2004,500,19200,0(0.00 %),500,19200,0,0,0,0.0
14/04/2004,4980,194120,0(0.00 %),4980,194120,0,0,0,0.0
15/04/2004,3910,154445,0(0.00 %),3910,154445,0,0,0,0.0
22/04/2004,600,23610,0(0.00 %),600,23610,0,0,0,0.0
23/04/2004,200,7900,0(0.00 %),200,7900,0,0,0,0.0
29/04/2004,560,21784,0(0.00 %),560,21784,0,0,0,0.0
05/05/2004,320,12576,0(0.00 %),320,12576,0,0,0,0.0
11/05/2004,200,7860,0(0.00 %),200,7860,0,0,0,0.0
12/05/2004,3490,137855,0(0.00 %),3490,137855,0,0,0,0.0
14/05/2004,24660,961740,0(0.00 %),24660,961740,0,0,0,0.0
17/05/2004,1830,71370,0(0.00 %),1830,71370,0,0,0,0.0
24/05/2004,200,7760,0(0.00 %),200,7760,0,0,0,0.0
25/05/2004,320,12480,0(0.00 %),320,12480,0,0,0,0.0
26/05/2004,300,11700,0(0.00 %),300,11700,0,0,0,0.0
04/06/2004,7530,291467,0(0.00 %),17530,678152,10000,386685,0,0.0
07/06/2004,250,9500,0(0.00 %),250,9500,0,0,0,0.0
14/06/2004,10500,425966,0(0.00 %),10500,425966,0,0,0,0.0
16/06/2004,8500,345950,0(0.00 %),10000,407000,1500,61050,0,0.0
21/06/2004,2360,94400,0(0.00 %),2360,94400,0,0,0,0.0
25/06/2004,400,15680,0(0.00 %),400,15680,0,0,0,0.0
01/07/2004,1200,47280,0(0.00 %),1200,47280,0,0,0,0.0
07/07/2004,500,19350,0(0.00 %),500,19350,0,0,0,0.0
09/07/2004,30,1158,0(0.00 %),30,1158,0,0,0,0.0
26/07/2004,500,18750,0(0.00 %),500,18750,0,0,0,0.0
29/07/2004,8390,302879,0(0.00 %),8390,302879,0,0,0,0.0
09/08/2004,5000,161000,0(0.00 %),5000,161000,0,0,0,0.0
12/08/2004,300,9600,0(0.00 %),300,9600,0,0,0,0.0
24/08/2004,4850,152775,0(0.00 %),4850,152775,0,0,0,0.0
30/08/2004,370,11655,0(0.00 %),370,11655,0,0,0,0.0
31/08/2004,450,14310,0(0.00 %),450,14310,0,0,0,0.0
01/09/2004,180,5724,0(0.00 %),180,5724,0,0,0,0.0
