Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
20/05/2020,3.71,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
21/05/2020,3.71,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
22/05/2020,3.71,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
25/05/2020,3.71,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
26/05/2020,3.71,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
27/05/2020,3.71,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
28/05/2020,3.71,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
29/05/2020,3.71,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
01/06/2020,3.71,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
02/06/2020,3.71,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
03/06/2020,3.71,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
04/06/2020,5.17,16.6,4.7(39.50 %),200,3320000,0,0,16.6,16.6,16.6
05/06/2020,5.92,19.0,2.4(14.46 %),100,1900000,0,0,19.0,19.0,19.0
08/06/2020,6.69,21.5,2.5(13.16 %),600,12990000,0,0,21.7,21.8,21.5
09/06/2020,7.75,24.9,3.2(14.75 %),400,9590000,0,0,24.5,24.9,21.7
10/06/2020,8.59,27.6,3.6(15.00 %),300,8060000,0,0,26.0,27.6,26.0
11/06/2020,9.62,30.9,4(14.87 %),100,3090000,0,0,30.9,30.9,30.9
12/06/2020,11.05,35.5,4.6(14.89 %),400,14190000,0,0,35.4,35.5,35.4
15/06/2020,12.7,40.8,5.3(14.93 %),400,16320000,23500,893000000,40.8,40.8,38.0
16/06/2020,14.6,46.9,6.1(14.95 %),200,9380000,0,0,46.9,46.9,46.9
17/06/2020,16.78,53.9,7(14.93 %),900,48450000,0,0,53.8,53.9,53.6
18/06/2020,16.75,53.8,0(0.00 %),0,0,0,0,53.8,53.8,53.8
19/06/2020,14.26,45.8,-8(-14.87 %),100,4580000,0,0,45.8,45.8,45.8
22/06/2020,14.26,45.8,0(0.00 %),100,4580000,0,0,45.8,45.8,45.8
23/06/2020,14.26,45.8,0(0.00 %),0,0,0,0,45.8,45.8,45.8
24/06/2020,14.26,45.8,0(0.00 %),0,0,0,0,45.8,45.8,45.8
25/06/2020,13.39,43.0,-2.8(-6.11 %),2300,98500000,0,0,39.0,43.0,39.0
26/06/2020,11.37,36.5,-6.3(-14.72 %),200,7290000,0,0,36.4,36.5,36.4
29/06/2020,10.28,33.0,-3.5(-9.59 %),100,3300000,0,0,33.0,33.0,33.0
30/06/2020,8.75,28.1,-4.9(-14.85 %),100,2810000,0,0,28.1,28.1,28.1
01/07/2020,7.47,24.0,-4.1(-14.59 %),100,2400000,0,0,24.0,24.0,24.0
02/07/2020,6.54,21.0,-3(-12.50 %),100,2100000,0,0,21.0,21.0,21.0
03/07/2020,5.57,17.9,-3.1(-14.76 %),100,1790000,0,0,17.9,17.9,17.9
06/07/2020,5.57,17.9,0(0.00 %),100,1790000,0,0,17.9,17.9,17.9
07/07/2020,5.57,17.9,0(0.00 %),0,0,0,0,17.9,17.9,17.9
08/07/2020,5.57,17.9,0(0.00 %),100,1790000,0,0,17.9,17.9,17.9
09/07/2020,5.57,17.9,0(0.00 %),100,1790000,0,0,17.9,17.9,17.9
10/07/2020,5.6,18.0,0.1(0.56 %),100,1800000,0,0,18.0,18.0,18.0
13/07/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
14/07/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
15/07/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
16/07/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
17/07/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
20/07/2020,5.6,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
21/07/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
22/07/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
23/07/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
24/07/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
27/07/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
28/07/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
29/07/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
30/07/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
31/07/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
03/08/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
04/08/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
05/08/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
06/08/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
07/08/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
10/08/2020,5.6,18.0,0(0.00 %),100,1800000,0,0,18.0,18.0,18.0
11/08/2020,6.45,20.7,2.7(15.00 %),300,6210000,0,0,20.7,20.7,20.7
12/08/2020,5.48,17.6,-3.1(-14.98 %),100,1760000,0,0,17.6,17.6,17.6
13/08/2020,4.67,15.0,-2.6(-14.77 %),100,1500000,0,0,15.0,15.0,15.0
14/08/2020,4.67,15.0,0(0.00 %),100,1500000,0,0,15.0,15.0,15.0
17/08/2020,5.36,17.2,2.2(14.67 %),200,3120000,0,0,14.0,17.2,14.0
