Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
17/09/2010,12.71,34.0,1(3.03 %),90000,3083700000,0,0,33.0,37.0,30.0
20/09/2010,13.46,36.0,1.7(4.96 %),132500,4588030000,0,0,33.2,36.7,32.0
21/09/2010,13.83,37.0,2.4(6.94 %),20600,753150000,0,0,33.5,37.0,33.5
22/09/2010,13.83,37.0,0.4(1.09 %),27900,1023950000,0,0,35.0,39.1,35.0
23/09/2010,14.62,39.1,2.4(6.54 %),15800,590420000,0,0,37.0,39.1,36.7
24/09/2010,14.43,38.6,1.2(3.21 %),22400,866490000,0,0,37.8,39.0,37.5
27/09/2010,14.95,40.0,1.3(3.36 %),22200,861430000,0,0,38.1,40.0,38.0
28/09/2010,14.99,40.1,1.3(3.35 %),47000,1827330000,0,0,37.3,40.1,37.1
29/09/2010,15.1,40.4,1.5(3.86 %),21600,851310000,57400,2387840000,38.0,40.4,38.0
30/09/2010,15.14,40.5,1.1(2.79 %),16300,651970000,0,0,39.0,40.5,39.0
01/10/2010,15.06,40.3,0.3(0.75 %),11700,470240000,0,0,39.9,40.3,39.9
04/10/2010,15.14,40.5,0.3(0.75 %),14200,573250000,0,0,40.3,43.0,40.0
05/10/2010,15.33,41.0,0.6(1.49 %),5400,219260000,50000,1880000000,40.2,41.0,40.2
06/10/2010,15.29,40.9,0.3(0.74 %),14900,611570000,0,0,41.0,41.5,40.9
07/10/2010,15.4,41.2,0.2(0.49 %),19800,821030000,0,0,41.5,41.9,41.0
08/10/2010,15.74,42.1,0.6(1.45 %),21000,873790000,57100,2535240000,41.5,42.1,41.5
11/10/2010,16.63,44.5,2.9(6.97 %),23500,1021080000,7500,290250000,41.7,44.5,41.7
12/10/2010,16.82,45.0,1.5(3.45 %),20100,880590000,0,0,41.0,46.5,41.0
13/10/2010,16.63,44.5,0.7(1.60 %),13600,598230000,25800,1207440000,42.5,44.5,42.5
14/10/2010,17.01,45.5,1.5(3.41 %),10700,486400000,0,0,43.0,46.0,43.0
15/10/2010,17.01,45.5,0(0.00 %),7200,323740000,0,0,43.2,46.0,43.2
18/10/2010,17.2,46.0,1(2.22 %),17500,795660000,108000,4525200000,44.0,46.1,42.5
19/10/2010,17.01,45.5,0(0.00 %),19900,907080000,0,0,45.5,46.0,45.2
20/10/2010,16.75,44.8,-0.8(-1.75 %),14900,659610000,0,0,44.0,45.5,42.5
21/10/2010,16.3,43.6,-0.7(-1.58 %),6200,269960000,0,0,43.5,43.6,43.5
22/10/2010,16.71,44.7,1.2(2.76 %),29200,1270950000,0,0,43.6,45.0,41.0
25/10/2010,16.41,43.9,0.4(0.92 %),4800,209300000,0,0,43.0,43.9,43.0
26/10/2010,16.82,45.0,1.4(3.21 %),4800,216650000,0,0,44.9,45.8,43.6
27/10/2010,15.92,42.6,-2.5(-5.54 %),9000,386550000,0,0,44.0,44.0,42.6
28/10/2010,15.89,42.5,-0.5(-1.16 %),12100,514280000,67300,3095800000,43.0,43.0,42.4
29/10/2010,15.96,42.7,0.2(0.47 %),12500,535260000,0,0,42.5,43.0,42.0
01/11/2010,16.0,42.8,0(0.00 %),3000,124050000,0,0,41.0,42.8,41.0
02/11/2010,15.51,41.5,0.1(0.24 %),8000,334800000,22290,985218000,41.4,42.2,41.2
03/11/2010,16.67,44.6,2.7(6.44 %),11100,491090000,0,0,43.9,44.6,43.9
04/11/2010,15.74,42.1,-2.1(-4.75 %),1300,55130000,54600,2249520000,43.9,43.9,42.1
05/11/2010,15.85,42.4,0(0.00 %),10100,437120000,0,0,42.4,44.4,42.0
08/11/2010,16.22,43.4,0.1(0.23 %),1100,47850000,0,0,44.5,44.5,43.4
09/11/2010,15.89,42.5,-1(-2.30 %),4000,171750000,32400,1313100000,42.6,43.4,42.5
10/11/2010,15.89,42.5,-0.4(-0.93 %),5700,241440000,0,0,42.0,42.6,42.0
11/11/2010,14.99,40.1,-2.3(-5.42 %),3800,163780000,70200,3169540000,45.0,45.2,40.0
12/11/2010,16.07,43.0,-0.1(-0.23 %),1900,81700000,20000,802000000,43.0,43.0,43.0
15/11/2010,15.66,41.9,-1.1(-2.56 %),2500,104750000,45000,2010000000,41.9,41.9,41.9
16/11/2010,15.62,41.8,-0.1(-0.24 %),1000,41800000,9200,358800000,41.8,41.8,41.8
17/11/2010,14.95,40.0,-1.8(-4.31 %),8800,381000000,68600,2670840000,41.7,44.6,40.0
18/11/2010,15.66,41.9,-1.4(-3.23 %),2900,120030000,27600,1113980000,41.5,41.9,40.3
19/11/2010,15.4,41.2,-0.2(-0.48 %),4600,196660000,10000,442000000,42.9,42.9,41.2
22/11/2010,16.0,42.8,0(0.00 %),0,0,9200,418600000,42.8,42.8,42.8
23/11/2010,14.99,40.1,-2.7(-6.31 %),300,12030000,68600,3127060000,40.1,40.1,40.1
24/11/2010,15.03,40.2,0.1(0.25 %),3200,132180000,8900,380920000,41.8,41.9,40.2
25/11/2010,15.62,41.8,0.5(1.21 %),4700,200650000,31100,1281460000,43.8,43.8,41.8
