Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
20/12/2007,20.39,55.0,0(0.00 %),20700,1208970000,0,0,75.0,75.0,53.1
21/12/2007,19.69,53.1,-5.3(-9.08 %),24600,1352200000,10000,550000000,58.0,58.0,53.1
24/12/2007,20.02,54.0,-1(-1.82 %),5800,313250000,0,0,58.0,58.0,53.5
25/12/2007,18.91,51.0,-3(-5.56 %),7000,365520000,0,0,53.0,53.0,51.0
26/12/2007,19.84,53.5,1.3(2.49 %),19800,1059650000,0,0,53.0,54.0,53.0
27/12/2007,19.8,53.4,-0.1(-0.19 %),3000,162710000,0,0,55.4,55.4,53.4
28/12/2007,18.54,50.0,-4.2(-7.75 %),3200,160000000,0,0,52.0,52.0,49.0
02/01/2008,17.8,48.0,-2(-4.00 %),23000,1161240000,0,0,54.5,54.9,48.0
03/01/2008,17.76,47.9,-2.6(-5.15 %),13400,652790000,0,0,48.0,50.3,47.0
04/01/2008,17.43,47.0,-1.7(-3.49 %),9600,473560000,0,0,50.9,52.0,47.0
07/01/2008,16.46,44.4,-4.9(-9.94 %),9900,470730000,0,0,52.0,52.0,44.4
08/01/2008,16.43,44.3,-3.2(-6.74 %),23000,1044690000,16222,694000000,48.0,51.0,44.0
09/01/2008,15.57,42.0,-3.4(-7.49 %),20800,906770000,0,0,43.0,45.0,42.0
10/01/2008,15.2,41.0,-2.6(-5.96 %),10200,416510000,0,0,44.0,44.5,39.3
11/01/2008,14.61,39.4,-1.4(-3.43 %),6200,245490000,0,0,41.0,41.0,38.8
14/01/2008,13.24,35.7,-3.9(-9.85 %),6400,239920000,0,0,40.0,40.5,35.7
15/01/2008,12.57,33.9,-3.6(-9.60 %),15800,536640000,0,0,33.8,35.0,33.8
16/01/2008,13.87,37.4,3.4(10.00 %),20200,738740000,10000,306000000,34.0,37.4,34.0
17/01/2008,13.9,37.5,0.9(2.46 %),34500,1317210000,0,0,39.0,40.0,34.0
18/01/2008,13.79,37.2,-1(-2.62 %),13200,503110000,0,0,38.8,39.5,36.0
21/01/2008,13.27,35.8,-2.3(-6.04 %),3500,126800000,0,0,36.0,38.0,35.8
22/01/2008,13.68,36.9,0.7(1.93 %),16300,590930000,0,0,36.0,36.9,36.0
23/01/2008,13.35,36.0,-0.3(-0.83 %),29400,1057670000,0,0,36.0,36.2,35.7
24/01/2008,13.68,36.9,0.9(2.50 %),18900,695090000,0,0,34.0,37.9,34.0
25/01/2008,13.42,36.2,-0.6(-1.63 %),14600,527480000,0,0,36.2,36.5,36.0
28/01/2008,13.35,36.0,-0.1(-0.28 %),10300,366900000,0,0,35.0,36.0,35.0
29/01/2008,14.09,38.0,2.4(6.74 %),10200,378770000,0,0,37.0,38.0,36.5
30/01/2008,15.13,40.8,3.7(9.97 %),22400,912710000,0,0,40.0,40.8,40.0
31/01/2008,14.28,38.5,-2.2(-5.41 %),17100,663170000,0,0,41.0,41.0,37.5
01/02/2008,14.65,39.5,0.7(1.80 %),9900,389880000,0,0,38.0,40.0,37.9
12/02/2008,15.39,41.5,2.1(5.33 %),20100,816390000,0,0,42.0,42.4,38.5
13/02/2008,14.76,39.8,-0.8(-1.97 %),15200,614020000,0,0,42.4,43.0,38.9
14/02/2008,15.02,40.5,0.1(0.25 %),17000,682590000,0,0,40.0,41.9,39.0
15/02/2008,14.28,38.5,-1.7(-4.23 %),3800,147270000,0,0,41.0,41.0,38.5
18/02/2008,14.65,39.5,0.7(1.80 %),13100,485400000,0,0,38.0,39.5,36.0
19/02/2008,14.05,37.9,0.8(2.16 %),15400,581120000,0,0,38.0,38.0,37.5
20/02/2008,13.35,36.0,-1.7(-4.51 %),20800,752220000,0,0,38.0,38.0,35.0
21/02/2008,12.24,33.0,-3.2(-8.84 %),29100,974160000,0,0,38.0,39.8,32.6
22/02/2008,12.61,34.0,0.5(1.49 %),18300,599610000,0,0,31.5,36.8,31.5
25/02/2008,13.35,36.0,3.2(9.76 %),16200,580680000,0,0,35.1,36.0,35.1
