Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
03/08/2017,13.13,29.8,8.5(39.91 %),100,2980000,0,0,29.8,29.8,29.8
04/08/2017,15.07,34.2,4.4(14.77 %),3000,102600000,0,0,34.2,34.2,34.2
07/08/2017,15.07,34.2,0(0.00 %),500,17100000,0,0,34.2,34.2,34.2
08/08/2017,12.83,29.1,-5.1(-14.91 %),5500,171050000,0,0,34.2,34.2,29.1
09/08/2017,15.74,35.7,4.6(14.79 %),10000,354930000,0,0,35.0,35.7,35.0
10/08/2017,13.66,31.0,-4.5(-12.68 %),1500,47250000,0,0,32.0,32.0,31.0
11/08/2017,13.88,31.5,0(0.00 %),500,15750000,0,0,31.5,31.5,31.5
14/08/2017,13.66,31.0,-0.5(-1.59 %),500,15500000,0,0,31.0,31.0,31.0
15/08/2017,13.66,31.0,0(0.00 %),0,0,0,0,31.0,31.0,31.0
16/08/2017,13.44,30.5,-0.5(-1.61 %),500,15250000,0,0,30.5,30.5,30.5
17/08/2017,13.22,30.0,-0.5(-1.64 %),500,15000000,0,0,30.0,30.0,30.0
18/08/2017,13.44,30.5,0.5(1.67 %),2500,76250000,0,0,30.5,30.5,30.5
21/08/2017,13.0,29.5,-1(-3.28 %),1200,35900000,0,0,30.0,30.0,29.5
22/08/2017,14.99,34.0,4.1(13.71 %),67700,2235000000,0,0,30.0,34.0,30.0
23/08/2017,13.0,29.5,-3.5(-10.61 %),5500,164750000,0,0,30.0,30.0,29.5
24/08/2017,13.22,30.0,0(0.00 %),5000,150000000,0,0,30.0,30.0,30.0
25/08/2017,13.22,30.0,0(0.00 %),0,0,0,0,30.0,30.0,30.0
28/08/2017,13.22,30.0,0(0.00 %),0,0,0,0,30.0,30.0,30.0
29/08/2017,13.22,30.0,0(0.00 %),0,0,0,0,30.0,30.0,30.0
30/08/2017,11.9,27.0,-3(-10.00 %),100,2700000,0,0,27.0,27.0,27.0
31/08/2017,11.9,27.0,0(0.00 %),0,0,0,0,27.0,27.0,27.0
01/09/2017,11.9,27.0,0(0.00 %),0,0,0,0,27.0,27.0,27.0
05/09/2017,13.66,31.0,4(14.81 %),1500,46500000,0,0,31.0,31.0,31.0
07/09/2017,16.22,36.8,4.8(15.00 %),100,3680000,0,0,36.8,36.8,36.8
08/09/2017,17.63,40.0,3.2(8.70 %),100,4000000,0,0,40.0,40.0,40.0
12/09/2017,17.59,39.9,0(0.00 %),0,0,0,0,39.9,39.9,39.9
13/09/2017,14.99,34.0,-5.9(-14.79 %),100,3400000,0,0,34.0,34.0,34.0
14/09/2017,14.99,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
15/09/2017,14.99,34.0,0(0.00 %),0,0,0,0,34.0,34.0,34.0
18/09/2017,16.09,36.5,2.5(7.35 %),100,3650000,0,0,36.5,36.5,36.5
19/09/2017,16.09,36.5,0(0.00 %),0,0,0,0,36.5,36.5,36.5
20/09/2017,17.41,39.5,3(8.22 %),100,3950000,0,0,39.5,39.5,39.5
21/09/2017,14.81,33.6,-5.9(-14.94 %),100,3360000,0,0,33.6,33.6,33.6
22/09/2017,16.31,37.0,3.4(10.12 %),100,3700000,0,0,37.0,37.0,37.0
25/09/2017,17.41,39.5,2.5(6.76 %),400,15850000,0,0,40.0,40.0,39.5
26/09/2017,17.45,39.6,0(0.00 %),0,0,0,0,39.6,39.6,39.6
27/09/2017,14.85,33.7,-5.9(-14.90 %),100,3370000,0,0,33.7,33.7,33.7
28/09/2017,16.75,38.0,4.3(12.76 %),300,10470000,0,0,28.7,38.0,28.7
29/09/2017,17.63,40.0,5.1(14.61 %),100,4000000,0,0,40.0,40.0,40.0
02/10/2017,17.63,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
03/10/2017,17.63,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
04/10/2017,17.63,40.0,0(0.00 %),0,0,0,0,40.0,40.0,40.0
05/10/2017,15.87,36.0,-4(-10.00 %),200,7200000,0,0,36.0,36.0,36.0
06/10/2017,15.87,36.0,0(0.00 %),0,0,0,0,36.0,36.0,36.0
09/10/2017,15.87,36.0,0(0.00 %),0,0,0,0,36.0,36.0,36.0
10/10/2017,15.87,36.0,0(0.00 %),0,0,0,0,36.0,36.0,36.0
11/10/2017,15.87,36.0,0(0.00 %),0,0,0,0,36.0,36.0,36.0
12/10/2017,15.87,36.0,0(0.00 %),0,0,0,0,36.0,36.0,36.0
13/10/2017,15.87,36.0,0(0.00 %),0,0,0,0,36.0,36.0,36.0
16/10/2017,15.87,36.0,0(0.00 %),0,0,0,0,36.0,36.0,36.0
18/10/2017,15.87,36.0,0(0.00 %),0,0,0,0,36.0,36.0,36.0
19/10/2017,15.87,36.0,0(0.00 %),0,0,0,0,36.0,36.0,36.0
20/10/2017,15.87,36.0,0(0.00 %),0,0,0,0,36.0,36.0,36.0
23/10/2017,15.87,36.0,0(0.00 %),0,0,0,0,36.0,36.0,36.0
24/10/2017,13.66,31.0,-5(-13.89 %),2200,68200000,0,0,31.0,31.0,31.0
25/10/2017,13.66,31.0,0(0.00 %),0,0,0,0,31.0,31.0,31.0
26/10/2017,13.66,31.0,0(0.00 %),0,0,0,0,31.0,31.0,31.0
27/10/2017,13.66,31.0,0(0.00 %),0,0,0,0,31.0,31.0,31.0
30/10/2017,13.66,31.0,0(0.00 %),0,0,0,0,31.0,31.0,31.0
31/10/2017,14.94,33.9,2.9(9.35 %),100,3390000,0,0,33.9,33.9,33.9
01/11/2017,16.75,38.0,4.1(12.09 %),100,3800000,0,0,38.0,38.0,38.0
